"nume","ids","cod","activitate","disciplină","coddisc","nivel","act normativ","competență generală"
"Recunoașterea unor mesaje comunicate prin imagini în contexte familiare","1.1.","arteviz3-1.1","participarea la discuții despre comunicarea prin imagine (de exemplu, imaginea ca document; imaginile folosite în scop informațional de-a lungul timpului)","Arte vizuale și abilități practice","arteviz3","cl3","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014 ","Explorarea de mesaje exprimate în limbaj vizual într-o diversitate de contexte"
"Recunoașterea unor mesaje comunicate prin imagini în contexte familiare","1.1.","arteviz3-1.1","discuții despre patrimoniul local: construcții reprezentative și ambient urban/rural, vestimentație, obiceiuri, colecții, obiecte de patrimoniu etc.","Arte vizuale și abilități practice","arteviz3","cl3","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014 ","Explorarea de mesaje exprimate în limbaj vizual într-o diversitate de contexte"
"Recunoașterea unor mesaje comunicate prin imagini în contexte familiare","1.1.","arteviz3-1.1","identificarea rolului mesajelor vizuale prin studierea de broșuri, pliante, albume de artă, vizionarea de filme, documentare, clipuri, reclame","Arte vizuale și abilități practice","arteviz3","cl3","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014 ","Explorarea de mesaje exprimate în limbaj vizual într-o diversitate de contexte"
"Recunoașterea unor mesaje comunicate prin imagini în contexte familiare","1.1.","arteviz3-1.1","formularea de întrebări privind diversitatea mesajelor exprimate prin publicitatea stradală","Arte vizuale și abilități practice","arteviz3","cl3","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014 ","Explorarea de mesaje exprimate în limbaj vizual într-o diversitate de contexte"
"Recunoașterea unor mesaje comunicate prin imagini în contexte familiare","1.1.","arteviz3-1.1","participarea la discuții despre comunicarea prin imagine în pictură, desen/grafică, modelaj/sculptură, arte decorative textile, monumentale, ceramice, vestimentație sau bijuterii, arhitectură și/sau scenografie, fotografie și prin artele spectacolului legate de mesajul transmis","Arte vizuale și abilități practice","arteviz3","cl3","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014 ","Explorarea de mesaje exprimate în limbaj vizual într-o diversitate de contexte"
"Diferențierea caracteristicilor expresive ale elementelor de limbaj plastic în compoziții și în mediul înconjurător","1.2.","arteviz3-1.2","participarea la exerciții-joc de observare a elementelor de limbaj plastic din natură și din compoziții plastice","Arte vizuale și abilități practice","arteviz3","cl3","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014 ","Explorarea de mesaje exprimate în limbaj vizual într-o diversitate de contexte"
"Diferențierea caracteristicilor expresive ale elementelor de limbaj plastic în compoziții și în mediul înconjurător","1.2.","arteviz3-1.2","participarea la exerciții-joc de observare a culorilor și a griurilor colorate și neutre în spațiul înconjurător și în compoziții plastice familiei (fraţi, surori, mama, tata, bunicul, bunica etc.)” ","Arte vizuale și abilități practice","arteviz3","cl3","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014 ","Explorarea de mesaje exprimate în limbaj vizual într-o diversitate de contexte"
"Diferențierea caracteristicilor expresive ale elementelor de limbaj plastic în compoziții și în mediul înconjurător","1.2.","arteviz3-1.2","exerciții de identificare a unor elemente de expresie de limbaj plastic în forme plastice plane realizate prin: fuzionare, curgere liberă, stropire forțată, scurgere aderentă, dirijarea jetului de aer, sfoară colorată ","Arte vizuale și abilități practice","arteviz3","cl3","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014 ","Explorarea de mesaje exprimate în limbaj vizual într-o diversitate de contexte"
"Manifestarea receptivității față de mesajele exprimate prin limbaj vizual","1.3.","arteviz3-1.3","analiza liberă și personală a mesajelor transmise prin limbaj vizual (de exemplu, exerciții-joc de stabilire a asemănărilor și deosebirilor dintre exprimarea în limbaj fotografic și limbajul artelor plastice pe aceeași temă)   ","Arte vizuale și abilități practice","arteviz3","cl3","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014 ","Explorarea de mesaje exprimate în limbaj vizual într-o diversitate de contexte"
"Manifestarea receptivității față de mesajele exprimate prin limbaj vizual","1.3.","arteviz3-1.3","realizarea unei colecții de fotografii cu o temă dată/aleasă  ","Arte vizuale și abilități practice","arteviz3","cl3","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014 ","Explorarea de mesaje exprimate în limbaj vizual într-o diversitate de contexte"
"Manifestarea receptivității față de mesajele exprimate prin limbaj vizual","1.3.","arteviz3-1.3","inițierea de proiecte la nivel de clasă pentru realizarea de albume de pictură sau fotografie ","Arte vizuale și abilități practice","arteviz3","cl3","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014 ","Explorarea de mesaje exprimate în limbaj vizual într-o diversitate de contexte"
"Manifestarea receptivității față de mesajele exprimate prin limbaj vizual","1.3.","arteviz3-1.3","audierea de povestiri sau vizionarea de documentare despre artiști români din domenii diferite ","Arte vizuale și abilități practice","arteviz3","cl3","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014 ","Explorarea de mesaje exprimate în limbaj vizual într-o diversitate de contexte"
"Utilizarea în contexte variate a materialelor în funcție de proprietăți ale acestora și de tehnici de lucru adecvate ","2.1.","arteviz3-2.1","selectarea de diverse materiale (culori de apă, tușuri, creioane, pensule, etc.), în vederea utilizării acestora ","Arte vizuale și abilități practice","arteviz3","cl3","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014 ","Realizarea de creații funcționale și/sau estetice folosind materiale și tehnici adecvate"
