nume,ids,cod,activitate,disciplină,coddisc,nivel,act normativ,competență generală
"Extragerea informațiilor din texte, filme, tabele, desene, scheme, ca surse pentru identificarea caracteristicilor unor sisteme biologice, a unor procese și fenomene",1.1.,bio5-1.1,"lectura unor texte din manual, atlase, reviste etc. în scopul extragerii informațiilor, realizării rezumatului sau a unei scheme logice a conținutului",Biologie ,bio5,cl5,Ordinul ministrului educației naționale nr. 3393 / 28.02.2017,"Explorarea sistemelor biologice, a proceselor și a fenomenelor, cu instrumente și metode științifice"
"Extragerea informațiilor din texte, filme, tabele, desene, scheme, ca surse pentru identificarea caracteristicilor unor sisteme biologice, a unor procese și fenomene",1.1.,bio5-1.1,vizionarea unor filme cu diverse ecosisteme/ medii de viață pentru observarea caracteristicilor acestora,Biologie ,bio5,cl5,Ordinul ministrului educației naționale nr. 3393 / 28.02.2017,"Explorarea sistemelor biologice, a proceselor și a fenomenelor, cu instrumente și metode științifice"
"Extragerea informațiilor din texte, filme, tabele, desene, scheme, ca surse pentru identificarea caracteristicilor unor sisteme biologice, a unor procese și fenomene",1.1.,bio5-1.1,"observarea unor desene (de exemplu: imagini cu diferite viețuitoare, ecosisteme/ medii de viață), tabele (de exemplu: caracteristici definitorii ale diferitelor grupe de viețuitoare), scheme (de exemplu: lanțuri trofice) pentru extragerea caracteristicilor structurilor, fenomenelor, proceselor reprezentate",Biologie ,bio5,cl5,Ordinul ministrului educației naționale nr. 3393 / 28.02.2017,"Explorarea sistemelor biologice, a proceselor și a fenomenelor, cu instrumente și metode științifice"
Realizarea dirijată a unor activități simple de investigare pe baza unor fișe de lucru date,1.2.,bio5-1.2,participarea la vizite didactice organizate în zone apropiate școlii pentru observarea caracteristicilor unor ecosisteme,Biologie ,bio5,cl5,Ordinul ministrului educației naționale nr. 3393 / 28.02.2017,"Explorarea sistemelor biologice, a proceselor și a fenomenelor, cu instrumente și metode științifice"
Realizarea dirijată a unor activități simple de investigare pe baza unor fișe de lucru date,1.2.,bio5-1.2,"enunțarea unei situații - problemă/ ipoteză de lucru în scopul realizării unei investigații (de exemplu: de ce majoritatea animalelor dintr-o câmpie au culoare cenușie, de ce întâlnim anumite animale numai în anumite locuri sau momente ale zilei, de ce la câmpie multe plante au flori mici, fără miros etc.)",Biologie ,bio5,cl5,Ordinul ministrului educației naționale nr. 3393 / 28.02.2017,"Explorarea sistemelor biologice, a proceselor și a fenomenelor, cu instrumente și metode științifice"
Realizarea dirijată a unor activități simple de investigare pe baza unor fișe de lucru date,1.2.,bio5-1.2,"colectarea unor probe din ecosistem în vederea analizei (de exemplu: minerale, probe de sol, probe de apă în vederea observării viețuitoarelor microscopice)",Biologie ,bio5,cl5,Ordinul ministrului educației naționale nr. 3393 / 28.02.2017,"Explorarea sistemelor biologice, a proceselor și a fenomenelor, cu instrumente și metode științifice"
Realizarea dirijată a unor activități simple de investigare pe baza unor fișe de lucru date,1.2.,bio5-1.2,"realizarea unor observații microscopice asupra unor organisme colectate din mediu (de exemplu: bacterii fixatoare de azot din nodozitățile leguminoaselor, protiste din ape dulci stagnante, hife ale mucegaiului comun, alge)",Biologie ,bio5,cl5,Ordinul ministrului educației naționale nr. 3393 / 28.02.2017,"Explorarea sistemelor biologice, a proceselor și a fenomenelor, cu instrumente și metode științifice"
Realizarea dirijată a unor activități simple de investigare pe baza unor fișe de lucru date,1.2.,bio5-1.2,"colectarea/fotografierea unor viețuitoare întâlnite în ecosistem în vederea realizării unor observații macroscopice (alge, fungi, plante, animale nevertebrate, animale vertebrate)",Biologie ,bio5,cl5,Ordinul ministrului educației naționale nr. 3393 / 28.02.2017,"Explorarea sistemelor biologice, a proceselor și a fenomenelor, cu instrumente și metode științifice"
Realizarea dirijată a unor activități simple de investigare pe baza unor fișe de lucru date,1.2.,bio5-1.2,"completarea unor fișe de observație cu date rezultate în urma desfășurării experimentului/ investigației (de exemplu: plante și animale întâlnite în diferite medii de viață, comportamente animale observate în diferite momente ale zilei, caracteristici ale alcătuirii viețuitoarelor observate, variația factorilor de mediu în diferite momente ale zilei etc.)",Biologie ,bio5,cl5,Ordinul ministrului educației naționale nr. 3393 / 28.02.2017,"Explorarea sistemelor biologice, a proceselor și a fenomenelor, cu instrumente și metode științifice"
Realizarea dirijată a unor activități simple de investigare pe baza unor fișe de lucru date,1.2.,bio5-1.2,"înregistrarea datelor în tabele/scheme (de exemplu: date culese din observații de scurtă durată sau de lungă durată - temperatura, umiditatea, vântul, numărul de ore de lumină pe zi, tipuri/număr viețuitoare dintr-un ecosistem)",Biologie ,bio5,cl5,Ordinul ministrului educației naționale nr. 3393 / 28.02.2017,"Explorarea sistemelor biologice, a proceselor și a fenomenelor, cu instrumente și metode științifice"
