"nume","ids","cod","activitate","disciplină","coddisc","nivel","act normativ","competență generală"
"Recunoașterea locurilor de apartenență (locală, națională, europeană) în care se integrează persoana","1.1.","edciv4-1.1","exerciții de prezentare a localității și a domiciliului","Educaţie civică","edciv4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Aplicarea unor norme de conduită în viața cotidiană"
"Recunoașterea locurilor de apartenență (locală, națională, europeană) în care se integrează persoana","1.1.","edciv4-1.1","realizarea unor colaje cu imagini, fotografii care prezintă elemente specifice ale localității în care trăiește elevul, ale țării natale/țării în care locuiește acesta, ale spațiului european","Educaţie civică","edciv4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Aplicarea unor norme de conduită în viața cotidiană"
"Recunoașterea locurilor de apartenență (locală, națională, europeană) în care se integrează persoana","1.1.","edciv4-1.1","realizarea unor desene, colaje cu ocazia unor evenimente sărbătorite la nivel local, național, european (de exemplu: „Nedeia Munților”, „Ziua Națională a României”, „Ziua Europei”)  ","Educaţie civică","edciv4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Aplicarea unor norme de conduită în viața cotidiană"
"Identificarea unor elemente relevante pentru apartenența la diferite comunități (locală, națională, europeană)","1.2.","edciv4-1.2","realizarea unor desene, colaje care ilustrează tradiții locale","Educaţie civică","edciv4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Aplicarea unor norme de conduită în viața cotidiană"
"Identificarea unor elemente relevante pentru apartenența la diferite comunități (locală, națională, europeană)","1.2.","edciv4-1.2","exerciții de recunoaștere a însemnelor țării, a însemnelor Uniunii Europene","Educaţie civică","edciv4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Aplicarea unor norme de conduită în viața cotidiană"
"Identificarea unor elemente relevante pentru apartenența la diferite comunități (locală, națională, europeană)","1.2.","edciv4-1.2","lecturarea/audierea unor texte literare, istorice, care evocă manifestări ale dragostei față de țară","Educaţie civică","edciv4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Aplicarea unor norme de conduită în viața cotidiană"
"Identificarea unor elemente relevante pentru apartenența la diferite comunități (locală, națională, europeană)","1.2.","edciv4-1.2","vizionarea unor filme/imagini care prezintă elemente specifice țărilor membre ale Uniunii Europene","Educaţie civică","edciv4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Aplicarea unor norme de conduită în viața cotidiană"
"Explorarea unor norme morale care reglementează relațiile cu ceilalți oameni","1.3.","edciv4-1.3","utilizarea exemplelor (precum cele prezentate în povestiri, desene animate familiare elevilor, din viața reală) pentru ilustrarea unor norme morale","Educaţie civică","edciv4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Aplicarea unor norme de conduită în viața cotidiană"
"Explorarea unor norme morale care reglementează relațiile cu ceilalți oameni","1.3.","edciv4-1.3","recunoașterea respectării/încălcării unor norme morale, pornind de la contexte familiare elevilor (de exemplu, prezentate în povești, fabule, desene animate familiare elevilor, comportamente ale copiilor și ale adulților)","Educaţie civică","edciv4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Aplicarea unor norme de conduită în viața cotidiană"
"Explorarea unor norme morale care reglementează relațiile cu ceilalți oameni","1.3.","edciv4-1.3","exerciții de identificare a rolului normei morale ca model de acțiune","Educaţie civică","edciv4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Aplicarea unor norme de conduită în viața cotidiană"
"Explorarea unor valori morale care stau la baza relațiilor cu ceilalți oameni","2.1.","edciv4-2.1","exerciții de identificare a unor termeni care se referă la valori morale, pornind, de exemplu, de la proverbe, fabule, desene animate adecvate vârstei elevilor, situații familiare de viață","Educaţie civică","edciv4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Manifestarea unor deprinderi de comportament moral-civic în contexte de viață din mediul cunoscut"
"Explorarea unor valori morale care stau la baza relațiilor cu ceilalți oameni","2.1.","edciv4-2.1","identificarea, în grupuri mici, a unor valori morale, în situații imaginare sau reale (de exemplu, în fragmente din povești, cazuri prezentate de mass-media, experiențe familiare de viață)","Educaţie civică","edciv4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Manifestarea unor deprinderi de comportament moral-civic în contexte de viață din mediul cunoscut"
"Explorarea unor valori morale care stau la baza relațiilor cu ceilalți oameni","2.1.","edciv4-2.1","identificarea de către elevi, în contexte dilematice simple, studii de caz, a necesității unor comportamente care au la bază valori pozitive (de exemplu, „Ce crezi că este bine să faci dacă …?”)","Educaţie civică","edciv4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Manifestarea unor deprinderi de comportament moral-civic în contexte de viață din mediul cunoscut"
"Recunoașterea unor comportamente moral-civice din viața cotidiană","2.2.","edciv4-2.2","exerciții de identificare a unor comportamente moral-civice în familie, școală, în grupul de prieteni, în locuri publice, pornind de la lecturi, fabule, desene animate adecvate vârstei elevilor, situații familiare de viață","Educaţie civică","edciv4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Manifestarea unor deprinderi de comportament moral-civic în contexte de viață din mediul cunoscut"
"Recunoașterea unor comportamente moral-civice din viața cotidiană","2.2.","edciv4-2.2","exemplificarea unor comportamente moral-civice specifice vieții cotidiene","Educaţie civică","edciv4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Manifestarea unor deprinderi de comportament moral-civic în contexte de viață din mediul cunoscut"
"Recunoașterea unor comportamente moral-civice din viața cotidiană","2.2.","edciv4-2.2","jocuri de rol care pun în practică comportamente moral-civice în contexte familiare (din familie, școală, grupul de prieteni, din locuri publice)","Educaţie civică","edciv4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Manifestarea unor deprinderi de comportament moral-civic în contexte de viață din mediul cunoscut"
"Deosebirea comportamentelor prosociale de cele antisociale","2.3.","edciv4-2.3","exerciții de recunoaștere și deosebire, în diferite contexte de viață, a unor comportamente prosociale/antisociale","Educaţie civică","edciv4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Manifestarea unor deprinderi de comportament moral-civic în contexte de viață din mediul cunoscut"
"Deosebirea comportamentelor prosociale de cele antisociale","2.3.","edciv4-2.3","finalizarea unor povestiri orale cu început dat, prin care să se pună în evidență comportamente bazate, de exemplu, pe ajutorare, cooperare, toleranță","Educaţie civică","edciv4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Manifestarea unor deprinderi de comportament moral-civic în contexte de viață din mediul cunoscut"
"Deosebirea comportamentelor prosociale de cele antisociale","2.3.","edciv4-2.3","exerciții de manifestare a acordului față de comportamente bazate pe ajutorare, cooperare, toleranță și a dezacordului față de comportamente conflictuale, agresive","Educaţie civică","edciv4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Manifestarea unor deprinderi de comportament moral-civic în contexte de viață din mediul cunoscut"
"Deosebirea comportamentelor prosociale de cele antisociale","2.3.","edciv4-2.3","exprimarea/argumentarea preferinței pentru adoptarea unui anumit comportament în situații date (răspunzând la întrebarea „Ce faci dacă…?”) și de autoevaluare a comportamentului propriu (răspunzând la întrebarea: „Am procedat bine?”)","Educaţie civică","edciv4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Manifestarea unor deprinderi de comportament moral-civic în contexte de viață din mediul cunoscut"
"Identificarea drepturilor universale ale copilului","2.4.","edciv4-2.4","exerciții de identificare a drepturilor universale ale copilului și a responsabilităților care decurg din asumarea acestora, în imagini, texte sau în cazuri date","Educaţie civică","edciv4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Manifestarea unor deprinderi de comportament moral-civic în contexte de viață din mediul cunoscut"
"Identificarea drepturilor universale ale copilului","2.4.","edciv4-2.4","recunoașterea în imagini, texte sau în cazuri date, a unor situații de respectare/încălcare a drepturilor copilului","Educaţie civică","edciv4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Manifestarea unor deprinderi de comportament moral-civic în contexte de viață din mediul cunoscut"
"Identificarea drepturilor universale ale copilului","2.4.","edciv4-2.4","studii de caz pentru discutarea consecințelor care decurg din încălcarea drepturilor copiilor","Educaţie civică","edciv4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Manifestarea unor deprinderi de comportament moral-civic în contexte de viață din mediul cunoscut"
"Identificarea drepturilor universale ale copilului","2.4.","edciv4-2.4","activități în grupuri mici pentru ilustrarea, în modalități alese de elevi, a unor drepturi ale copilului (de exemplu, prin formularea unei explicații, realizarea unui dialog, a unei scheme, a unui desen, prezentarea unei pantomime, jocuri de rol)","Educaţie civică","edciv4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Manifestarea unor deprinderi de comportament moral-civic în contexte de viață din mediul cunoscut"
"Relaționarea pozitivă cu ceilalți, în rezolvarea unor sarcini simple de lucru","3.1.","edciv4-3.1","rezolvarea, prin cooperare, a unor sarcini simple de lucru, în diferite contexte ale vieții cotidiene (în familie, în grupul de prieteni, în clasă, școală, comunitate)","Educaţie civică","edciv4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Cooperarea cu ceilalți pentru rezolvarea unor sarcini simple de lucru, manifestând disponibilitate"
"Relaționarea pozitivă cu ceilalți, în rezolvarea unor sarcini simple de lucru","3.1.","edciv4-3.1","simularea modului în care este necesar să se comporte membrii unui grup (de exemplu, elevii calificați la nivel național la olimpiada de Educație Civică) în situații date (de exemplu, la orele de curs, în perioada de pregătire pentru olimpiadă)","Educaţie civică","edciv4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Cooperarea cu ceilalți pentru rezolvarea unor sarcini simple de lucru, manifestând disponibilitate"
"Relaționarea pozitivă cu ceilalți, în rezolvarea unor sarcini simple de lucru","3.1.","edciv4-3.1","participarea la jocuri de rol care valorizează relaționarea pozitivă cu copiii care provin din grupuri etnice, culturale, sociale diferite sau care au nevoi speciale","Educaţie civică","edciv4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Cooperarea cu ceilalți pentru rezolvarea unor sarcini simple de lucru, manifestând disponibilitate"
"Participarea la activități care promovează drepturile universale ale copilului","3.2.","edciv4-3.2","discutarea unor cazuri reale sau imaginate care solicită decizie și exprimarea opiniilor personale","Educaţie civică","edciv4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Cooperarea cu ceilalți pentru rezolvarea unor sarcini simple de lucru, manifestând disponibilitate"
