"nume","ids","cod","activitate","disciplină","coddisc","nivel","act normativ","competență generală"
"Identificarea unor termeni geografici în texte/contexte/situații de învățare diferite","1.1.","geo4-1.1","recunoașterea unor termeni care reflectă realitatea observabilă în texte din manual/ texte complementare","Geografie","geo4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014 ","Prezentarea realității observabile, cu ajutorul terminologiei generale și specifice"
"Identificarea unor termeni geografici în texte/contexte/situații de învățare diferite","1.1.","geo4-1.1","notarea și explicarea unor termeni citiți sau desprinși dintr-un mesaj oral","Geografie","geo4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014 ","Prezentarea realității observabile, cu ajutorul terminologiei generale și specifice"
"Precizarea, în cuvinte proprii, a sensului termenilor geografici de bază","1.2.","geo4-1.2","redarea, în formulări proprii, a semnificației termenilor identificați în manual/texte complementare/denumiți de profesor","Geografie","geo4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014 ","Prezentarea realității observabile, cu ajutorul terminologiei generale și specifice"
"Precizarea, în cuvinte proprii, a sensului termenilor geografici de bază","1.2.","geo4-1.2","utilizarea termenilor geografici de bază în enunțuri proprii referitoare la elemente observate","Geografie","geo4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014 ","Prezentarea realității observabile, cu ajutorul terminologiei generale și specifice"
"Precizarea, în cuvinte proprii, a sensului termenilor geografici de bază","1.2.","geo4-1.2","notarea unor formulări proprii simple, referitoare la termeni identificați/desprinși dintr-un mesaj oral","Geografie","geo4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014 ","Prezentarea realității observabile, cu ajutorul terminologiei generale și specifice"
"Precizarea, în cuvinte proprii, a sensului termenilor geografici de bază","1.2.","geo4-1.2","definirea, în formulări proprii, a sensului termenilor de bază învățați","Geografie","geo4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014 ","Prezentarea realității observabile, cu ajutorul terminologiei generale și specifice"
"Utilizarea termenilor geografici simpli în contexte cunoscute","1.3.","geo4-1.3","completarea unor texte lacunare, cu termeni adecvați","Geografie","geo4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014 ","Prezentarea realității observabile, cu ajutorul terminologiei generale și specifice"
"Utilizarea termenilor geografici simpli în contexte cunoscute","1.3.","geo4-1.3","reformularea unor texte, cu păstrarea sensului termenilor învățați","Geografie","geo4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014 ","Prezentarea realității observabile, cu ajutorul terminologiei generale și specifice"
"Utilizarea termenilor geografici simpli în contexte cunoscute","1.3.","geo4-1.3","elaborarea unui text pe baza unei realități studiate sau a unei imagini, după un model dat","Geografie","geo4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014 ","Prezentarea realității observabile, cu ajutorul terminologiei generale și specifice"
"Utilizarea termenilor geografici simpli în contexte cunoscute","1.3.","geo4-1.3","elaborarea unui text pe baza unei structuri date, folosind corect termenii corespunzători","Geografie","geo4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014 ","Prezentarea realității observabile, cu ajutorul terminologiei generale și specifice"
