"nume","ids","cod","activitate","disciplină","coddisc","nivel","act normativ","competență generală"
"Ordonarea cronologică a unor evenimente din viața familiei, a faptelor prezentate într-o situație de învățare","1.1.","ist4-1.1","alcătuirea și prezentarea unei axe a timpului pe care să se reprezinte evenimente din viața personală, viața familiei sau istoria localității natale","Istorie","ist4","cl4","Ordin al ministrului educației naționale nr. 5003/02.12.2014","Localizarea în timp și în spațiu a evenimentelor istorice studiate"
"Ordonarea cronologică a unor evenimente din viața familiei, a faptelor prezentate într-o situație de învățare","1.1.","ist4-1.1","alcătuirea și prezentarea arborelui genealogic al familiei, folosind o schemă dată","Istorie","ist4","cl4","Ordin al ministrului educației naționale nr. 5003/02.12.2014","Localizarea în timp și în spațiu a evenimentelor istorice studiate"
"Ordonarea cronologică a unor evenimente din viața familiei, a faptelor prezentate într-o situație de învățare","1.1.","ist4-1.1","alcătuirea unui jurnal personal sau al clasei folosind enunțuri, desene, fotografii despre evenimente la care au participat în cadrul comunității","Istorie","ist4","cl4","Ordin al ministrului educației naționale nr. 5003/02.12.2014","Localizarea în timp și în spațiu a evenimentelor istorice studiate"
"Ordonarea cronologică a unor evenimente din viața familiei, a faptelor prezentate într-o situație de învățare","1.1.","ist4-1.1","prezentarea unor albume personale cu fotografii din istoria familiei sau a comunității","Istorie ","ist4","cl4","Ordin al ministrului educației naționale nr. 5003/02.12.2014","Localizarea în timp și în spațiu a evenimentelor istorice studiate"
"Ordonarea cronologică a unor evenimente din viața familiei, a faptelor prezentate într-o situație de învățare","1.1.","ist4-1.1","citirea și discutarea unor biografii ale unor personalități din diferite domenii (istoric, literar, artistic etc.), ținând cont de încadrarea în timp","Istorie","ist4","cl4","Ordin al ministrului educației naționale nr. 5003/02.12.2014","Localizarea în timp și în spațiu a evenimentelor istorice studiate"
"Ordonarea cronologică a unor evenimente din viața familiei, a faptelor prezentate într-o situație de învățare","1.1.","ist4-1.1","precizarea evenimentelor dintr-un text citit /audiat folosind expresii precum: la început/mai întâi/prima dată, apoi/după aceea, la urmă în final/în același timp etc.","Istorie","ist4","cl4","Ordin al ministrului educației naționale nr. 5003/02.12.2014","Localizarea în timp și în spațiu a evenimentelor istorice studiate"
"Ordonarea cronologică a unor evenimente din viața familiei, a faptelor prezentate într-o situație de învățare","1.1.","ist4-1.1","aranjarea unei succesiuni de enunțuri după ordinea logică de desfășurare a evenimentelor și în funcție de factorul timp","Istorie","ist4","cl4","Ordin al ministrului educației naționale nr. 5003/02.12.2014","Localizarea în timp și în spațiu a evenimentelor istorice studiate"
"Ordonarea cronologică a unor evenimente din viața familiei, a faptelor prezentate într-o situație de învățare","1.1.","ist4-1.1","participarea la jocuri de rol/dramatizări ale unor povestiri și legende istorice cunoscute","Istorie","ist4","cl4","Ordin al ministrului educației naționale nr. 5003/02.12.2014","Localizarea în timp și în spațiu a evenimentelor istorice studiate"
"Ordonarea cronologică a unor evenimente din viața familiei, a faptelor prezentate într-o situație de învățare","1.1.","ist4-1.1","vizionarea și discutarea unor secvențe din filme istorice/reportaje TV, respectând ordinea desfășurării evenimentelor","Istorie","ist4","cl4","Ordin al ministrului educației naționale nr. 5003/02.12.2014","Localizarea în timp și în spațiu a evenimentelor istorice studiate"
"Ordonarea cronologică a unor evenimente din viața familiei, a faptelor prezentate într-o situație de învățare","1.1.","ist4-1.1","alcătuirea de axe cronologice privind succesiunea unor evenimente/procese istorice","Istorie","ist4","cl4","Ordin al ministrului educației naționale nr. 5003/02.12.2014","Localizarea în timp și în spațiu a evenimentelor istorice studiate"
