nume,ids,cod,activitate,disciplină,coddisc,nivel,act normativ,competență generală
Explorarea proprietăților și fenomenelor fizice în cadrul unor investigații științifice diverse (experimentale/ teoretice),1.1,fiz8-1.1,"observarea în contextul investigației științifice a diferitelor fenomene fizice: mișcarea browniană, difuzia, conducția termică, transformări de stare de agregare, interacțiunea dintre corpuri electrizate, efectele curentului electric, interacțiunea dintre un electromagnet și diferite substanțe, reflexia, refracția etc.",Fizică,fiz8,cl8,Anexa nr. 2 la ordinul ministrului educației naționale nr. 3393 / 28.02.2133,"Investigarea științifică structurată, în principal experimentală, a unor fenomene fizice"
Explorarea proprietăților și fenomenelor fizice în cadrul unor investigații științifice diverse (experimentale/ teoretice),1.1,fiz8-1.1,"identificarea proprietăților și fenomenelor fizice în domeniul tehnic – tehnologic prin documentare din viața reală, prin vizite la muzee tehnice, prin participarea la cercuri tehnice în afara orelor, în cadrul educației STEM",Fizică,fiz8,cl8,Anexa nr. 2 la ordinul ministrului educației naționale nr. 3393 / 28.02.2134,"Investigarea științifică structurată, în principal experimentală, a unor fenomene fizice"
Explorarea proprietăților și fenomenelor fizice în cadrul unor investigații științifice diverse (experimentale/ teoretice),1.1,fiz8-1.1,"stabilirea experimentală a corelațiilor de tip cauzal între diverse procese naturale sau tehnologice, precum și între mărimile fizice implicate în acestea",Fizică,fiz8,cl8,Anexa nr. 2 la ordinul ministrului educației naționale nr. 3393 / 28.02.2135,"Investigarea științifică structurată, în principal experimentală, a unor fenomene fizice"
"Folosirea unor metode și instrumente pentru înregistrarea, organizarea și prelucrarea datelor experimentale și teoretice",1.2,fiz8-1.2,înregistrarea de imagini statice și dinamice ale unor fenomene sau procese fizice cu scopul analizării și prezentării lor în cadru organizat,Fizică,fiz8,cl8,Anexa nr. 2 la ordinul ministrului educației naționale nr. 3393 / 28.02.2136,"Investigarea științifică structurată, în principal experimentală, a unor fenomene fizice"
"Folosirea unor metode și instrumente pentru înregistrarea, organizarea și prelucrarea datelor experimentale și teoretice",1.2,fiz8-1.2,folosirea de mijloace moderne pentru măsurarea parametrilor fizici în cadrul derulării experimentelor,Fizică,fiz8,cl8,Anexa nr. 2 la ordinul ministrului educației naționale nr. 3393 / 28.02.2137,"Investigarea științifică structurată, în principal experimentală, a unor fenomene fizice"
"Folosirea unor metode și instrumente pentru înregistrarea, organizarea și prelucrarea datelor experimentale și teoretice",1.2,fiz8-1.2,"utilizarea mijloacelor TIC pentru înregistrarea, prelucrarea și prezentarea datelor culese din experimente proprii sau din informații preluate din diferite lucrări: tabele și grafice la transformări de stare de agregare, la funcționarea unor circuite electrice, la lentile etc.",Fizică,fiz8,cl8,Anexa nr. 2 la ordinul ministrului educației naționale nr. 3393 / 28.02.2138,"Investigarea științifică structurată, în principal experimentală, a unor fenomene fizice"
Sintetizarea dovezilor obținute din investigații științifice în vederea susținerii cu argumente a unei explicații/generalizări,1.3,fiz8-1.3,"identificarea unor particularități ale fenomenelor fizice, prin măsurători directe și prelucrări ale datelor experimentale (de exemplu evidențierea grafică a constanței temperaturii în cadrul unor transformări de fază)",Fizică,fiz8,cl8,Anexa nr. 2 la ordinul ministrului educației naționale nr. 3393 / 28.02.2139,"Investigarea științifică structurată, în principal experimentală, a unor fenomene fizice"
Sintetizarea dovezilor obținute din investigații științifice în vederea susținerii cu argumente a unei explicații/generalizări,1.3,fiz8-1.3,"formularea enunțurilor unor legi/teoreme pe baza analizei experimentale a unei situații problemă (de exemplu: evidențierea legilor circuitelor electrice, stabilirea experimentală a legilor reflexiei și refracției)",Fizică,fiz8,cl8,Anexa nr. 2 la ordinul ministrului educației naționale nr. 3393 / 28.02.2140,"Investigarea științifică structurată, în principal experimentală, a unor fenomene fizice"
Încadrarea în clasele de fenomene fizice studiate a fenomenelor fizice complexe identificate în natură și în diferite aplicații tehnice,2.1,fiz8-2.1,"analizarea diferitelor fenomene fizice, instrumente și mărimi fizice din domeniile studiate",Fizică,fiz8,cl8,Anexa nr. 2 la ordinul ministrului educației naționale nr. 3393 / 28.02.2141,Explicarea științifică a unor fenomene fizice simple și a unor aplicații tehnice ale acestora
Încadrarea în clasele de fenomene fizice studiate a fenomenelor fizice complexe identificate în natură și în diferite aplicații tehnice,2.1,fiz8-2.1,identificarea fenomenelor fizice în natură și în funcționarea unor aparate și dispozitive simple,Fizică,fiz8,cl8,Anexa nr. 2 la ordinul ministrului educației naționale nr. 3393 / 28.02.2142,Explicarea științifică a unor fenomene fizice simple și a unor aplicații tehnice ale acestora
Încadrarea în clasele de fenomene fizice studiate a fenomenelor fizice complexe identificate în natură și în diferite aplicații tehnice,2.1,fiz8-2.1,descrierea fenomenelor fizice din natură și a unor aparate și dispozitive simple din tehnologie,Fizică,fiz8,cl8,Anexa nr. 2 la ordinul ministrului educației naționale nr. 3393 / 28.02.2143,Explicarea științifică a unor fenomene fizice simple și a unor aplicații tehnice ale acestora
Încadrarea în clasele de fenomene fizice studiate a fenomenelor fizice complexe identificate în natură și în diferite aplicații tehnice,2.1,fiz8-2.1,"analizarea individuală sau în grup a unor sisteme termice, electrice etc.",Fizică,fiz8,cl8,Anexa nr. 2 la ordinul ministrului educației naționale nr. 3393 / 28.02.2144,Explicarea științifică a unor fenomene fizice simple și a unor aplicații tehnice ale acestora
"Explicarea de tip cauză - efect, utilizând un limbaj științific adecvat, a unor fenomene fizice simple identificate în natură și în diferite aplicații tehnice",2.2,fiz8-2.2,explicarea argumentată a relației de interdependență dintre mărimile fizice care apar într-o expresie matematică,Fizică,fiz8,cl8,Anexa nr. 2 la ordinul ministrului educației naționale nr. 3393 / 28.02.2145,Explicarea științifică a unor fenomene fizice simple și a unor aplicații tehnice ale acestora
"Explicarea de tip cauză - efect, utilizând un limbaj științific adecvat, a unor fenomene fizice simple identificate în natură și în diferite aplicații tehnice",2.2,fiz8-2.2,susținerea argumentată verbal și/sau în scris a propriilor păreri și atitudini asupra unor teme discutate,Fizică,fiz8,cl8,Anexa nr. 2 la ordinul ministrului educației naționale nr. 3393 / 28.02.2146,Explicarea științifică a unor fenomene fizice simple și a unor aplicații tehnice ale acestora
"Explicarea de tip cauză - efect, utilizând un limbaj științific adecvat, a unor fenomene fizice simple identificate în natură și în diferite aplicații tehnice",2.2,fiz8-2.2,"explicarea din punct de vedere fizic a unor noțiuni/ fenomene studiate la alte discipline (de exemplu: geografie – diferența dintre climatul continental și cel temperat oceanic, cauze ale poluării – etc.; biologie – comparații între bilanțul energetic al proceselor fiziologice la diferite specii de animale; chimie – metode folosite industrial pentru acoperirea unor suprafețe prin electroliză etc.",Fizică,fiz8,cl8,Anexa nr. 2 la ordinul ministrului educației naționale nr. 3393 / 28.02.2147,Explicarea științifică a unor fenomene fizice simple și a unor aplicații tehnice ale acestora
"Explicarea de tip cauză - efect, utilizând un limbaj științific adecvat, a unor fenomene fizice simple identificate în natură și în diferite aplicații tehnice",2.2,fiz8-2.2,"identificarea reperelor istorice în apariția și în evoluția unor termeni, explicații, teorii asupra unor fenomene fizice discutate",Fizică,fiz8,cl8,Anexa nr. 2 la ordinul ministrului educației naționale nr. 3393 / 28.02.2148,Explicarea științifică a unor fenomene fizice simple și a unor aplicații tehnice ale acestora
"Explicarea de tip cauză - efect, utilizând un limbaj științific adecvat, a unor fenomene fizice simple identificate în natură și în diferite aplicații tehnice",2.2,fiz8-2.2,"descrierea fenomenelor pe baza unor legi și principii fizice (legea lui Ohm, legea lui Joule etc.)",Fizică,fiz8,cl8,Anexa nr. 2 la ordinul ministrului educației naționale nr. 3393 / 28.02.2149,Explicarea științifică a unor fenomene fizice simple și a unor aplicații tehnice ale acestora
Prevenirea unor posibile efecte negative asupra oamenilor și/sau asupra mediului ale unor fenomene fizice și/sau aplicații în tehnică ale acestora,2.3,fiz8-2.3,aplicarea regulilor de protecție personală și a celorlalți în timpul efectuării lucrărilor experimentale din laboratorul de fizică,Fizică,fiz8,cl8,Anexa nr. 2 la ordinul ministrului educației naționale nr. 3393 / 28.02.2150,Explicarea științifică a unor fenomene fizice simple și a unor aplicații tehnice ale acestora
Prevenirea unor posibile efecte negative asupra oamenilor și/sau asupra mediului ale unor fenomene fizice și/sau aplicații în tehnică ale acestora,2.3,fiz8-2.3,"stabilirea avantajelor economiei de energie consumată în diverse activități casnice sau economice, atât pentru consumatori, cât și pentru mediu",Fizică,fiz8,cl8,Anexa nr. 2 la ordinul ministrului educației naționale nr. 3393 / 28.02.2151,Explicarea științifică a unor fenomene fizice simple și a unor aplicații tehnice ale acestora
Extragerea de date științifice relevante din observații proprii și/sau din diverse surse,3.1,fiz8-3.1,utilizarea surselor bibliografice/webografie recomandată sau identificată independent pentru interpretarea unor informații științifice,Fizică,fiz8,cl8,Anexa nr. 2 la ordinul ministrului educației naționale nr. 3393 / 28.02.2152,"Interpretarea unor date și informații, obținute experimental sau din alte surse, privind fenomene fizice simple și aplicații tehnice ale acestora"
Extragerea de date științifice relevante din observații proprii și/sau din diverse surse,3.1,fiz8-3.1,construirea enunțului unei probleme de investigat prin selecția datelor relevante din prezentarea unei probleme sau a unei situații problemă,Fizică,fiz8,cl8,Anexa nr. 2 la ordinul ministrului educației naționale nr. 3393 / 28.02.2153,"Interpretarea unor date și informații, obținute experimental sau din alte surse, privind fenomene fizice simple și aplicații tehnice ale acestora"
Extragerea de date științifice relevante din observații proprii și/sau din diverse surse,3.1,fiz8-3.1,"extragerea datelor prelucrabile din informații de tip documentar privind sursele de energie, transformări energetice, interacțiuni la distanță",Fizică,fiz8,cl8,Anexa nr. 2 la ordinul ministrului educației naționale nr. 3393 / 28.02.2154,"Interpretarea unor date și informații, obținute experimental sau din alte surse, privind fenomene fizice simple și aplicații tehnice ale acestora"
