nume,ids,cod,activitate,disciplină,coddisc,nivel,act normativ,competență generală
"Sesizarea elementelor de detaliu ale unui mesaj vizual simplu, exprimat printr-o varietate de forme artistice ",1.1.,arteviz1-1.1,"formularea de răspunsuri la întrebări despre elemente de detaliu dintr-un desen, dintr-o pictură, dintr-un modelaj, colaj sau film de desene animate ",Arte vizuale și abilități practice,arteviz1,cl1,Ordin al ministrului educației naționale nr. 3418/19.03.2013,Explorarea de mesaje artistice exprimate în limbaj vizual într-o diversitate de contexte familiare
"Sesizarea elementelor de detaliu ale unui mesaj vizual simplu, exprimat printr-o varietate de forme artistice ",1.1.,arteviz1-1.1,"formularea de răspunsuri orale și/sau scrise în jocuri de tipul ""De două ori cinci” – Exemplu: „Numește/scrie cinci lucruri pe care le observi în reproducerea Pomi înfloriși a lui I. Andreescu..... Privește din nou și închipuie-și că ești în livadă, alături de pictor. Numește/ scrie alte cinci lucruri pe care le observi.” ",Arte vizuale și abilități practice,arteviz1,cl1,Ordin al ministrului educației naționale nr. 3418/19.03.2013,Explorarea de mesaje artistice exprimate în limbaj vizual într-o diversitate de contexte familiare
"Sesizarea elementelor de detaliu ale unui mesaj vizual simplu, exprimat printr-o varietate de forme artistice ",1.1.,arteviz1-1.1,identificarea dintr-o suită de imagini a aceleia care conține un detaliu dat ,Arte vizuale și abilități practice,arteviz1,cl1,Ordin al ministrului educației naționale nr. 3418/19.03.2013,Explorarea de mesaje artistice exprimate în limbaj vizual într-o diversitate de contexte familiare
"Sesizarea elementelor de detaliu ale unui mesaj vizual simplu, exprimat printr-o varietate de forme artistice ",1.1.,arteviz1-1.1,jocuri tip puzzle sau loto cu imagini/fotografii ,Arte vizuale și abilități practice,arteviz1,cl1,Ordin al ministrului educației naționale nr. 3418/19.03.2013,Explorarea de mesaje artistice exprimate în limbaj vizual într-o diversitate de contexte familiare
"Sesizarea elementelor de detaliu ale unui mesaj vizual simplu, exprimat printr-o varietate de forme artistice ",1.1.,arteviz1-1.1,"rezolvarea de jocuri pe teme diverse, de tipul Găsește diferențele/ intrusul; Ghicește ce s-a schimbat etc. pictură, dintr-un modelaj, colaj sau film de desene animate ",Arte vizuale și abilități practice,arteviz1,cl1,Ordin al ministrului educației naționale nr. 3418/19.03.2013,Explorarea de mesaje artistice exprimate în limbaj vizual într-o diversitate de contexte familiare
"Sesizarea elementelor de detaliu ale unui mesaj vizual simplu, exprimat printr-o varietate de forme artistice ",1.1.,arteviz1-1.1,"observarea diferențelor dintre formele plane și cele spațiale (aceeași temă în pictură versus sculptură, colaje, felicitări bidimensionale și tridimensionale etc.) ",Arte vizuale și abilități practice,arteviz1,cl1,Ordin al ministrului educației naționale nr. 3418/19.03.2013,Explorarea de mesaje artistice exprimate în limbaj vizual într-o diversitate de contexte familiare
"Sesizarea elementelor de detaliu ale unui mesaj vizual simplu, exprimat printr-o varietate de forme artistice ",1.1.,arteviz1-1.1,"numirea materialelor, instrumentelor și tehnicilor utilizate",Arte vizuale și abilități practice,arteviz1,cl1,Ordin al ministrului educației naționale nr. 3418/19.03.2013,Explorarea de mesaje artistice exprimate în limbaj vizual într-o diversitate de contexte familiare
"Identificarea liniei, a punctului, a culorii și a formei în contexte cunoscute",1.2.,arteviz1-1.2,"participarea la jocuri de tipul Săculețul fermecat (elevii introduc mâna într-un săculeț cu obiecte, le pipăie și recunosc obiectul doar după formă)",Arte vizuale și abilități practice,arteviz1,cl1,Ordin al ministrului educației naționale nr. 3418/19.03.2013,Explorarea de mesaje artistice exprimate în limbaj vizual într-o diversitate de contexte familiare
"Identificarea liniei, a punctului, a culorii și a formei în contexte cunoscute",1.2.,arteviz1-1.2,participarea la jocuri de asociere formă și/sau culoare-obiect,Arte vizuale și abilități practice,arteviz1,cl1,Ordin al ministrului educației naționale nr. 3418/19.03.2013,Explorarea de mesaje artistice exprimate în limbaj vizual într-o diversitate de contexte familiare
"Identificarea liniei, a punctului, a culorii și a formei în contexte cunoscute",1.2.,arteviz1-1.2,"jocuri de tip Obiectul surpriză (ghicirea obiectului după caracteristici aflate prin întrebări; fiecare elev va aduce, pe rând, de acasă, un obiect cu semnificație personală, o jucărie etc.)",Arte vizuale și abilități practice,arteviz1,cl1,Ordin al ministrului educației naționale nr. 3418/19.03.2013,Explorarea de mesaje artistice exprimate în limbaj vizual într-o diversitate de contexte familiare
