"nume","ids","cod","activitate","disciplină","coddisc","nivel","act normativ","competență generală"
"Exprimarea de opinii proprii referitoare la mesajele comunicate prin limbaj vizual ","1.1.","artViz4-1.1","participarea la discuții pe tema comunicării prin limbaj vizual (de exemplu, analiza de portret - subiecte comune - tehnici și mijloace de expresie diferite)","Arte vizuale și abilități practice","artViz4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014 ","Explorarea de mesaje exprimate în limbaj vizual într-o diversitate de contexte"
"Exprimarea de opinii proprii referitoare la mesajele comunicate prin limbaj vizual ","1.1.","artViz4-1.1","observarea spațiului ambiental urban/ rural pe baza identificării unor similitudini între formele clădirilor și formele geometrice/formele naturale; formularea de răspunsuri la întrebări precum: „Observăm o anumită regulă în desenul fațadelor? Care ar fi aceasta? Cum am putea s-o descriem?” ","Arte vizuale și abilități practice","artViz4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014 ","Explorarea de mesaje exprimate în limbaj vizual într-o diversitate de contexte"
"Exprimarea de opinii proprii referitoare la mesajele comunicate prin limbaj vizual ","1.1.","artViz4-1.1","asumarea de roluri (ghid, arhitect, reporter) în scopul prezentării spațiului ambiental urban sau rural (de exemplu, a istoriei caselor/construcțiilor reprezentative)","Arte vizuale și abilități practice","artViz4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014 ","Explorarea de mesaje exprimate în limbaj vizual într-o diversitate de contexte"
"Exprimarea de opinii proprii referitoare la mesajele comunicate prin limbaj vizual ","1.1.","artViz4-1.1","vizite, în mediul virtual, la Muzeul de Artă, Muzeul Satului etc.","Arte vizuale și abilități practice","artViz4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014 ","Explorarea de mesaje exprimate în limbaj vizual într-o diversitate de contexte"
"Exprimarea de opinii proprii referitoare la mesajele comunicate prin limbaj vizual ","1.1.","artViz4-1.1","vizionarea de filme având ca temă ambientul construit ","Arte vizuale și abilități practice","artViz4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014 ","Explorarea de mesaje exprimate în limbaj vizual într-o diversitate de contexte"
"Evidențierea caracteristicilor diferitelor categorii de elemente de limbaj plastic, în compoziții în mediul înconjurător și în imagini ","1.2.","artViz4-1.2","participarea la exerciții-joc de observare a diferitelor ipostaze ale punctului și liniei în compoziții plastice și în mediul înconjurător ","Arte vizuale și abilități practice","artViz4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014 ","Explorarea de mesaje exprimate în limbaj vizual într-o diversitate de contexte"
"Evidențierea caracteristicilor diferitelor categorii de elemente de limbaj plastic, în compoziții în mediul înconjurător și în imagini ","1.2.","artViz4-1.2","exerciții-joc de observare a elementelor din natură care pot fi sugerate prin linii: verticale, orizontale, oblice, groase, subțiri, curbe, frânte","Arte vizuale și abilități practice","artViz4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014 ","Explorarea de mesaje exprimate în limbaj vizual într-o diversitate de contexte"
"Evidențierea caracteristicilor diferitelor categorii de elemente de limbaj plastic, în compoziții în mediul înconjurător și în imagini ","1.2.","artViz4-1.2","participarea la exerciții-joc de explorare a legăturii dintre cuvinte cheie și compoziții plastice, sculpturi, fotografii etc. (subiectul compoziției/lucrării)","Arte vizuale și abilități practice","artViz4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014 ","Explorarea de mesaje exprimate în limbaj vizual într-o diversitate de contexte"
"Evidențierea caracteristicilor diferitelor categorii de elemente de limbaj plastic, în compoziții în mediul înconjurător și în imagini ","1.2.","artViz4-1.2","identificarea unor elemente decorative în creații populare diverse","Arte vizuale și abilități practice","artViz4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014 ","Explorarea de mesaje exprimate în limbaj vizual într-o diversitate de contexte"
"Valorificarea unor materiale și tehnici adecvate, pentru exprimarea clară a unui mesaj intenționat","2.1.","artViz4-2.1","selectarea intenționată a diverselor materiale (culori de apă, tușuri, creioane, pensule, plastilină etc.), în vederea obținerii unor rezultate anticipate","Arte vizuale și abilități practice","artViz4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014 ","Realizarea de creații funcționale și/sau estetice folosind materiale și tehnici adecvate"
