"nume","ids","cod","activitate","disciplină","coddisc","nivel","act normativ","competență generală"
"Investigarea unor reacții chimice în contexte cunoscute","1.1.","chim8-1.1","observarea transformărilor din cadrul unor procese chimice  în activități practice de laborator, prin completarea unor fișe de observare (de exemplu: formare de precipitat/degajare de gaz, evidențierea formării unor acizi/baze cu ajutorul indicatorilor etc.)","Chimie","chim8","cl8","Ordinul ministrului educaţiei naţionale nr. 3393 / 28.02.2017","Explorarea unor fenomene și proprietăți ale substanțelor întâlnite în activitatea cotidiană"
"Investigarea unor reacții chimice în contexte cunoscute","1.1.","chim8-1.1","analizarea proceselor chimice care pun în evidență reactivitatea unui metal pe baza observațiilor din cadrul unor experimente","Chimie","chim8","cl8","Ordinul ministrului educaţiei naţionale nr. 3393 / 28.02.2018","Explorarea unor fenomene și proprietăți ale substanțelor întâlnite în activitatea cotidiană"
"Investigarea unor reacții chimice în contexte cunoscute","1.1.","chim8-1.1","investigarea unor procese chimice în vederea identificării tipului de reacție chimică după criterii stabilite (natura reactanților și a produșilor de reacție, efectul termic etc.)","Chimie","chim8","cl8","Ordinul ministrului educaţiei naţionale nr. 3393 / 28.02.2019","Explorarea unor fenomene și proprietăți ale substanțelor întâlnite în activitatea cotidiană"
"Investigarea unor reacții chimice în contexte cunoscute","1.1.","chim8-1.1","investigarea legii conservării masei substanțelor în scopul aplicării legii conservării numărului de atomi care participă la o reacție chimică","Chimie","chim8","cl8","Ordinul ministrului educaţiei naţionale nr. 3393 / 28.02.2020","Explorarea unor fenomene și proprietăți ale substanțelor întâlnite în activitatea cotidiană"
"Investigarea unor reacții chimice în contexte cunoscute","1.1.","chim8-1.1","investigarea experimentală a unor reacții în scopul identificării unor substanțe compuse cu ajutorul reactivilor specifici, pe baza precipitatelor formate","Chimie","chim8","cl8","Ordinul ministrului educaţiei naţionale nr. 3393 / 28.02.2021","Explorarea unor fenomene și proprietăți ale substanțelor întâlnite în activitatea cotidiană"
"Interpretarea caracteristicilor specifice diferitelor fenomene/procese în contexte diverse","1.2.","chim8-1.2","stabilirea unor corelații între proprietățile chimice ale unor substanțe și clasa de compuși din care fac parte în cadrul unor experimente de laborator, utilizând fișe de observare","Chimie","chim8","cl8","Ordinul ministrului educaţiei naţionale nr. 3393 / 28.02.2022","Explorarea unor fenomene și proprietăți ale substanțelor întâlnite în activitatea cotidiană"
"Interpretarea caracteristicilor specifice diferitelor fenomene/procese în contexte diverse","1.2.","chim8-1.2","identificarea unor procese exoterme şi endoterme din viața cotidiană (de exemplu: arderea gazului metan, a combustibililor-benzine, motorine, cărbuni, descompunerea carbonatului de calciu)","Chimie","chim8","cl8","Ordinul ministrului educaţiei naţionale nr. 3393 / 28.02.2023","Explorarea unor fenomene și proprietăți ale substanțelor întâlnite în activitatea cotidiană"
"Interpretarea caracteristicilor specifice diferitelor fenomene/procese în contexte diverse","1.2.","chim8-1.2","identificarea cu ajutorul indicatorilor acido-bazici/hârtiei indicatoare de pH a caracterului acid sau bazic al unor substanțe formate în urma unor reacții chimice","Chimie","chim8","cl8","Ordinul ministrului educaţiei naţionale nr. 3393 / 28.02.2024","Explorarea unor fenomene și proprietăți ale substanțelor întâlnite în activitatea cotidiană"
"Interpretarea caracteristicilor specifice diferitelor fenomene/procese în contexte diverse","1.2.","chim8-1.2","efectuarea unor experimente pentru ilustrarea reacțiilor chimice studiate (de exemplu: experimentarea reacției de combinare dintre oxidul de calciu și apă, a reacției de descompunere termică a hidroxidului de cupru (II), a reacției de substituție a hidrogenului din apă cu sodiu sau a reacției de schimb dintre acidul clorhidric și azotatul de argint, în cadrul unor activități experimentale realizate în echipă)- deducerea utilizărilor unor substanțe pe baza proprietăților fizice și chimice, folosind datele obținute prin activitate investigativă","Chimie","chim8","cl8","Ordinul ministrului educaţiei naţionale nr. 3393 / 28.02.2025","Explorarea unor fenomene și proprietăți ale substanțelor întâlnite în activitatea cotidiană"
"Utilizarea simbolurilor și a terminologiei specifice chimiei pentru reprezentarea elementelor, substanțelor simple/compuse și a ecuațiilor reacțiilor chimice","1.3.","chim8-1.3","scrierea ecuațiilor reacţiilor chimice care ilustrează proprietățile unor substanțe utilizând formule chimice","Chimie","chim8","cl8","Ordinul ministrului educaţiei naţionale nr. 3393 / 28.02.2026","Explorarea unor fenomene și proprietăți ale substanțelor întâlnite în activitatea cotidiană"
