"nume","ids","cod","activitate","disciplină","coddisc","nivel","act normativ","competență generală"
"Identificarea semnificației unui mesaj scurt, pe teme familiare, rostit clar și rar","1.1.","lbcomRom0-1.1","selectarea unei imagini dintr-un set, pentru a indica despre ce este vorba în mesaj","Comunicare în limba română","lbcomRom0","cl0","Ordin al ministrului educației naționale nr. 3418/19.03.2013","Receptarea de mesaje orale în contexte de comunicare cunoscute"
"Identificarea semnificației unui mesaj scurt, pe teme familiare, rostit clar și rar","1.1.","lbcomRom0-1.1","realizarea unui desen pentru a indica despre ce este vorba în mesaj","Comunicare în limba română","lbcomRom0","cl0","Ordin al ministrului educației naționale nr. 3418/19.03.2013","Receptarea de mesaje orale în contexte de comunicare cunoscute"
"Identificarea semnificației unui mesaj scurt, pe teme familiare, rostit clar și rar","1.1.","lbcomRom0-1.1","oferirea de răspunsuri la întrebarea: „Despre ce este vorba (în acest fragment de poveste)?”","Comunicare în limba română","lbcomRom0","cl0","Ordin al ministrului educației naționale nr. 3418/19.03.2013","Receptarea de mesaje orale în contexte de comunicare cunoscute"
"Identificarea semnificației unui mesaj scurt, pe teme familiare, rostit clar și rar","1.1.","lbcomRom0-1.1","aprecierea ca adevărate sau false a unor enunțuri scurte care testează înțelegerea textului audiat","Comunicare în limba română","lbcomRom0","cl0","Ordin al ministrului educației naționale nr. 3418/19.03.2013","Receptarea de mesaje orale în contexte de comunicare cunoscute"
"Identificarea semnificației unui mesaj scurt, pe teme familiare, rostit clar și rar","1.1.","lbcomRom0-1.1","formularea unor răspunsuri la întrebări despre conținutul unui mesaj/ text scurt audiat","Comunicare în limba română","lbcomRom0","cl0","Ordin al ministrului educației naționale nr. 3418/19.03.2013","Receptarea de mesaje orale în contexte de comunicare cunoscute"
"Identificarea semnificației unui mesaj scurt, pe teme familiare, rostit clar și rar","1.1.","lbcomRom0-1.1","reformularea unor mesaje","Comunicare în limba română","lbcomRom0","cl0","Ordin al ministrului educației naționale nr. 3418/19.03.2013","Receptarea de mesaje orale în contexte de comunicare cunoscute"
"Identificarea semnificației unui mesaj scurt, pe teme familiare, rostit clar și rar","1.1.","lbcomRom0-1.1","repovestirea unor secvențe preferate dintr-un text audiat","Comunicare în limba română","lbcomRom0","cl0","Ordin al ministrului educației naționale nr. 3418/19.03.2013","Receptarea de mesaje orale în contexte de comunicare cunoscute"
"Identificarea semnificației unui mesaj scurt, pe teme familiare, rostit clar și rar","1.1.","lbcomRom0-1.1","observarea, recunoașterea, executarea unor comenzi simple (privește, ascultă, fii atent)","Comunicare în limba română","lbcomRom0","cl0","Ordin al ministrului educației naționale nr. 3418/19.03.2013","Receptarea de mesaje orale în contexte de comunicare cunoscute"
"Identificarea semnificației unui mesaj scurt, pe teme familiare, rostit clar și rar","1.1.","lbcomRom0-1.1","audierea unor povești sau a unei descrieri și manifestarea reacțiilor corespunzătoare","Comunicare în limba română","lbcomRom0","cl0","Ordin al ministrului educației naționale nr. 3418/19.03.2013","Receptarea de mesaje orale în contexte de comunicare cunoscute"
"Identificarea semnificației unui mesaj scurt, pe teme familiare, rostit clar și rar","1.1.","lbcomRom0-1.1","decodificarea mesajului încifrat în ghicitori","Comunicare în limba română","lbcomRom0","cl0","Ordin al ministrului educației naționale nr. 3418/19.03.2013","Receptarea de mesaje orale în contexte de comunicare cunoscute"
"Identificarea unor informații variate dintr-un mesaj scurt, rostit clar și rar","1.2.","lbcomRom0-1.2","numirea personajului/ personajelor dintr-un fragment de poveste audiat","Comunicare în limba română","lbcomRom0","cl0","Ordin al ministrului educației naționale nr. 3418/19.03.2013","Receptarea de mesaje orale în contexte de comunicare cunoscute"
"Identificarea unor informații variate dintr-un mesaj scurt, rostit clar și rar","1.2.","lbcomRom0-1.2","oferirea unor răspunsuri la cererea elementară de informații: „Cine? Ce? Unde? Cum?”","Comunicare în limba română","lbcomRom0","cl0","Ordin al ministrului educației naționale nr. 3418/19.03.2013","Receptarea de mesaje orale în contexte de comunicare cunoscute"
"Identificarea unor informații variate dintr-un mesaj scurt, rostit clar și rar","1.2.","lbcomRom0-1.2","oferirea de replici afirmative/ negative la enunțuri scurte care vizează diverse informații din text –Exemplu: numele greșit al personajului, locul corect în care se petrece acțiunea","Comunicare în limba română","lbcomRom0","cl0","Ordin al ministrului educației naționale nr. 3418/19.03.2013","Receptarea de mesaje orale în contexte de comunicare cunoscute"
"Identificarea unor informații variate dintr-un mesaj scurt, rostit clar și rar","1.2.","lbcomRom0-1.2","recunoașterea unor enunțuri care nu se potrivesc ca sens cu un mesaj audiat anterior","Comunicare în limba română","lbcomRom0","cl0","Ordin al ministrului educației naționale nr. 3418/19.03.2013","Receptarea de mesaje orale în contexte de comunicare cunoscute"
"Identificarea unor informații variate dintr-un mesaj scurt, rostit clar și rar","1.2.","lbcomRom0-1.2","indicarea prin semne (ridicarea unui deget/ a creionului etc.) pentru a selecta detaliul corect dintr-un set de enunțuri/ cuvinte","Comunicare în limba română","lbcomRom0","cl0","Ordin al ministrului educației naționale nr. 3418/19.03.2013","Receptarea de mesaje orale în contexte de comunicare cunoscute"
"Identificarea unor informații variate dintr-un mesaj scurt, rostit clar și rar","1.2.","lbcomRom0-1.2","îndeplinirea unei instrucțiuni simple","Comunicare în limba română","lbcomRom0","cl0","Ordin al ministrului educației naționale nr. 3418/19.03.2013","Receptarea de mesaje orale în contexte de comunicare cunoscute"
"Identificarea unor informații variate dintr-un mesaj scurt, rostit clar și rar","1.2.","lbcomRom0-1.2","participarea la jocuri de grup, ca urmare a înțelegerii regulilor jocului","Comunicare în limba română","lbcomRom0","cl0","Ordin al ministrului educației naționale nr. 3418/19.03.2013","Receptarea de mesaje orale în contexte de comunicare cunoscute"
"Identificarea sunetului inițial și/ sau final dintr-un cuvânt, a silabelor și a cuvintelor din propoziții rostite clar și rar","1.3.","lbcomRom0-1.3","indicarea sunetelor/ silabelor/ cuvintelor percepute prin diferite semne: bătăi din palme, ridicarea unui deget, a unui obiect, jetoane puse pe bancă, săritură etc. – Exemplu: „Pune pe masă atâtea jetoane câte cuvinte ai auzit”","Comunicare în limba română","lbcomRom0","cl0","Ordin al ministrului educației naționale nr. 3418/19.03.2013","Receptarea de mesaje orale în contexte de comunicare cunoscute"
"Identificarea sunetului inițial și/ sau final dintr-un cuvânt, a silabelor și a cuvintelor din propoziții rostite clar și rar","1.3.","lbcomRom0-1.3","numărarea cuvintelor dintr-un enunț scurt","Comunicare în limba română","lbcomRom0","cl0","Ordin al ministrului educației naționale nr. 3418/19.03.2013","Receptarea de mesaje orale în contexte de comunicare cunoscute"
"Identificarea sunetului inițial și/ sau final dintr-un cuvânt, a silabelor și a cuvintelor din propoziții rostite clar și rar","1.3.","lbcomRom0-1.3","stabilirea poziției sau succesiunii cuvintelor din propoziții orale de 3-4 cuvinte","Comunicare în limba română","lbcomRom0","cl0","Ordin al ministrului educației naționale nr. 3418/19.03.2013","Receptarea de mesaje orale în contexte de comunicare cunoscute"
"Identificarea sunetului inițial și/ sau final dintr-un cuvânt, a silabelor și a cuvintelor din propoziții rostite clar și rar","1.3.","lbcomRom0-1.3","punerea în corespondență a unui cuvânt rostit cu imaginea potrivită","Comunicare în limba română","lbcomRom0","cl0","Ordin al ministrului educației naționale nr. 3418/19.03.2013","Receptarea de mesaje orale în contexte de comunicare cunoscute"
"Identificarea sunetului inițial și/ sau final dintr-un cuvânt, a silabelor și a cuvintelor din propoziții rostite clar și rar","1.3.","lbcomRom0-1.3","identificarea sensului unui cuvânt rostit de cadrul didactic/ colegi","Comunicare în limba română","lbcomRom0","cl0","Ordin al ministrului educației naționale nr. 3418/19.03.2013","Receptarea de mesaje orale în contexte de comunicare cunoscute"
