"nume","ids","cod","activitate","disciplină","coddist","nivel","act normativ","competență generală"
"Identificarea resurselor personale şi a oportunităților de dezvoltare specifice vârstei elementare","1.1.","consEd5-1.1","prezentarea propriei persoane „Eu, într-un tablou prin desen, pictură, colaj”, „Eu, în mediul online”, „Scrisoare către mine”","Consiliere și dezvoltare personală","consEd5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Adoptarea atitudinilor pozitive faţă de sine şi a unui stil de viaţă sănătos și echilibrat"
"Identificarea resurselor personale şi a oportunităților de dezvoltare specifice vârstei elementare","1.1.","consEd5-1.1","elaborarea unor proiecte individuale, în perechi sau în echipă, desene, colaje, album foto pe teme, cum ar fi: „Eu la școală”, „Eu acasă”, „Eu și prietenii mei”, „Eu și clasa mea”, „Pagina mea de socializare”, „Jurnalul vieții mele”","Consiliere și dezvoltare personală","consEd5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Adoptarea atitudinilor pozitive faţă de sine şi a unui stil de viaţă sănătos și echilibrat"
"Identificarea resurselor personale şi a oportunităților de dezvoltare specifice vârstei elementare","1.1.","consEd5-1.1","completarea unor fișe/chestionare pentru identificarea, explorarea și ierarhizarea unui set de valori relevante pentru viața copiilor, pornind de la un set de întrebări de tipul: „Ce știu? Ce pot? Ce vreau? Ce-mi place?”","Consiliere și dezvoltare personală","consEd5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Adoptarea atitudinilor pozitive faţă de sine şi a unui stil de viaţă sănătos și echilibrat"
"Analiza surselor de stres și a consecințelor acestuia asupra sănătăţii şi stării de bine","1.2.","consEd5-1.2","analizarea unor texte scrise/filme pentru identificarea factorilor generatori de stres și a efectelor stresului asupra vieții personale","Consiliere și dezvoltare personală","consEd5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Adoptarea atitudinilor pozitive faţă de sine şi a unui stil de viaţă sănătos și echilibrat"
"Analiza surselor de stres și a consecințelor acestuia asupra sănătăţii şi stării de bine","1.2.","consEd5-1.2","rezolvarea unor studii de caz prin exprimarea opiniilor despre situaţii în care stresul a avut efecte asupra sănătății și stării de bine","Consiliere și dezvoltare personală","consEd5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Adoptarea atitudinilor pozitive faţă de sine şi a unui stil de viaţă sănătos și echilibrat"
"Analiza surselor de stres și a consecințelor acestuia asupra sănătăţii şi stării de bine","1.2.","consEd5-1.2","crearea unor postere cu situaţii care produc stresul/situaţii care conduc la starea de bine","Consiliere și dezvoltare personală","consEd5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Adoptarea atitudinilor pozitive faţă de sine şi a unui stil de viaţă sănătos și echilibrat"
"Recunoaşterea unei varietăţi de emoţii trăite în raport cu sine şi cu ceilalţi","2.1.","consEd5-2.1","exerciţii de identificare a emoțiilor utilizând suporturi diverse: imagini, fotografii, povești, piese de teatru, secvențe de film","Consiliere și dezvoltare personală","consEd5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Relaționarea armonioasă cu ceilalți în contexte școlare și extrașcolare"
"Recunoaşterea unei varietăţi de emoţii trăite în raport cu sine şi cu ceilalţi","2.1.","consEd5-2.1","asocierea între o activitate preferată, precum: lectura, dansul, șahul, mersul cu rolele și emoția pe care un copil o trăiește realizând această activitate, utilizând suporturi vizuale cu denumirea emoțiilor","Consiliere și dezvoltare personală","consEd5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Relaționarea armonioasă cu ceilalți în contexte școlare și extrașcolare"
"Recunoaşterea unei varietăţi de emoţii trăite în raport cu sine şi cu ceilalţi","2.1.","consEd5-2.1","selectarea unor imagini sau realizarea unor desene în vederea elaborării unei hărți a emoțiilor umane","Consiliere și dezvoltare personală","consEd5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Relaționarea armonioasă cu ceilalți în contexte școlare și extrașcolare"
"Recunoaşterea unei varietăţi de emoţii trăite în raport cu sine şi cu ceilalţi","2.1.","consEd5-2.1","exerciții de auto-reflecție cu privire la emoţiile personale prin completarea propozițiilor lacunare de tipul: „Eu simt ... atunci când … …”","Consiliere și dezvoltare personală","consEd5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Relaționarea armonioasă cu ceilalți în contexte școlare și extrașcolare"
"Acordarea feedbackului pozitiv în relaționarea cu ceilalți","2.2.","consEd5-2.2","identificarea regulilor de oferire a feedbackului în secvențe de text/film și discutarea acestora","Consiliere și dezvoltare personală","consEd5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Relaționarea armonioasă cu ceilalți în contexte școlare și extrașcolare"
"Acordarea feedbackului pozitiv în relaționarea cu ceilalți","2.2.","consEd5-2.2","exerciţii de completare de fraze: „Mi-a plăcut de tine atunci când...”, „Am învățat de la tine ...”","Consiliere și dezvoltare personală","consEd5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Relaționarea armonioasă cu ceilalți în contexte școlare și extrașcolare"
"Acordarea feedbackului pozitiv în relaționarea cu ceilalți","2.2.","consEd5-2.2","jocuri de oferire a feedbackului pozitiv prin notarea calităților unui coleg pe fișe individuale de lucru","Consiliere și dezvoltare personală","consEd5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Relaționarea armonioasă cu ceilalți în contexte școlare și extrașcolare"
