"nume","ids","cod","activitate","disciplină","coddisc","nivel","act normativ","competență generală"
"Reflectarea critică asupra resurselor personale şi a modelelor de reuşită în raport cu aspiraţiile educaţionale şi de carieră","1.1.","consEd8-1.1","exerciții de exprimare a unicității personale în formă creativă prin identificarea a trei puncte tari și trei aspecte de îmbunătățit","Consiliere și dezvoltare personală","consEd8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Adoptarea atitudinilor pozitive faţă de sine şi a unui stil de viaţă sănătos și echilibrat"
"Reflectarea critică asupra resurselor personale şi a modelelor de reuşită în raport cu aspiraţiile educaţionale şi de carieră","1.1.","consEd8-1.1","aprecierea evoluției personale: „Acum 4 ani”, „Peste 4 ani”, „Visul meu”, „Rucsacul”, „Bagajul”, liste cu obiectivele propuse și bifarea acestora în funcție de gradul de realizare prin participarea la jocuri de rol: „Întâlnire cu o personalitate de succes”, „Sunt unic/Sunt diferit prin: calități personale, aspecte de îmbunătățit, aprecieri adresate celorlalți”","Consiliere și dezvoltare personală","consEd8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Adoptarea atitudinilor pozitive faţă de sine şi a unui stil de viaţă sănătos și echilibrat"
"Reflectarea critică asupra resurselor personale şi a modelelor de reuşită în raport cu aspiraţiile educaţionale şi de carieră","1.1.","consEd8-1.1","prezentarea personală sub formă de afişe, postere, texte scurte, desene: „Ce mi-am propus și ce am realizat”, „Albumul personal de fotografii” cu mesaje cheie din copilărie până în prezent, „Viziunea personală asupra vieții”","Consiliere și dezvoltare personală","consEd8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Adoptarea atitudinilor pozitive faţă de sine şi a unui stil de viaţă sănătos și echilibrat"
"Luarea deciziilor sigure şi sănătoase pentru prevenirea situaţiilor cu potenţial de risc sau de criză","1.2.","consEd8-1.2","scheme conceptuale privind procesul de luare a deciziilor prin respectarea etapelor: identificarea problemei, analiza problemei, generarea de soluţii alternative, analiza consecinţelor, luarea deciziei","Consiliere și dezvoltare personală","consEd8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Adoptarea atitudinilor pozitive faţă de sine şi a unui stil de viaţă sănătos și echilibrat"
"Luarea deciziilor sigure şi sănătoase pentru prevenirea situaţiilor cu potenţial de risc sau de criză","1.2.","consEd8-1.2","elaborarea proiectelor individuale și de grup pentru identificarea propriului stil decizional în relație cu opțiunile educaționale, de carieră, de viaţă","Consiliere și dezvoltare personală","consEd8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Adoptarea atitudinilor pozitive faţă de sine şi a unui stil de viaţă sănătos și echilibrat"
"Luarea deciziilor sigure şi sănătoase pentru prevenirea situaţiilor cu potenţial de risc sau de criză","1.2.","consEd8-1.2","exerciții de reflecție asupra unor teme legate de modul în care elevii/elevele se raportează la schimbare: „Îmi plac schimbările din viața mea?”, „Ce doresc să schimb şi ce nu doresc să schimb?”, „Cum reacționez când ceilalți îmi propun/impun schimbări?”, „Cum m-am adaptat ultimei schimbări?”","Consiliere și dezvoltare personală","consEd8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Adoptarea atitudinilor pozitive faţă de sine şi a unui stil de viaţă sănătos și echilibrat"
"Luarea deciziilor sigure şi sănătoase pentru prevenirea situaţiilor cu potenţial de risc sau de criză","1.2.","consEd8-1.2","exerciții de identificare, în fișe de lucru, a situațiilor cu potențial de risc: relații abuzive, de exploatare, examene, migrație și/sau de criză","Consiliere și dezvoltare personală","consEd8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Adoptarea atitudinilor pozitive faţă de sine şi a unui stil de viaţă sănătos și echilibrat"
"Manifestarea unor forme simple de autocontrol și autoreglare","2.1.","consEd8-2.1","exerciţii de identificare a 10 activităţi preferate care pot contribui la relaxare","Consiliere și dezvoltare personală","consEd8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Relaţionarea armonioasă cu ceilalţi în contexte școlare și extrașcolare"
"Manifestarea unor forme simple de autocontrol și autoreglare","2.1.","consEd8-2.1","completarea unui „Jurnal al emoțiilor” pentru o zi/o săptămână obişnuită din viaţa elevilor","Consiliere și dezvoltare personală","consEd8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Relaţionarea armonioasă cu ceilalţi în contexte școlare și extrașcolare"
"Manifestarea unor forme simple de autocontrol și autoreglare","2.1.","consEd8-2.1","vizionarea unor secvențe de film pentru identificarea modalităţilor de autocontrol şi autoreglare în diferite situaţii","Consiliere și dezvoltare personală","consEd8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Relaţionarea armonioasă cu ceilalţi în contexte școlare și extrașcolare"
