"nume","ids","cod","activitate","disciplină","coddisc","nivel","act normativ","competență generală"
"Interpretarea vocală a unor piese monodice și pe 2 voci","1.1.","edmuz6-1.1","exerciții de respirație, emisie, intonație, păstrarea pulsației ritmice constante","Educație muzicală","edmuz6","cl6","Ordinul ministrului educaţiei naţionale nr. 3393 /28.02.2032","Exprimarea unor idei, sentimente, atitudini, prin interpretarea unor lucrări muzicale"
"Interpretarea vocală a unor piese monodice și pe 2 voci","1.1.","edmuz6-1.1","elemente de cânt pe două voci: responsorial, în canon, cu ison sau ostinato","Educație muzicală","edmuz6","cl6","Ordinul ministrului educaţiei naţionale nr. 3393 /28.02.2033","Exprimarea unor idei, sentimente, atitudini, prin interpretarea unor lucrări muzicale"
"Interpretarea vocală a unor piese monodice și pe 2 voci","1.1.","edmuz6-1.1","înregistrarea pe suport electronic a unor piese muzicale","Educație muzicală","edmuz6","cl6","Ordinul ministrului educaţiei naţionale nr. 3393 /28.02.2034","Exprimarea unor idei, sentimente, atitudini, prin interpretarea unor lucrări muzicale"
"Interpretarea unor piese simple instrumentale *)","1.2.","edmuz6-1.2","exerciții specifice cântului instrumental (diferențiat, pentru instrumente de suflat, de coarde, cu claviaturi, de percuție) – elemente de emisie, intonație și frazare","Educație muzicală","edmuz6","cl6","Ordinul ministrului educaţiei naţionale nr. 3393 /28.02.2035","Exprimarea unor idei, sentimente, atitudini, prin interpretarea unor lucrări muzicale"
"Interpretarea unor piese simple instrumentale *)","1.2.","edmuz6-1.2","exerciții de coordonare a cântului instrumental în grup din perspectiva continuității tempo-ului","Educație muzicală","edmuz6","cl6","Ordinul ministrului educaţiei naţionale nr. 3393 /28.02.2036","Exprimarea unor idei, sentimente, atitudini, prin interpretarea unor lucrări muzicale"
"Asocierea structurii și mesajului muzical cu gesturi și imagini adecvate","1.3.","edmuz6-1.3","reprezentarea kinestezică/grafică a unor structuri muzicale, inclusiv prin utilizarea unor softuri muzicale","Educație muzicală","edmuz6","cl6","Ordinul ministrului educaţiei naţionale nr. 3393 /28.02.2037","Exprimarea unor idei, sentimente, atitudini, prin interpretarea unor lucrări muzicale"
"Asocierea structurii și mesajului muzical cu gesturi și imagini adecvate","1.3.","edmuz6-1.3","combinarea mai multor imagini (fotografii, scurte momente video) care să ajute la perceperea mesajului muzical","Educație muzicală","edmuz6","cl6","Ordinul ministrului educaţiei naţionale nr. 3393 /28.02.2038","Exprimarea unor idei, sentimente, atitudini, prin interpretarea unor lucrări muzicale"
"Operarea cu intervalele simple","2.1.","edmuz6-2.1","diferențierea intervalelor de la 1p la 8p","Educație muzicală","edmuz6","cl6","Ordinul ministrului educaţiei naţionale nr. 3393 /28.02.2039","Operarea cu elemente de scris-citit și limbaj muzical"
"Operarea cu intervalele simple","2.1.","edmuz6-2.1","identificarea unor intervale muzicale în lucrările studiate","Educație muzicală","edmuz6","cl6","Ordinul ministrului educaţiei naţionale nr. 3393 /28.02.2040","Operarea cu elemente de scris-citit și limbaj muzical"
"Operarea cu intervalele simple","2.1.","edmuz6-2.1","exerciții pentru testarea și dezvoltarea auzului diferențiat, privitoare la intervalele simple, cu ajutorul unor softuri/platforme digitale (de ex. www.teoria.com, www.musictheory.com, Absolute pitch, Perfect Ear etc.)","Educație muzicală","edmuz6","cl6","Ordinul ministrului educaţiei naţionale nr. 3393 /28.02.2041","Operarea cu elemente de scris-citit și limbaj muzical"
"Utilizarea unor tonalități și a unor moduri","2.2.","edmuz6-2.2","observarea tiparului structural al tonalităților majore/minore","Educație muzicală","edmuz6","cl6","Ordinul ministrului educaţiei naţionale nr. 3393 /28.02.2044","Operarea cu elemente de scris-citit și limbaj muzical"
"Utilizarea unor tonalități și a unor moduri","2.2.","edmuz6-2.2","utilizarea unor tonalități cu armură simpla (o alterație constitutivă)","Educație muzicală","edmuz6","cl6","Ordinul ministrului educaţiei naţionale nr. 3393 /28.02.2045","Operarea cu elemente de scris-citit și limbaj muzical"
"Utilizarea unor tonalități și a unor moduri","2.2.","edmuz6-2.2","observarea caracteristicilor diferite ale unor muzici modale (cu 2-5 sunete)","Educație muzicală","edmuz6","cl6","Ordinul ministrului educaţiei naţionale nr. 3393 /28.02.2046","Operarea cu elemente de scris-citit și limbaj muzical"
"Utilizarea unor tonalități și a unor moduri","2.2.","edmuz6-2.2","exerciții pentru dezvoltarea auzului privitoare la scări tonale și modale, inclusiv cu ajutorul softurilor/platformelor digitale (de ex. www.teoria.com, www.musictheory.com )","Educație muzicală","edmuz6","cl6","Ordinul ministrului educaţiei naţionale nr. 3393 /28.02.2046","Operarea cu elemente de scris-citit și limbaj muzical"
