"nume","ids","cod","activitate","disciplină","coddisc","nivel","act normativ","competență generală"
"Utilizarea corectă a termenilor specifici educației pentru cetățenie democratică","1.1.","edusoc7-1.1","Exerciții de clarificare, în contexte relevante, a înțelesului unor termeni specifici domeniului (drepturile omului, forme de guvernare, regim politic, constituție/constituționalism, cetățenie/cetățean, autoritate/autorități, principii democratice, pluralism, drept/responsabilitate, stat de drept, societate civilă, opinie publică)","Educație socială. Educație pentru cetățenie democratică","edusoc7","cl7","Ordin al Ministrului Educației Naționale nr. 3393 / 28.02.2017","Raportarea critică la fapte, evenimente, idei, procese din viața personală și a diferitelor grupuri și comunități, prin utilizarea unor achiziții specifice domeniului social"
"Utilizarea corectă a termenilor specifici educației pentru cetățenie democratică","1.1.","edusoc7-1.1","Comentarea unor afirmații/enunțuri referitoare la diferite aspecte ale cetățeniei democratice","Educație socială. Educație pentru cetățenie democratică","edusoc7","cl7","Ordin al Ministrului Educației Naționale nr. 3393 / 28.02.2017","Raportarea critică la fapte, evenimente, idei, procese din viața personală și a diferitelor grupuri și comunități, prin utilizarea unor achiziții specifice domeniului social"
"Utilizarea corectă a termenilor specifici educației pentru cetățenie democratică","1.1.","edusoc7-1.1","Realizarea unei hărți conceptuale cu termeni definitorii pentru domeniu","Educație socială. Educație pentru cetățenie democratică","edusoc7","cl7","Ordin al Ministrului Educației Naționale nr. 3393 / 28.02.2017","Raportarea critică la fapte, evenimente, idei, procese din viața personală și a diferitelor grupuri și comunități, prin utilizarea unor achiziții specifice domeniului social"
"Utilizarea corectă a termenilor specifici educației pentru cetățenie democratică","1.1.","edusoc7-1.1","Conceperea unor rebusuri cu termeni care aparțin domeniului educației pentru cetățenie democratică","Educație socială. Educație pentru cetățenie democratică","edusoc7","cl7","Ordin al Ministrului Educației Naționale nr. 3393 / 28.02.2017","Raportarea critică la fapte, evenimente, idei, procese din viața personală și a diferitelor grupuri și comunități, prin utilizarea unor achiziții specifice domeniului social"
"Utilizarea corectă a termenilor specifici educației pentru cetățenie democratică","1.1.","edusoc7-1.1","Realizarea unui mic dicționar cu termeni cheie din domeniul legislativ și juridic","Educație socială. Educație pentru cetățenie democratică","edusoc7","cl7","Ordin al Ministrului Educației Naționale nr. 3393 / 28.02.2017","Raportarea critică la fapte, evenimente, idei, procese din viața personală și a diferitelor grupuri și comunități, prin utilizarea unor achiziții specifice domeniului social"
"Utilizarea corectă a termenilor specifici educației pentru cetățenie democratică","1.1.","edusoc7-1.1","Exerciții de redactare a unui text plecând de la un număr de termeni dați, specifici domeniului","Educație socială. Educație pentru cetățenie democratică","edusoc7","cl7","Ordin al Ministrului Educației Naționale nr. 3393 / 28.02.2017","Raportarea critică la fapte, evenimente, idei, procese din viața personală și a diferitelor grupuri și comunități, prin utilizarea unor achiziții specifice domeniului social"
"Analizarea unor situații problematice determinate de abaterea de la valorile, principiile, practicile societății democratice","1.2.","edusoc7-1.2","Recunoașterea principiilor și valorilor specifice societății democratice pornind de la imagini date, filme adecvate vârstei elevilor, relatări din mass-media","Educație socială. Educație pentru cetățenie democratică","edusoc7","cl7","Ordin al Ministrului Educației Naționale nr. 3393 / 28.02.2017","Raportarea critică la fapte, evenimente, idei, procese din viața personală și a diferitelor grupuri și comunități, prin utilizarea unor achiziții specifice domeniului social"
"Analizarea unor situații problematice determinate de abaterea de la valorile, principiile, practicile societății democratice","1.2.","edusoc7-1.2","exemplificarea unor situații care implică respectarea drepturilor omului, a legilor și, respectiv, nerespectarea drepturilor omului, a legilor","Educație socială. Educație pentru cetățenie democratică","edusoc7","cl7","Ordin al Ministrului Educației Naționale nr. 3393 / 28.02.2017","Raportarea critică la fapte, evenimente, idei, procese din viața personală și a diferitelor grupuri și comunități, prin utilizarea unor achiziții specifice domeniului social"
"Analizarea unor situații problematice determinate de abaterea de la valorile, principiile, practicile societății democratice","1.2.","edusoc7-1.2","Exemplificarea unor situații în care practicile democratice referitoare la participarea cetățenilor la luarea deciziilor publice au fost respectate/încălcate","Educație socială. Educație pentru cetățenie democratică","edusoc7","cl7","Ordin al Ministrului Educației Naționale nr. 3393 / 28.02.2017","Raportarea critică la fapte, evenimente, idei, procese din viața personală și a diferitelor grupuri și comunități, prin utilizarea unor achiziții specifice domeniului social"
"Analizarea unor situații problematice determinate de abaterea de la valorile, principiile, practicile societății democratice","1.2.","edusoc7-1.2","Analizarea corelațiilor dintre unele drepturi și îndatoririle fundamentale (de exemplu, corelația dintre asigurarea dreptului la educație și la ocrotirea sănătății și îndatorirea de a contribui financiar, prin plata taxelor și impozitelor, la susținerea cheltuielilor publice)","Educație socială. Educație pentru cetățenie democratică","edusoc7","cl7","Ordin al Ministrului Educației Naționale nr. 3393 / 28.02.2017","Raportarea critică la fapte, evenimente, idei, procese din viața personală și a diferitelor grupuri și comunități, prin utilizarea unor achiziții specifice domeniului social"
"Analizarea unor situații problematice determinate de abaterea de la valorile, principiile, practicile societății democratice","1.2.","edusoc7-1.2","Identificarea drepturilor cetățenești în diferite situații juridice; exemplificarea unor situații de respectare/încălcare a drepturilor cetățenești","Educație socială. Educație pentru cetățenie democratică","edusoc7","cl7","Ordin al Ministrului Educației Naționale nr. 3393 / 28.02.2017","Raportarea critică la fapte, evenimente, idei, procese din viața personală și a diferitelor grupuri și comunități, prin utilizarea unor achiziții specifice domeniului social"
"Analizarea unor situații problematice determinate de abaterea de la valorile, principiile, practicile societății democratice","1.2.","edusoc7-1.2","Prezentarea și discutarea unor studii de caz/cazuri, preluate din mass-media, privind delincvența, în general și/sau delincvența juvenilă, în particular","Educație socială. Educație pentru cetățenie democratică","edusoc7","cl7","Ordin al Ministrului Educației Naționale nr. 3393 / 28.02.2017","Raportarea critică la fapte, evenimente, idei, procese din viața personală și a diferitelor grupuri și comunități, prin utilizarea unor achiziții specifice domeniului social"
"Argumentarea în favoarea respectării valorilor, principiilor, normelor și practicilor specifice unei societăți democratice și statului de drept","1.3","edusoc7-1.3","Formularea de avantaje/ posibile dezavantaje ale regimului democratic","Educație socială. Educație pentru cetățenie democratică","edusoc7","cl7","Ordin al Ministrului Educației Naționale nr. 3393 / 28.02.2017","Raportarea critică la fapte, evenimente, idei, procese din viața personală și a diferitelor grupuri și comunități, prin utilizarea unor achiziții specifice domeniului social"
"Argumentarea în favoarea respectării valorilor, principiilor, normelor și practicilor specifice unei societăți democratice și statului de drept","1.3","edusoc7-1.3","Susținerea, cu argumente simple, a necesității respectării practicilor specifice societății democratice","Educație socială. Educație pentru cetățenie democratică","edusoc7","cl7","Ordin al Ministrului Educației Naționale nr. 3393 / 28.02.2017","Raportarea critică la fapte, evenimente, idei, procese din viața personală și a diferitelor grupuri și comunități, prin utilizarea unor achiziții specifice domeniului social"
"Argumentarea în favoarea respectării valorilor, principiilor, normelor și practicilor specifice unei societăți democratice și statului de drept","1.3","edusoc7-1.3","Discutarea modalităților concrete în care se respectă valorile și principiile unei societăți democratice și ale statului de drept","Educație socială. Educație pentru cetățenie democratică","edusoc7","cl7","Ordin al Ministrului Educației Naționale nr. 3393 / 28.02.2017","Raportarea critică la fapte, evenimente, idei, procese din viața personală și a diferitelor grupuri și comunități, prin utilizarea unor achiziții specifice domeniului social"
"Elaborarea, în echipă, a unui proiect dedicat problemelor comunității educaționale/locale","2.1","edusoc7-2.1","Stabilirea temei proiectului, prin realizarea unei liste cuprinzând probleme de interes pentru comunitatea educațională/locală","Educație socială. Educație pentru cetățenie democratică","edusoc7","cl7","Ordin al Ministrului Educației Naționale nr. 3393 / 28.02.2017","Cooperarea pentru realizarea unor activități și pentru investigarea unor probleme specifice diferitelor grupuri și comunități, prin asumarea unor valori și norme sociale și civice"
"Elaborarea, în echipă, a unui proiect dedicat problemelor comunității educaționale/locale","2.1","edusoc7-2.1","Implicarea fiecărui elev, la nivel de clasă, școală sau la nivelul comunității locale, în echipele de proiecte, pe diferite teme dedicate rezolvării unor probleme ale comunității educaționale/locale, prin: alegerea temei, formularea unor alternative de soluționare, alegerea unei soluții dezirabile, identificarea unor resurse relevante","Educație socială. Educație pentru cetățenie democratică","edusoc7","cl7","Ordin al Ministrului Educației Naționale nr. 3393 / 28.02.2017","Cooperarea pentru realizarea unor activități și pentru investigarea unor probleme specifice diferitelor grupuri și comunități, prin asumarea unor valori și norme sociale și civice"
"Participarea, prin derularea unui proiect, la rezolvarea problemelor comunității educaționale/locale","2.2","edusoc7-2.2","Realizarea unor activități tip proiect (de exemplu, „Proiectul cetățeanul/Project Citizen”, „Proiecte în beneficiul comunității”), prin care elevii să fie implicați în exerciții de luare a deciziei, de propunere a unor strategii de rezolvare a unor probleme ale clasei, școlii sau ale comunității locale","Educație socială. Educație pentru cetățenie democratică","edusoc7","cl7","Ordin al Ministrului Educației Naționale nr. 3393 / 28.02.2017","Cooperarea pentru realizarea unor activități și pentru investigarea unor probleme specifice diferitelor grupuri și comunități, prin asumarea unor valori și norme sociale și civice"
"Participarea, prin derularea unui proiect, la rezolvarea problemelor comunității educaționale/locale","2.2","edusoc7-2.2","Participarea activă la realizarea proiectelor propuse, pe diferite teme (de exemplu, proiecte referitoare la prevenirea și combaterea violenței, incluziunea socială și educațională, proiecte privind influențarea deciziilor/politicilor publice locale în diferite domenii, proiecte legate de protecția mediului înconjurător/protejarea patrimoniului cultural)","Educație socială. Educație pentru cetățenie democratică","edusoc7","cl7","Ordin al Ministrului Educației Naționale nr. 3393 / 28.02.2017","Cooperarea pentru realizarea unor activități și pentru investigarea unor probleme specifice diferitelor grupuri și comunități, prin asumarea unor valori și norme sociale și civice"
"Participarea, prin derularea unui proiect, la rezolvarea problemelor comunității educaționale/locale","2.2","edusoc7-2.2","Invitarea unor instituții publice și/sau organizații civice, ca parteneri, în realizarea proiectelor propuse","Educație socială. Educație pentru cetățenie democratică","edusoc7","cl7","Ordin al Ministrului Educației Naționale nr. 3393 / 28.02.2017","Cooperarea pentru realizarea unor activități și pentru investigarea unor probleme specifice diferitelor grupuri și comunități, prin asumarea unor valori și norme sociale și civice"
"Rezolvarea, în perechi/echipă, a unor sarcini de lucru referitoare la viața într-o societate democratică","2.3","edusoc7-2.3","Exerciții de identificare, în cadrul unor activități în perechi/echipă, a drepturilor universale ale omului și a responsabilităților care decurg din asumarea acestora, în imagini, texte sau în cazuri date","Educație socială. Educație pentru cetățenie democratică","edusoc7","cl7","Ordin al Ministrului Educației Naționale nr. 3393 / 28.02.2017","Cooperarea pentru realizarea unor activități și pentru investigarea unor probleme specifice diferitelor grupuri și comunități, prin asumarea unor valori și norme sociale și civice"
"Rezolvarea, în perechi/echipă, a unor sarcini de lucru referitoare la viața într-o societate democratică","2.3","edusoc7-2.3","Analiza unor studii de caz, în grupuri mici, pentru discutarea unor consecințe care decurg din încălcarea drepturilor omului","Educație socială. Educație pentru cetățenie democratică","edusoc7","cl7","Ordin al Ministrului Educației Naționale nr. 3393 / 28.02.2017","Cooperarea pentru realizarea unor activități și pentru investigarea unor probleme specifice diferitelor grupuri și comunități, prin asumarea unor valori și norme sociale și civice"
"Rezolvarea, în perechi/echipă, a unor sarcini de lucru referitoare la viața într-o societate democratică","2.3","edusoc7-2.3","realizarea, prin activități în perechi/echipă, a unor afișe/colaje/desene în format letric sau electronic, care să exemplifice diferite forme de implicare civică","Educație socială. Educație pentru cetățenie democratică","edusoc7","cl7","Ordin al Ministrului Educației Naționale nr. 3393 / 28.02.2017","Cooperarea pentru realizarea unor activități și pentru investigarea unor probleme specifice diferitelor grupuri și comunități, prin asumarea unor valori și norme sociale și civice"
"Rezolvarea, în perechi/echipă, a unor sarcini de lucru referitoare la viața într-o societate democratică","2.3","edusoc7-2.3","Participarea la dramatizări ale unor practici și procese democratice/activități ale unor autorități/instituții (spre exemplu, procesul de elaborare a legilor, activitatea într-o secție de votare, activitatea într-o instanță de judecată/proces)","Educație socială. Educație pentru cetățenie democratică","edusoc7","cl7","Ordin al Ministrului Educației Naționale nr. 3393 / 28.02.2017","Cooperarea pentru realizarea unor activități și pentru investigarea unor probleme specifice diferitelor grupuri și comunități, prin asumarea unor valori și norme sociale și civice"
"Rezolvarea, în perechi/echipă, a unor sarcini de lucru referitoare la viața într-o societate democratică","2.3","edusoc7-2.3","Participarea la jocuri de rol care vizează desfășurarea democratică a unei campanii electorale (de exemplu, „Candidez pentru funcția de primar al localității mele”)","Educație socială. Educație pentru cetățenie democratică","edusoc7","cl7","Ordin al Ministrului Educației Naționale nr. 3393 / 28.02.2017","Cooperarea pentru realizarea unor activități și pentru investigarea unor probleme specifice diferitelor grupuri și comunități, prin asumarea unor valori și norme sociale și civice"
"Rezolvarea, în perechi/echipă, a unor sarcini de lucru referitoare la viața într-o societate democratică","2.3","edusoc7-2.3","Simularea unor situații în care viața în societate/diferite grupuri/comunități nu ar mai fi reglementată de norme/legi","Educație socială. Educație pentru cetățenie democratică","edusoc7","cl7","Ordin al Ministrului Educației Naționale nr. 3393 / 28.02.2017","Cooperarea pentru realizarea unor activități și pentru investigarea unor probleme specifice diferitelor grupuri și comunități, prin asumarea unor valori și norme sociale și civice"
"Rezolvarea, în perechi/echipă, a unor sarcini de lucru referitoare la viața într-o societate democratică","2.3","edusoc7-2.3","Exerciții de scriere/concepere a unor norme de conduită în școală","Educație socială. Educație pentru cetățenie democratică","edusoc7","cl7","Ordin al Ministrului Educației Naționale nr. 3393 / 28.02.2017","Cooperarea pentru realizarea unor activități și pentru investigarea unor probleme specifice diferitelor grupuri și comunități, prin asumarea unor valori și norme sociale și civice"
"Manifestarea disponibilității pentru participare civică și pentru exercitarea calității de cetățean","3.1","edusoc7-3.1","Participarea elevilor la luarea unor decizii la nivel de clasă (de exemplu, la alegerea șefului clasei, a reprezentanților clasei în consiliul elevilor), valorizând modul democratic de realizare a acestor activități","Educație socială. Educație pentru cetățenie democratică","edusoc7","cl7","Ordin al Ministrului Educației Naționale nr. 3393 / 28.02.2017","Participarea responsabilă la luarea deciziilor prin exercitarea spiritului de inițiativă și întreprinzător, respectiv prin manifestarea unui comportament social, civic și economic activ"
"Manifestarea disponibilității pentru participare civică și pentru exercitarea calității de cetățean","3.1","edusoc7-3.1","Invitarea unor reprezentanți ai unor instituții publice și organizații civice în cadrul activităților din clasă (de exemplu, reprezentanți ai autorității legislative, ai administrației centrale și locale, ai autorității judecătorești, ai organizațiilor civice cu reprezentare locală/ regională/ națională/ internațională), în vederea cunoașterii tipurilor de activitate/ proiectelor desfășurate de acestea, a posibilităților de implicare a elevilor în activități de voluntariat","Educație socială. Educație pentru cetățenie democratică","edusoc7","cl7","Ordin al Ministrului Educației Naționale nr. 3393 / 28.02.2017","Participarea responsabilă la luarea deciziilor prin exercitarea spiritului de inițiativă și întreprinzător, respectiv prin manifestarea unui comportament social, civic și economic activ"
"Manifestarea disponibilității pentru participare civică și pentru exercitarea calității de cetățean","3.1","edusoc7-3.1","Discuții referitoare la activitățile și proiectele unor instituții publice și ONG-uri, ca urmare a unor vizite realizate la sediul acestora, în vederea realizării unor acțiuni civice (de exemplu, instituții publice reprezentative ale autorității legislative, administrației centrale și locale, autorității judecătorești, organizații civice locale/regionale/naționale/internaționale)","Educație socială. Educație pentru cetățenie democratică","edusoc7","cl7","Ordin al Ministrului Educației Naționale nr. 3393 / 28.02.2017","Participarea responsabilă la luarea deciziilor prin exercitarea spiritului de inițiativă și întreprinzător, respectiv prin manifestarea unui comportament social, civic și economic activ"
"Manifestarea disponibilității pentru participare civică și pentru exercitarea calității de cetățean","3.1","edusoc7-3.1","Dezbaterea unor cazuri preluate din mass-media referitoare la problemele grupurilor de apartenență și ale comunității, ca punct de plecare pentru inițiative de participare civică","Educație socială. Educație pentru cetățenie democratică","edusoc7","cl7","Ordin al Ministrului Educației Naționale nr. 3393 / 28.02.2017","Participarea responsabilă la luarea deciziilor prin exercitarea spiritului de inițiativă și întreprinzător, respectiv prin manifestarea unui comportament social, civic și economic activ"
"Aplicarea unor valori, norme și principii democratice în situații concrete care presupun decizie și acțiune","3.2","edusoc7-3.2","Identificarea unor contexte și modalități de acțiune pentru prevenirea și/sau reducerea, la nivel de clasă/școală, a manifestărilor violente (verbale și fizice) în rândul elevilor","Educație socială. Educație pentru cetățenie democratică","edusoc7","cl7","Ordin al Ministrului Educației Naționale nr. 3393 / 28.02.2017","Participarea responsabilă la luarea deciziilor prin exercitarea spiritului de inițiativă și întreprinzător, respectiv prin manifestarea unui comportament social, civic și economic activ"
"Aplicarea unor valori, norme și principii democratice în situații concrete care presupun decizie și acțiune","3.2","edusoc7-3.2","Realizarea unei scurte compuneri în care elevii își imaginează că exercită, timp de o săptămână, o funcție într-o instituție publică (de exemplu, primar, parlamentar, judecător, președinte)","Educație socială. Educație pentru cetățenie democratică","edusoc7","cl7","Ordin al Ministrului Educației Naționale nr. 3393 / 28.02.2017","Participarea responsabilă la luarea deciziilor prin exercitarea spiritului de inițiativă și întreprinzător, respectiv prin manifestarea unui comportament social, civic și economic activ"
"Aplicarea unor valori, norme și principii democratice în situații concrete care presupun decizie și acțiune","3.2","edusoc7-3.2","Analizarea, din diferite perspective, a unei situații concrete de viață comunitară (educațională/locală), pentru exersarea luării unor decizii în cunoștință de cauză","Educație socială. Educație pentru cetățenie democratică","edusoc7","cl7","Ordin al Ministrului Educației Naționale nr. 3393 / 28.02.2017","Participarea responsabilă la luarea deciziilor prin exercitarea spiritului de inițiativă și întreprinzător, respectiv prin manifestarea unui comportament social, civic și economic activ"
