"nume","ids","cod","activitate","disciplină","coddisc","nivel","act normativ","competență generală"
"Explorarea proprietăților și fenomenelor fizice în cadrul unor investigații simple","1.1","fiz6-1.1","evocarea de cunoștințe și de observații cu privire la mărimi fizice, măsurare, instrumente de măsură, unități de măsură","Fizică","fiz6","cl6","Anexa nr. 2 la ordinul ministrului educației naționale nr. 3393 / 28.02.2017","Investigarea științifică structurată, în principal experimentală, a unor fenomene fizice simple, perceptibile"
"Explorarea proprietăților și fenomenelor fizice în cadrul unor investigații simple","1.1","fiz6-1.1","observarea și descrierea unor fenomene și proprietăți fizice observate în activitatea cotidiană (de exemplu: mișcarea autoturismelor, topirea, dilatarea etc.)","Fizică","fiz6","cl6","Anexa nr. 2 la ordinul ministrului educației naționale nr. 3393 / 28.02.2018","Investigarea științifică structurată, în principal experimentală, a unor fenomene fizice simple, perceptibile"
"Explorarea proprietăților și fenomenelor fizice în cadrul unor investigații simple","1.1","fiz6-1.1","utilizarea instrumentelor de măsură specifice pentru măsurarea mărimilor fizice: lungime, masă, timp","Fizică","fiz6","cl6","Anexa nr. 2 la ordinul ministrului educației naționale nr. 3393 / 28.02.2019","Investigarea științifică structurată, în principal experimentală, a unor fenomene fizice simple, perceptibile"
"Explorarea proprietăților și fenomenelor fizice în cadrul unor investigații simple","1.1","fiz6-1.1","realizarea unor investigații simple, pe baza unor proceduri comunicate (de exemplu: măsurarea densității, gruparea becurilor în serie și în paralel etc.) și analizarea critică a condițiilor de desfășurare a unei investigații și identificarea potențialelor surse de erori","Fizică","fiz6","cl6","Anexa nr. 2 la ordinul ministrului educației naționale nr. 3393 / 28.02.2020","Investigarea științifică structurată, în principal experimentală, a unor fenomene fizice simple, perceptibile"
"Explorarea proprietăților și fenomenelor fizice în cadrul unor investigații simple","1.1","fiz6-1.1","identificarea mărimilor fizice care nu pot fi măsurate direct sau a mărimilor fizice care trebuie măsurate pentru a determina valoarea acestora (de exemplu: determinarea suprafeței unui corp cu formă regulată, a volumului unui paralelipiped etc.)","Fizică","fiz6","cl6","Anexa nr. 2 la ordinul ministrului educației naționale nr. 3393 / 28.02.2021","Investigarea științifică structurată, în principal experimentală, a unor fenomene fizice simple, perceptibile"
"Folosirea unor metode de înregistrare și reprezentare a datelor experimentale","1.2","fiz6-1.2","înregistrarea în tabele cu rubrici prestabilite a valorilor mărimilor fizice măsurate (de exemplu: lungimi, volume, mase etc.)","Fizică","fiz6","cl6","Anexa nr. 2 la ordinul ministrului educației naționale nr. 3393 / 28.02.2022","Investigarea științifică structurată, în principal experimentală, a unor fenomene fizice simple, perceptibile"
"Folosirea unor metode de înregistrare și reprezentare a datelor experimentale","1.2","fiz6-1.2","consemnarea sistematică a observațiilor calitative cu privire la derularea unor fenomene fizice (de exemplu: topire, manifestarea inerției corpurilor etc.)","Fizică","fiz6","cl6","Anexa nr. 2 la ordinul ministrului educației naționale nr. 3393 / 28.02.2023","Investigarea științifică structurată, în principal experimentală, a unor fenomene fizice simple, perceptibile"
"Folosirea unor metode de înregistrare și reprezentare a datelor experimentale","1.2","fiz6-1.2","consemnarea în tabele a informațiilor cantitative preluate din surse publice, în scopul studierii acestora (de exemplu: temperaturi zilnice, temperaturi medii etc.)","Fizică","fiz6","cl6","Anexa nr. 2 la ordinul ministrului educației naționale nr. 3393 / 28.02.2024","Investigarea științifică structurată, în principal experimentală, a unor fenomene fizice simple, perceptibile"
"Folosirea unor metode de înregistrare și reprezentare a datelor experimentale","1.2","fiz6-1.2","extragerea din tabele a valorilor densității unor substanțe cunoscute și consemnarea acestora","Fizică","fiz6","cl6","Anexa nr. 2 la ordinul ministrului educației naționale nr. 3393 / 28.02.2025","Investigarea științifică structurată, în principal experimentală, a unor fenomene fizice simple, perceptibile"
"Folosirea unor metode de înregistrare și reprezentare a datelor experimentale","1.2","fiz6-1.2","reprezentarea grafică a evoluției temperaturii de-a lungul unui an sau a unei zile","Fizică","fiz6","cl6","Anexa nr. 2 la ordinul ministrului educației naționale nr. 3393 / 28.02.2026","Investigarea științifică structurată, în principal experimentală, a unor fenomene fizice simple, perceptibile"
