"nume","ids","cod","activitate","disciplină","coddisc","nivel","act normativ","competență generală"
"Utilizarea termenilor geografici în contexte diferite","1.1.","geo5-1.1","pronunţarea corectă a termenilor şi a denumirilor geografice","Geografie","geo5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Prezentarea realităţii geografice utilizând mijloace şi limbaje specifice"
"Utilizarea termenilor geografici în contexte diferite","1.1.","geo5-1.1","identificarea termenilor geografici din surse diferite: manual, lecturi geografice, texte literare, mass-media etc.","Geografie","geo5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Prezentarea realităţii geografice utilizând mijloace şi limbaje specifice"
"Utilizarea termenilor geografici în contexte diferite","1.1.","geo5-1.1","completarea textelor lacunare cu termeni geografici specifici","Geografie","geo5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Prezentarea realităţii geografice utilizând mijloace şi limbaje specifice"
"Utilizarea termenilor geografici în contexte diferite","1.1.","geo5-1.1","gruparea unor termeni geografici pe baza unor criterii propuse","Geografie","geo5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Prezentarea realităţii geografice utilizând mijloace şi limbaje specifice"
"Utilizarea termenilor geografici în contexte diferite","1.1.","geo5-1.1","corelarea termenilor geografici cu elemente geografice specifice observate direct/indirect (teren/suporturi grafice/imagini)","Geografie","geo5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Prezentarea realităţii geografice utilizând mijloace şi limbaje specifice"
"Utilizarea termenilor geografici în contexte diferite","1.1.","geo5-1.1","procesarea de informaţii geografice din diferite surse de documentare","Geografie","geo5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Prezentarea realităţii geografice utilizând mijloace şi limbaje specifice"
"Descrierea unor elemente, fenomene sau procese geografice observate direct sau indirect","1.2.","geo5-1.2","prezentarea elementelor şi a fenomenelor geografice percepute direct (în orizontul local) sau indirect reprezentate pe diferite suporturi (animaţii video, filme documentare)","Geografie","geo5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Prezentarea realităţii geografice utilizând mijloace şi limbaje specifice"
"Descrierea unor elemente, fenomene sau procese geografice observate direct sau indirect","1.2.","geo5-1.2","caracterizarea unor aspecte ale elementelor şi fenomenelor geografice reprezentate pe suporturi variate (schiţe, imagini, animaţii video), pe baza unui algoritm dat","Geografie","geo5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Prezentarea realităţii geografice utilizând mijloace şi limbaje specifice"
"Descrierea unor elemente, fenomene sau procese geografice observate direct sau indirect","1.2.","geo5-1.2","precizarea etapelor succesive de desfăşurare a unor fenomene geografice pe baza unor scheme/seturi de imagini","Geografie","geo5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Prezentarea realităţii geografice utilizând mijloace şi limbaje specifice"
"Descrierea unor elemente, fenomene sau procese geografice observate direct sau indirect","1.2.","geo5-1.2","exerciţii de completare a termenilor geografici în scheme simple de prezentare a unor elemente şi fenomene geografice","Geografie","geo5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Prezentarea realităţii geografice utilizând mijloace şi limbaje specifice"
"Utilizarea tehnicilor de orientare pe hartă/teren","2.1.","geo5-2.1","identificarea pe suporturi cartografice a unor puncte/trasee definite de coordonate geografice date","Geografie","geo5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Raportarea realităţii geografice spaţiale şi temporale la reprezentări cartografice"
"Utilizarea tehnicilor de orientare pe hartă/teren","2.1.","geo5-2.1","reprezentarea pe schiţe de hartă a unor puncte/trasee definite de coordonate geografice date","Geografie","geo5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Raportarea realităţii geografice spaţiale şi temporale la reprezentări cartografice"
"Utilizarea tehnicilor de orientare pe hartă/teren","2.1.","geo5-2.1","descrierea unor trasee scurte parcurse în orizontul local, prin raportare la repere, puncte cardinale, pe baza unui algoritm dat","Geografie","geo5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Raportarea realităţii geografice spaţiale şi temporale la reprezentări cartografice"
"Utilizarea tehnicilor de orientare pe hartă/teren","2.1.","geo5-2.1","exprimarea poziţiei elementelor identificate în teren/pe hartă, cu ajutorul punctelor cardinale/coordonatelor geografice","Geografie","geo5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Raportarea realităţii geografice spaţiale şi temporale la reprezentări cartografice"
"Utilizarea tehnicilor de orientare pe hartă/teren","2.1.","geo5-2.1","descrierea poziţiei relative a unor obiecte/elemente geografice dintr-un anumit spaţiu prin raportare la un suport cartografic","Geografie","geo5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Raportarea realităţii geografice spaţiale şi temporale la reprezentări cartografice"
"Utilizarea tehnicilor de orientare pe hartă/teren","2.1.","geo5-2.1","utilizarea   elementară   a   tehnologiilor   moderne   (Sistemul   Informaţional   Geografic   -   GIS; Sistemul de navigaţie - GPS)","Geografie","geo5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Raportarea realităţii geografice spaţiale şi temporale la reprezentări cartografice"
"Relaţionarea scării de proporţie cu realitatea geografică","2.2.","geo5-2.2","exerciţii de calculare a distanţelor dintre repere/puncte reprezentate pe suporturi cartografice utilizând scara de proporţie","Geografie","geo5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Raportarea realităţii geografice spaţiale şi temporale la reprezentări cartografice"
"Relaţionarea scării de proporţie cu realitatea geografică","2.2.","geo5-2.2","recunoaşterea unei imagini de la sol şi aeriene","Geografie","geo5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Raportarea realităţii geografice spaţiale şi temporale la reprezentări cartografice"
"Relaţionarea scării de proporţie cu realitatea geografică","2.2.","geo5-2.2","corelarea imaginilor de la sol şi aeriene cu suporturi cartografice","Geografie","geo5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Raportarea realităţii geografice spaţiale şi temporale la reprezentări cartografice"
"Relaţionarea scării de proporţie cu realitatea geografică","2.2.","geo5-2.2","poziţionarea elementelor geografice pe reprezentări cartografice la scări de proporţie date","Geografie","geo5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Raportarea realităţii geografice spaţiale şi temporale la reprezentări cartografice"
"Relaţionarea scării de proporţie cu realitatea geografică","2.2.","geo5-2.2","exerciţii de calculare a suprafeţelor/ariilor delimitate pe hărţi cu scări de proporţie diferite","Geografie","geo5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Raportarea realităţii geografice spaţiale şi temporale la reprezentări cartografice"
"Relaţionarea scării de proporţie cu realitatea geografică","2.2.","geo5-2.2","exerciţii de reprezentare, pe o schiţă de hartă, a unor elemente geografice din orizontul local","Geografie","geo5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Raportarea realităţii geografice spaţiale şi temporale la reprezentări cartografice"
"Citirea reprezentărilor grafice şi cartografice simple","2.3.","geo5-2.3","precizarea etapelor succesive de desfăşurare a unor procese geografice pe baza unor  scheme","Geografie","geo5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Raportarea realităţii geografice spaţiale şi temporale la reprezentări cartografice"
"Citirea reprezentărilor grafice şi cartografice simple","2.3.","geo5-2.3","identificarea succesiunii cronologice a unor procese şi fenomene geografice pe baza unor imagini grafice/cartografice","Geografie","geo5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Raportarea realităţii geografice spaţiale şi temporale la reprezentări cartografice"
"Citirea reprezentărilor grafice şi cartografice simple","2.3.","geo5-2.3","descrierea repartiţiei spaţiale a unor procese şi fenomene geografice pe baza observaţiilor directe/indirecte pe suporturi geografice","Geografie","geo5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Raportarea realităţii geografice spaţiale şi temporale la reprezentări cartografice"
"Citirea reprezentărilor grafice şi cartografice simple","2.3.","geo5-2.3","exerciţii de ierarhizare a unor procese şi fenomene geografice după criterii date","Geografie","geo5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Raportarea realităţii geografice spaţiale şi temporale la reprezentări cartografice"
"Descrierea unor elemente, fenomene şi procese geografice folosind noţiuni din matematică, ştiinţe şi tehnologii","3.1.","geo5-3.1","măsurarea distanţelor în orizontul apropiat/local cu instrumente de măsură adecvate (riglă, ruletă, compas, instrumente/dispozitive electronice/informatice etc.)","Geografie","geo5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Studierea spaţiului geografic, realizând conexiuni cu informaţii dobândite la alte discipline şcolare"
