"nume","ids","cod","activitate","disciplină","coddisc","nivel","act normativ","competență generală"
"Ordonarea pe criterii cronologice a faptelor/proceselor istorice","1.1.","ist5-1.1","plasarea unor evenimente/procese istorice pe axa cronologică","Istorie","ist5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Utilizarea în contexte diverse a coordonatelor şi reprezentărilor de timp şi spaţiu"
"Ordonarea pe criterii cronologice a faptelor/proceselor istorice","1.1.","ist5-1.1","realizarea unor frize cronologice","Istorie","ist5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Utilizarea în contexte diverse a coordonatelor şi reprezentărilor de timp şi spaţiu"
"Ordonarea pe criterii cronologice a faptelor/proceselor istorice","1.1.","ist5-1.1","utilizarea unitãților folosite în mãsurarea timpului","Istorie","ist5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Utilizarea în contexte diverse a coordonatelor şi reprezentărilor de timp şi spaţiu"
"Identificarea diferențelor temporale dintre evenimente și procese istorice","1.2.","ist5-1.2","asocierea reperelor cronologice cu evenimente și procese istorice","Istorie","ist5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Utilizarea în contexte diverse a coordonatelor şi reprezentărilor de timp şi spaţiu"
"Identificarea diferențelor temporale dintre evenimente și procese istorice","1.2.","ist5-1.2","recunoaşterea şi/sau precizarea unor relaţii cronologice în sursele istorice prezentate","Istorie","ist5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Utilizarea în contexte diverse a coordonatelor şi reprezentărilor de timp şi spaţiu"
"Identificarea diferențelor temporale dintre evenimente și procese istorice","1.2.","ist5-1.2","utilizarea reperelor cronologice în descrierea faptelor/proceselor istorice","Istorie","ist5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Utilizarea în contexte diverse a coordonatelor şi reprezentărilor de timp şi spaţiu"
"Localizarea în timp și în spațiu a faptelor și/sau a proceselor istorice","1.3.","ist5-1.3","exerciții de lecturã a hãrților istorice","Istorie","ist5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Utilizarea în contexte diverse a coordonatelor şi reprezentărilor de timp şi spaţiu"
"Localizarea în timp și în spațiu a faptelor și/sau a proceselor istorice","1.3.","ist5-1.3","plasarea pe hartã a unor evenimente și procese istorice","Istorie","ist5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Utilizarea în contexte diverse a coordonatelor şi reprezentărilor de timp şi spaţiu"
"Localizarea în timp și în spațiu a faptelor și/sau a proceselor istorice","1.3.","ist5-1.3","completarea pe hartã a unor informații","Istorie","ist5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Utilizarea în contexte diverse a coordonatelor şi reprezentărilor de timp şi spaţiu"
"Folosirea termenilor de specialitate în descrierea unui eveniment/proces istoric","2.1.","ist5-2.1","identificarea termenilor istorici în texte diferite","Istorie","ist5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Utilizarea criticã și reflexivã a limbajului de specialitate și a surselor istorice"
