"nume","ids","cod","activitate","disciplină","coddist","nivel","act normativ","competență generală"
"Identificarea unor informaţii esenţiale şi de detaliu, a emoțiilor, din diverse texte orale, pe teme familiare, monologate sau dialogate","1.1.","lbcomRomMag5-1.1","identificarea intenției de comunicare din diferite tipuri de texte (monologate, dialogate)","Limba și literatura română pentru școlile și secțiile cu predare în limba maghiară","lbcomRomMag5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Receptarea textului oral în diverse situații de comunicare"
"Identificarea unor informaţii esenţiale şi de detaliu, a emoțiilor, din diverse texte orale, pe teme familiare, monologate sau dialogate","1.1.","lbcomRomMag5-1.1","identificarea informațiilor esențiale în urma ascultării unor texte orale diverse (audiobook sau video cu basme, schiţe; reclame transmise la radio şi televiziune)","Limba și literatura română pentru școlile și secțiile cu predare în limba maghiară","lbcomRomMag5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Receptarea textului oral în diverse situații de comunicare"
"Identificarea unor informaţii esenţiale şi de detaliu, a emoțiilor, din diverse texte orale, pe teme familiare, monologate sau dialogate","1.1.","lbcomRomMag5-1.1","sesizarea dificultăţilor de desprindere a informaţiei din texte orale transmise pe diferite canale, în contexte diverse, utilizând coduri diferite","Limba și literatura română pentru școlile și secțiile cu predare în limba maghiară","lbcomRomMag5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Receptarea textului oral în diverse situații de comunicare"
"Identificarea unor informaţii esenţiale şi de detaliu, a emoțiilor, din diverse texte orale, pe teme familiare, monologate sau dialogate","1.1.","lbcomRomMag5-1.1","exerciții de predicţie a temei textului, pe baza termenilor daţi în avans","Limba și literatura română pentru școlile și secțiile cu predare în limba maghiară","lbcomRomMag5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Receptarea textului oral în diverse situații de comunicare"
"Identificarea unor informaţii esenţiale şi de detaliu, a emoțiilor, din diverse texte orale, pe teme familiare, monologate sau dialogate","1.1.","lbcomRomMag5-1.1","exerciţii de reascultare pentru a completa/transpune în tabele/organizatori grafici informaţii din textele audiate","Limba și literatura română pentru școlile și secțiile cu predare în limba maghiară","lbcomRomMag5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Receptarea textului oral în diverse situații de comunicare"
"Deducerea sensului unui cuvânt necunoscut prin raportare la tema textului audiat, la context și/sau la clarificările oferite de interlocutor","1.2.","lbcomRomMag5-1.2","identificarea cuvintelor noi în texte audiate, cu scopul clarificării sensului acestora, apelând la contextul lingvistic, la dicţionar sau la profesor","Limba și literatura română pentru școlile și secțiile cu predare în limba maghiară","lbcomRomMag5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Receptarea textului oral în diverse situații de comunicare"
"Deducerea sensului unui cuvânt necunoscut prin raportare la tema textului audiat, la context și/sau la clarificările oferite de interlocutor","1.2.","lbcomRomMag5-1.2","stabilirea sensului unor cuvinte prin raportare la tema textului","Limba și literatura română pentru școlile și secțiile cu predare în limba maghiară","lbcomRomMag5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Receptarea textului oral în diverse situații de comunicare"
"Deducerea sensului unui cuvânt necunoscut prin raportare la tema textului audiat, la context și/sau la clarificările oferite de interlocutor","1.2.","lbcomRomMag5-1.2","executarea unor instrucţiuni audiate (realizarea unei figurine origami prin operaţii simple, învăţarea regulilor unui joc nou, construirea unui obiect din materiale din natură/ reciclate pe baza unor paşi simpli, urmărirea unui videoclip: „Cum fac…?”, montarea unui joc după reguli de punere în funcțiune/ utilizare etc.), în scopul stabilirii sensului unor cuvinte nou însușite","Limba și literatura română pentru școlile și secțiile cu predare în limba maghiară","lbcomRomMag5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Receptarea textului oral în diverse situații de comunicare"
"Sesizarea corectitudinii/incorectitudinii gramaticale și fonetice a unui enunț","1.3.","lbcomRomMag5-1.3","identificarea structurii fonematice a cuvintelor noi","Limba și literatura română pentru școlile și secțiile cu predare în limba maghiară","lbcomRomMag5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Receptarea textului oral în diverse situații de comunicare"
"Sesizarea corectitudinii/incorectitudinii gramaticale și fonetice a unui enunț","1.3.","lbcomRomMag5-1.3","sesizarea corectitudinii unui enunț prin completarea de grile și/sau tabele sau prin alegerea variantei corecte dintr-o multitudine de variante","Limba și literatura română pentru școlile și secțiile cu predare în limba maghiară","lbcomRomMag5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Receptarea textului oral în diverse situații de comunicare"
"Sesizarea corectitudinii/incorectitudinii gramaticale și fonetice a unui enunț","1.3.","lbcomRomMag5-1.3","exerciţii de observare a greşelilor de pronunţie, de acord, de flexiune, în diverse situaţii de comunicare","Limba și literatura română pentru școlile și secțiile cu predare în limba maghiară","lbcomRomMag5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Receptarea textului oral în diverse situații de comunicare"
"Sesizarea elementelor specifice limbii române, comparativ cu limba maternă, în receptarea textelor, pe teme familiare","1.4.","lbcomRomMag5-1.4","ascultarea perceptivă a unor texte în limba română, cu accent pe sesizarea pronunţiei corecte şi a intonaţiei","Limba și literatura română pentru școlile și secțiile cu predare în limba maghiară","lbcomRomMag5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Receptarea textului oral în diverse situații de comunicare"
"Sesizarea elementelor specifice limbii române, comparativ cu limba maternă, în receptarea textelor, pe teme familiare","1.4.","lbcomRomMag5-1.4","sesizarea modului de pronunţare a unor sunete, a diftongului, a triftongului","Limba și literatura română pentru școlile și secțiile cu predare în limba maghiară","lbcomRomMag5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Receptarea textului oral în diverse situații de comunicare"
"Sesizarea elementelor specifice limbii române, comparativ cu limba maternă, în receptarea textelor, pe teme familiare","1.4.","lbcomRomMag5-1.4","recunoașterea alternanțelor fonetice, accentului mobil vs accentul fix","Limba și literatura română pentru școlile și secțiile cu predare în limba maghiară","lbcomRomMag5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Receptarea textului oral în diverse situații de comunicare"
"Manifestarea ascultării active față de interlocutor/interlocutori în interacțiunea directă sau în cea mediată – conversaţie uzuală sau discuţie pe o temă familiară","1.5.","lbcomRomMag5-1.5","ascultarea textelor orale, dovedind atenția sau concentrarea printr-o reacție","Limba și literatura română pentru școlile și secțiile cu predare în limba maghiară","lbcomRomMag5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Receptarea textului oral în diverse situații de comunicare"
"Manifestarea ascultării active față de interlocutor/interlocutori în interacțiunea directă sau în cea mediată – conversaţie uzuală sau discuţie pe o temă familiară","1.5.","lbcomRomMag5-1.5","concursuri pe echipe pentru rezolvarea de sarcini, pornind de la textele audiate","Limba și literatura română pentru școlile și secțiile cu predare în limba maghiară","lbcomRomMag5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Receptarea textului oral în diverse situații de comunicare"
"Manifestarea ascultării active față de interlocutor/interlocutori în interacțiunea directă sau în cea mediată – conversaţie uzuală sau discuţie pe o temă familiară","1.5.","lbcomRomMag5-1.5","exerciţii de răspuns nonverbal la comenzi simple","Limba și literatura română pentru școlile și secțiile cu predare în limba maghiară","lbcomRomMag5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Receptarea textului oral în diverse situații de comunicare"
