"nume","ids","cod","activitate","disciplină","coddisc","nivel","act normativ","competență generală"
"Compararea informațiilor, a intențiilor de comunicare și a atitudinilor comunicative din texte orale, în care apar diferite coduri de comunicare","1.1.","lbcomRomMag7-1.1","asocierea unor informaţii din varii domenii având în vedere și emoțiile, atitudinile comunicative ale vorbitorilor","Limba și literatura română pentru școlile și secțiile cu predare în limba maghiară","lbcomRomMag7","cl7","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Receptarea textului oral în diverse situații de comunicare"
"Compararea informațiilor, a intențiilor de comunicare și a atitudinilor comunicative din texte orale, în care apar diferite coduri de comunicare","1.1.","lbcomRomMag7-1.1","diferențierea informațiilor esențiale de cele de detaliu prin compararea informațiilor din texte orale în care apar diferite coduri de comunicare","Limba și literatura română pentru școlile și secțiile cu predare în limba maghiară","lbcomRomMag7","cl7","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Receptarea textului oral în diverse situații de comunicare"
"Compararea informațiilor, a intențiilor de comunicare și a atitudinilor comunicative din texte orale, în care apar diferite coduri de comunicare","1.1.","lbcomRomMag7-1.1","identificarea comparativă a atitudinilor vorbitorului/vorbitorilor","Limba și literatura română pentru școlile și secțiile cu predare în limba maghiară","lbcomRomMag7","cl7","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Receptarea textului oral în diverse situații de comunicare"
"Compararea informațiilor, a intențiilor de comunicare și a atitudinilor comunicative din texte orale, în care apar diferite coduri de comunicare","1.1.","lbcomRomMag7-1.1","exerciţii de comparare a naturii formale sau informale a dialogului","Limba și literatura română pentru școlile și secțiile cu predare în limba maghiară","lbcomRomMag7","cl7","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Receptarea textului oral în diverse situații de comunicare"
"Identificarea semnificației/semnificațiilor unor enunțuri, în funcție de particularitățile comunicării orale","1.2.","lbcomRomMag7-1.2","identificarea modului în care elementele paraverbale evidențiază scopul comunicării și/sau intențiile emitățorului","Limba și literatura română pentru școlile și secțiile cu predare în limba maghiară","lbcomRomMag7","cl7","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Receptarea textului oral în diverse situații de comunicare"
"Identificarea semnificației/semnificațiilor unor enunțuri, în funcție de particularitățile comunicării orale","1.2.","lbcomRomMag7-1.2","compararea semnificației unui text transmis pe baza unui singur cod, respectiv a mai multor coduri","Limba și literatura română pentru școlile și secțiile cu predare în limba maghiară","lbcomRomMag7","cl7","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Receptarea textului oral în diverse situații de comunicare"
"Identificarea semnificației/semnificațiilor unor enunțuri, în funcție de particularitățile comunicării orale","1.2.","lbcomRomMag7-1.2","sesizarea rolului elementelor nonverbale și paraverbale în comunicarea artistică și nonartistică","Limba și literatura română pentru școlile și secțiile cu predare în limba maghiară","lbcomRomMag7","cl7","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Receptarea textului oral în diverse situații de comunicare"
"Identificarea semnificației/semnificațiilor unor enunțuri, în funcție de particularitățile comunicării orale","1.2.","lbcomRomMag7-1.2","recunoașterea corespondenței elementelor verbale cu cele nonverbale (gesturi, mimică) și paraverbale în comunicare","Limba și literatura română pentru școlile și secțiile cu predare în limba maghiară","lbcomRomMag7","cl7","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Receptarea textului oral în diverse situații de comunicare"
"Identificarea corectitudinii/incorectitudinii gramaticale și fonetice în procesul de comunicare","1.3.","lbcomRomMag7-1.3","identificarea formei corecte a cuvintelor","Limba și literatura română pentru școlile și secțiile cu predare în limba maghiară","lbcomRomMag7","cl7","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Receptarea textului oral în diverse situații de comunicare"
"Identificarea corectitudinii/incorectitudinii gramaticale și fonetice în procesul de comunicare","1.3.","lbcomRomMag7-1.3","sesizarea dezacordurilor gramaticale","Limba și literatura română pentru școlile și secțiile cu predare în limba maghiară","lbcomRomMag7","cl7","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Receptarea textului oral în diverse situații de comunicare"
