"nume","ids","cod","activitate","disciplină","coddisc","nivel","act normativ","competență generală"
"Selectarea principalelor idei din programe TV/ înregistrări audio-video pe teme familiare, dacă se vorbește relativ rar și cu claritate","1.1.","lbmod1Franceza8-1.1","Colectarea/selectarea unor informaţii pentru proiecte transdisciplinare din documentare","Limba modernă 1 (engleză, franceză, italiană, spaniolă), clasele a V-a - a VIII-a","lbmod1Franceza8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017 - Anexa 2","Receptarea de mesaje orale în situaţii de comunicare uzuală"
"Selectarea principalelor idei din programe TV/ înregistrări audio-video pe teme familiare, dacă se vorbește relativ rar și cu claritate","1.1.","lbmod1Franceza8-1.1","Documentarea pentru activităţi la diverse discipline","Limba modernă 1 (engleză, franceză, italiană, spaniolă), clasele a V-a - a VIII-a","lbmod1Franceza8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017 - Anexa 2","Receptarea de mesaje orale în situaţii de comunicare uzuală"
"Selectarea principalelor idei din programe TV/ înregistrări audio-video pe teme familiare, dacă se vorbește relativ rar și cu claritate","1.1.","lbmod1Franceza8-1.1","Completarea unei grile de vizionare după urmărirea unui program TV","Limba modernă 1 (engleză, franceză, italiană, spaniolă), clasele a V-a - a VIII-a","lbmod1Franceza8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017 - Anexa 2","Receptarea de mesaje orale în situaţii de comunicare uzuală"
"Identificarea semnificaţiei dintr-o conversaţie obișnuită de zi cu zi atunci când interlocutorii reformulează sau repetă la cerere anumite cuvinte/ expresii","1.2.","lbmod1Franceza8-1.2","Integrarea în schimbul verbal","Limba modernă 1 (engleză, franceză, italiană, spaniolă), clasele a V-a - a VIII-a","lbmod1Franceza8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017 - Anexa 2","Receptarea de mesaje orale în situaţii de comunicare uzuală"
"Identificarea semnificaţiei dintr-o conversaţie obișnuită de zi cu zi atunci când interlocutorii reformulează sau repetă la cerere anumite cuvinte/ expresii","1.2.","lbmod1Franceza8-1.2","Utilizarea de formule uzuale pentru a obţine reformularea / repetarea mesajului","Limba modernă 1 (engleză, franceză, italiană, spaniolă), clasele a V-a - a VIII-a","lbmod1Franceza8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017 - Anexa 2","Receptarea de mesaje orale în situaţii de comunicare uzuală"
"Identificarea semnificaţiei dintr-o conversaţie obișnuită de zi cu zi atunci când interlocutorii reformulează sau repetă la cerere anumite cuvinte/ expresii","1.2.","lbmod1Franceza8-1.2","Practicarea unor enunţuri de solicitare a repetării/ reformulării unui mesaj","Limba modernă 1 (engleză, franceză, italiană, spaniolă), clasele a V-a - a VIII-a","lbmod1Franceza8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017 - Anexa 2","Receptarea de mesaje orale în situaţii de comunicare uzuală"
"Manifestarea interesului pentru cunoașterea unor personalităţi și evenimente culturale","1.3.","lbmod1Franceza8-1.3","Urmărirea unui film biografic/ documentar de scurtă durată","Limba modernă 1 (engleză, franceză, italiană, spaniolă), clasele a V-a - a VIII-a","lbmod1Franceza8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017 - Anexa 2","Receptarea de mesaje orale în situaţii de comunicare uzuală"
"Manifestarea interesului pentru cunoașterea unor personalităţi și evenimente culturale","1.3.","lbmod1Franceza8-1.3","Propunerea pentru blogul clasei a unui clip dintr-un eveniment cultural de marcă urmărit pe internet/ la TV","Limba modernă 1 (engleză, franceză, italiană, spaniolă), clasele a V-a - a VIII-a","lbmod1Franceza8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017 - Anexa 2","Receptarea de mesaje orale în situaţii de comunicare uzuală"
"Manifestarea interesului pentru cunoașterea unor personalităţi și evenimente culturale","1.3.","lbmod1Franceza8-1.3","Concurs: cel mai interesant clip sportiv / știrea săptămânii etc.","Limba modernă 1 (engleză, franceză, italiană, spaniolă), clasele a V-a - a VIII-a","lbmod1Franceza8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017 - Anexa 2","Receptarea de mesaje orale în situaţii de comunicare uzuală"
"Relatarea unei întâmplări / a unor experienţe personale","2.1.","lbmod1Franceza8-2.1","Relatarea activităţilor de săptămâna trecută/ din vacanţă/ unei excursii la munte pe baza unui plan simplu dat","Limba modernă 1 (engleză, franceză, italiană, spaniolă), clasele a V-a - a VIII-a","lbmod1Franceza8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017 - Anexa 2","Exprimarea orală în situaţii de comunicare uzuală"
