"nume","ids","cod","activitate","disciplină","coddisc","nivel","act normativ","competență generală"
"Identificarea sensului global al unor mesaje și dialoguri uzuale, clar articulate","1.1.","lbmod1Italiana5-1.1","Identificarea situaţiei de comunicare","Limba modernă 1 (engleză, franceză, italiană, spaniolă), clasele a V-a - a VIII-a","lbmod1Italiana5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017 - Anexa 2","Receptarea de mesaje orale în situaţii de comunicare uzuală"
"Identificarea sensului global al unor mesaje și dialoguri uzuale, clar articulate","1.1.","lbmod1Italiana5-1.1","Selectarea imaginii corespunzătoare dintr-un set (cu distractori plauzibili)","Limba modernă 1 (engleză, franceză, italiană, spaniolă), clasele a V-a - a VIII-a","lbmod1Italiana5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017 - Anexa 2","Receptarea de mesaje orale în situaţii de comunicare uzuală"
"Identificarea sensului global al unor mesaje și dialoguri uzuale, clar articulate","1.1.","lbmod1Italiana5-1.1","Oferirea de răspunsuri scurte la întrebarea: „Despre ce este vorba …?”","Limba modernă 1 (engleză, franceză, italiană, spaniolă), clasele a V-a - a VIII-a","lbmod1Italiana5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017 - Anexa 2","Receptarea de mesaje orale în situaţii de comunicare uzuală"
"Identificarea semnificaţiei unor schimburi verbale uzuale și clar articulate, în situaţia în care interlocutorul oferă ajutor pentru a facilita înţelegerea","1.2.","lbmod1Italiana5-1.2","Participarea cu replici simple adecvate la un dialog","Limba modernă 1 (engleză, franceză, italiană, spaniolă), clasele a V-a - a VIII-a","lbmod1Italiana5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017 - Anexa 2","Receptarea de mesaje orale în situaţii de comunicare uzuală"
"Identificarea semnificaţiei unor schimburi verbale uzuale și clar articulate, în situaţia în care interlocutorul oferă ajutor pentru a facilita înţelegerea","1.2.","lbmod1Italiana5-1.2","Trasarea unui itinerariu pe un plan, după instrucţiuni de orientare simple","Limba modernă 1 (engleză, franceză, italiană, spaniolă), clasele a V-a - a VIII-a","lbmod1Italiana5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017 - Anexa 2","Receptarea de mesaje orale în situaţii de comunicare uzuală"
"Identificarea semnificaţiei unor schimburi verbale uzuale și clar articulate, în situaţia în care interlocutorul oferă ajutor pentru a facilita înţelegerea","1.2.","lbmod1Italiana5-1.2","Oferirea de răspunsuri simple / reacţii nonverbale în interacţiuni uzuale (de exemplu: la piaţă, pe stradă, timp liber).","Limba modernă 1 (engleză, franceză, italiană, spaniolă), clasele a V-a - a VIII-a","lbmod1Italiana5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017 - Anexa 2","Receptarea de mesaje orale în situaţii de comunicare uzuală"
"Manifestarea curiozităţii faţă de unele elemente specifice spaţiului cultural al limbii studiate","1.3.","lbmod1Italiana5-1.3","Realizarea de colecţii de cântece provenite din spaţiul cultural respectiv","Limba modernă 1 (engleză, franceză, italiană, spaniolă), clasele a V-a - a VIII-a","lbmod1Italiana5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017 - Anexa 2","Receptarea de mesaje orale în situaţii de comunicare uzuală"
"Manifestarea curiozităţii faţă de unele elemente specifice spaţiului cultural al limbii studiate","1.3.","lbmod1Italiana5-1.3","Căutarea de clipuri/ filme pe youtube care aparţin spaţiului cultural al limbii studiate","Limba modernă 1 (engleză, franceză, italiană, spaniolă), clasele a V-a - a VIII-a","lbmod1Italiana5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017 - Anexa 2","Receptarea de mesaje orale în situaţii de comunicare uzuală"
"Manifestarea curiozităţii faţă de unele elemente specifice spaţiului cultural al limbii studiate","1.3.","lbmod1Italiana5-1.3","Realizarea unor afișe de sărbători specifice pe baza unui document audio-video","Limba modernă 1 (engleză, franceză, italiană, spaniolă), clasele a V-a - a VIII-a","lbmod1Italiana5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017 - Anexa 2","Receptarea de mesaje orale în situaţii de comunicare uzuală"
"Prezentarea simplă a unei persoane / a unui personaj","2.1.","lbmod1Italiana5-2.1","Relatarea pe baza unei imagini și / sau a unor texte lacunare","Limba modernă 1 (engleză, franceză, italiană, spaniolă), clasele a V-a - a VIII-a","lbmod1Italiana5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017 - Anexa 2","Exprimarea orală în situaţii de comunicare uzuală"
