"nume","ids","cod","activitate","disciplină","coddisc","nivel","act normativ","competență generală"
"Identificarea informaţiilor esenţiale din fragmente scurte înregistrate, referitoare la aspecte cotidiene previzibile, atunci când se vorbește rar și clar","1.1.","lbmod1Spaniola6-1.1","Selectarea/folosirea/colectarea de clipuri audio/video/audio-video, în vederea realizării de proiecte pe teme culturale/ de interes","Limba modernă 1 (engleză, franceză, italiană, spaniolă), clasele a V-a - a VIII-a","lbmod1Spaniola6","cl6","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017 - Anexa 2","Receptarea de mesaje orale în situaţii de comunicare uzuală"
"Identificarea informaţiilor esenţiale din fragmente scurte înregistrate, referitoare la aspecte cotidiene previzibile, atunci când se vorbește rar și clar","1.1.","lbmod1Spaniola6-1.1","Bifarea unor informaţii în liste/ tabele, în funcţie de mesajul audiat","Limba modernă 1 (engleză, franceză, italiană, spaniolă), clasele a V-a - a VIII-a","lbmod1Spaniola6","cl6","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017 - Anexa 2","Receptarea de mesaje orale în situaţii de comunicare uzuală"
"Identificarea informaţiilor esenţiale din fragmente scurte înregistrate, referitoare la aspecte cotidiene previzibile, atunci când se vorbește rar și clar","1.1.","lbmod1Spaniola6-1.1","Completarea unor texte lacunare pe baza mesajului audiat","Limba modernă 1 (engleză, franceză, italiană, spaniolă), clasele a V-a - a VIII-a","lbmod1Spaniola6","cl6","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017 - Anexa 2","Receptarea de mesaje orale în situaţii de comunicare uzuală"
"Identificarea semnificaţiei generale a mesajelor orale curente, clar și rar articulate","1.2.","lbmod1Spaniola6-1.2","Completarea de tabele, texte lacunare","Limba modernă 1 (engleză, franceză, italiană, spaniolă), clasele a V-a - a VIII-a","lbmod1Spaniola6","cl6","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017 - Anexa 2","Receptarea de mesaje orale în situaţii de comunicare uzuală"
"Identificarea semnificaţiei generale a mesajelor orale curente, clar și rar articulate","1.2.","lbmod1Spaniola6-1.2","Oferirea de răspunsuri scurte la întrebări","Limba modernă 1 (engleză, franceză, italiană, spaniolă), clasele a V-a - a VIII-a","lbmod1Spaniola6","cl6","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017 - Anexa 2","Receptarea de mesaje orale în situaţii de comunicare uzuală"
"Identificarea semnificaţiei generale a mesajelor orale curente, clar și rar articulate","1.2.","lbmod1Spaniola6-1.2","Realizarea unui produs (desen, colaj, schemă, pantomimă, joc de rol) pe baza mesajului audiat","Limba modernă 1 (engleză, franceză, italiană, spaniolă), clasele a V-a - a VIII-a","lbmod1Spaniola6","cl6","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017 - Anexa 2","Receptarea de mesaje orale în situaţii de comunicare uzuală"
"Identificarea unor elemente culturale specifice limbii studiate","1.3.","lbmod1Spaniola6-1.3","Căutarea pe youtube / alte aplicaţii audio-video a unor informaţii referitoare la sportivi, exploratori, artiști etc","Limba modernă 1 (engleză, franceză, italiană, spaniolă), clasele a V-a - a VIII-a","lbmod1Spaniola6","cl6","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017 - Anexa 2","Receptarea de mesaje orale în situaţii de comunicare uzuală"
"Identificarea unor elemente culturale specifice limbii studiate","1.3.","lbmod1Spaniola6-1.3","Realizarea unor postere/ albume ale clasei în urma vizionării unor emisiuni TV/ filme: exploratori celebri/ cântăreţii preferaţi / toţi iubim sportul/ actorul favorit etc.","Limba modernă 1 (engleză, franceză, italiană, spaniolă), clasele a V-a - a VIII-a","lbmod1Spaniola6","cl6","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017 - Anexa 2","Receptarea de mesaje orale în situaţii de comunicare uzuală"
"Realizarea unei expuneri scurte, exersate, asupra unui subiect familiar","2.1.","lbmod1Spaniola6-2.1","Prezentarea pe scurt a unui poster/ proiect","Limba modernă 1 (engleză, franceză, italiană, spaniolă), clasele a V-a - a VIII-a","lbmod1Spaniola6","cl6","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017 - Anexa 2","Exprimarea orală în situaţii de comunicare uzuală"
"Realizarea unei expuneri scurte, exersate, asupra unui subiect familiar","2.1.","lbmod1Spaniola6-2.1","Relatarea/ raportarea unei activităţi pe baza unui plan / pregătirii prealabile","Limba modernă 1 (engleză, franceză, italiană, spaniolă), clasele a V-a - a VIII-a","lbmod1Spaniola6","cl6","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017 - Anexa 2","Exprimarea orală în situaţii de comunicare uzuală"
"Realizarea unei expuneri scurte, exersate, asupra unui subiect familiar","2.1.","lbmod1Spaniola6-2.1","Prezentarea orală a unei teme realizate individual sau în grup","Limba modernă 1 (engleză, franceză, italiană, spaniolă), clasele a V-a - a VIII-a","lbmod1Spaniola6","cl6","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017 - Anexa 2","Exprimarea orală în situaţii de comunicare uzuală"
"Participarea la scurte interacţiuni verbale cu sprijin din partea interlocutorilor","2.2.","lbmod1Spaniola6-2.2","Oferirea de răspunsuri și reacţii la întrebări / invitaţii / oferte","Limba modernă 1 (engleză, franceză, italiană, spaniolă), clasele a V-a - a VIII-a","lbmod1Spaniola6","cl6","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017 - Anexa 2","Exprimarea orală în situaţii de comunicare uzuală"
"Participarea la scurte interacţiuni verbale cu sprijin din partea interlocutorilor","2.2.","lbmod1Spaniola6-2.2","Formularea de întrebări și răspunsuri pentru a afla / oferi detalii de identificare (nume, ocupaţie, vârstă, hobby)","Limba modernă 1 (engleză, franceză, italiană, spaniolă), clasele a V-a - a VIII-a","lbmod1Spaniola6","cl6","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017 - Anexa 2","Exprimarea orală în situaţii de comunicare uzuală"
