"nume","ids","cod","activitate","disciplină","coddisc","nivel","act normativ","competență generală"
"Rezumarea, pe baza informaţiilor explicite şi implicite, a unor pasaje din diverse tipuri de texte
orale narative, monologate şi dialogate","1.1.","lbcomRom6-1.1","exerciții de ascultare activă, punând întrebări referitoare la o idee/o informație din textul audiat","Limba și literatura română","lbcomRom6","cl6","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Participarea la interacțiuni verbale în diverse situații de comunicare prin receptarea și producerea textului oral"
"Rezumarea, pe baza informaţiilor explicite şi implicite, a unor pasaje din diverse tipuri de texte
orale narative, monologate şi dialogate","1.1.","lbcomRom6-1.1","transformarea unei secvențe monologate într-o secvență dialogată şi invers","Limba și literatura română","lbcomRom6","cl6","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Participarea la interacțiuni verbale în diverse situații de comunicare prin receptarea și producerea textului oral"
"Rezumarea, pe baza informaţiilor explicite şi implicite, a unor pasaje din diverse tipuri de texte
orale narative, monologate şi dialogate","1.1.","lbcomRom6-1.1","parafrazarea unor enunţuri dintr-un text audiat","Limba și literatura română","lbcomRom6","cl6","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Participarea la interacțiuni verbale în diverse situații de comunicare prin receptarea și producerea textului oral"
"Rezumarea, pe baza informaţiilor explicite şi implicite, a unor pasaje din diverse tipuri de texte
orale narative, monologate şi dialogate","1.1.","lbcomRom6-1.1","identificarea sensului global al unui text audiat","Limba și literatura română","lbcomRom6","cl6","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Participarea la interacțiuni verbale în diverse situații de comunicare prin receptarea și producerea textului oral"
"Rezumarea, pe baza informaţiilor explicite şi implicite, a unor pasaje din diverse tipuri de texte
orale narative, monologate şi dialogate","1.1.","lbcomRom6-1.1","formularea ideilor principale dintr-un mesaj transmis de către un prieten/coleg","Limba și literatura română","lbcomRom6","cl6","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Participarea la interacțiuni verbale în diverse situații de comunicare prin receptarea și producerea textului oral"
"Rezumarea, pe baza informaţiilor explicite şi implicite, a unor pasaje din diverse tipuri de texte
orale narative, monologate şi dialogate","1.1.","lbcomRom6-1.1","extragerea informațiilor esențiale dintr-o intervenție a unui interlocutor","Limba și literatura română","lbcomRom6","cl6","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Participarea la interacțiuni verbale în diverse situații de comunicare prin receptarea și producerea textului oral"
"Prezentarea unor informaţii, idei, sentimente şi puncte de vedere în texte orale, participând la discuţii pe diverse teme sau pornind de la textele citite/ascultate","1.2.","lbcomRom6-1.2","elaborarea unui text oral pornind de la un enunț dat/de la o imagine dată","Limba și literatura română","lbcomRom6","cl6","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Participarea la interacțiuni verbale în diverse situații de comunicare prin receptarea și producerea textului oral"
"Prezentarea unor informaţii, idei, sentimente şi puncte de vedere în texte orale, participând la discuţii pe diverse teme sau pornind de la textele citite/ascultate","1.2.","lbcomRom6-1.2","exerciții de exprimare a unui punct de vedere referitor la o idee extrasă dintr-un text oral/scris","Limba și literatura română","lbcomRom6","cl6","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Participarea la interacțiuni verbale în diverse situații de comunicare prin receptarea și producerea textului oral"
"Prezentarea unor informaţii, idei, sentimente şi puncte de vedere în texte orale, participând la discuţii pe diverse teme sau pornind de la textele citite/ascultate","1.2.","lbcomRom6-1.2","exerciții de întrerupere/reluare a textului oral pentru a realiza ipoteze asupra mesajului și pentru a le confirma/infirma","Limba și literatura română","lbcomRom6","cl6","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Participarea la interacțiuni verbale în diverse situații de comunicare prin receptarea și producerea textului oral"
"Adecvarea comunicării nonverbale şi paraverbale la o situaţie dată, evidențiind ideile și atitudinile, în situaţii de comunicare faţă-în-faţă sau mediată","1.3.","lbcomRom6-1.3","relatarea de întâmplări, folosind mima, pantomima","Limba și literatura română","lbcomRom6","cl6","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Participarea la interacțiuni verbale în diverse situații de comunicare prin receptarea și producerea textului oral"
