"nume","ids","cod","activitate","disciplină","coddisc","nivel","act normativ","competență generală"
"Recunoașterea apartenenței unui număr real la o mulțime","1.1.","mat8-1.1","reprezentarea pe axa numerelor a intervalelor de numere reale","Matematică","mat8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Identificarea unor date, mărimi și relații matematice, în contextul în care acestea apar"
"Recunoașterea apartenenței unui număr real la o mulțime","1.1.","mat8-1.1","reprezentarea pe axa numerelor a intervalelor făcând legătura între tipurile de intervale și submulțimile dreptei","Matematică","mat8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Identificarea unor date, mărimi și relații matematice, în contextul în care acestea apar"
"Recunoașterea apartenenței unui număr real la o mulțime","1.1.","mat8-1.1","identificarea apartenenței unui element la o mulțime definită printr-o proprietate a elementelor ei","Matematică","mat8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Identificarea unor date, mărimi și relații matematice, în contextul în care acestea apar"
"Identificarea componentelor unei expresii algebrice","1.2.","mat8-1.2","identificarea numerelor reprezentate prin litere în diferite contexte date","Matematică","mat8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Identificarea unor date, mărimi și relații matematice, în contextul în care acestea apar"
"Identificarea componentelor unei expresii algebrice","1.2.","mat8-1.2","identificarea termenilor asemenea dintr-o expresie algebrică","Matematică","mat8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Identificarea unor date, mărimi și relații matematice, în contextul în care acestea apar"
"Identificarea componentelor unei expresii algebrice","1.2.","mat8-1.2","recunoașterea unei formule de calcul prescurtat","Matematică","mat8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Identificarea unor date, mărimi și relații matematice, în contextul în care acestea apar"
"Identificarea componentelor unei expresii algebrice","1.2.","mat8-1.2","identificarea ecuațiilor de tipul ax+b=0, unde a, b ϵ R, sau ax2+bx+c=0, unde a ϵ R*, b,c ϵ R","Matematică","mat8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Identificarea unor date, mărimi și relații matematice, în contextul în care acestea apar"
"Identificarea unor dependențe funcționale în diferite situații date","1.3.","mat8-1.3","completarea unui șir numeric când regula de construire este dată explicit","Matematică","mat8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Identificarea unor date, mărimi și relații matematice, în contextul în care acestea apar"
"Identificarea unor dependențe funcționale în diferite situații date","1.3.","mat8-1.3","determinarea unei reguli de construire a unui șir când se cunosc câțiva termeni","Matematică","mat8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Identificarea unor date, mărimi și relații matematice, în contextul în care acestea apar"
"Identificarea unor dependențe funcționale în diferite situații date","1.3.","mat8-1.3","identificarea unor dependențe funcționale în diferite situații concrete","Matematică","mat8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Identificarea unor date, mărimi și relații matematice, în contextul în care acestea apar"
"Identificarea unor dependențe funcționale în diferite situații date","1.3.","mat8-1.3","exprimarea unor dependențe funcționale în diverse forme (tabele, grafice, formule)","Matematică","mat8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Identificarea unor date, mărimi și relații matematice, în contextul în care acestea apar"
"Identificarea unor figuri plane sau a unor elemente caracteristice acestora în configurații spațiale date","1.4.","mat8-1.4","identificarea, construcția, notarea și citirea unor drepte concurente/paralele/necoplanare în configurații spațiale, cu exemplificare și în realitatea înconjurătoare","Matematică","mat8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Identificarea unor date, mărimi și relații matematice, în contextul în care acestea apar"
"Identificarea unor figuri plane sau a unor elemente caracteristice acestora în configurații spațiale date","1.4.","mat8-1.4","identificarea, în configurații spațiale simple și în realitate, a pozițiilor relative ale unei drepte față de un plan","Matematică","mat8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Identificarea unor date, mărimi și relații matematice, în contextul în care acestea apar"
"Identificarea unor figuri plane sau a unor elemente caracteristice acestora în configurații spațiale date","1.4.","mat8-1.4","identificarea pozițiilor pozițiilor relative a două plane în configurații spațiale simple și în realitatea înconjurătoare","Matematică","mat8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Identificarea unor date, mărimi și relații matematice, în contextul în care acestea apar"
"Identificarea unor figuri plane sau a unor elemente caracteristice acestora în configurații spațiale date","1.4.","mat8-1.4","recunoașterea figurilor geometrice obținute în urma secționării unei piramide sau a unei prisme cu un plan paralel cu baza","Matematică","mat8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Identificarea unor date, mărimi și relații matematice, în contextul în care acestea apar"
"Identificarea corpurilor geometrice și a elementelor metrice necesare pentru calcularea ariei sau a volumului acestora","1.5.","mat8-1.5","identificarea și numirea corpurilor geometrice (cub; paralelipiped dreptunghic; prisma dreaptă cu baza: triunghi echilateral, pătrat, hexagon regulat; cilindru circular drept; con circular drept) într-un set de corpuri date sau în cotidian","Matematică","mat8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Identificarea unor date, mărimi și relații matematice, în contextul în care acestea apar"
"Identificarea corpurilor geometrice și a elementelor metrice necesare pentru calcularea ariei sau a volumului acestora","1.5.","mat8-1.5","identificarea înălțimii în corpurile geometrice studiate","Matematică","mat8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Identificarea unor date, mărimi și relații matematice, în contextul în care acestea apar"
"Identificarea corpurilor geometrice și a elementelor metrice necesare pentru calcularea ariei sau a volumului acestora","1.5.","mat8-1.5","identificarea elementelor corpurilor geometrice în configurații spațiale și pe desfășurări (diagonale, vârfuri, muchii, fețe)","Matematică","mat8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Identificarea unor date, mărimi și relații matematice, în contextul în care acestea apar"
"Identificarea corpurilor geometrice și a elementelor metrice necesare pentru calcularea ariei sau a volumului acestora","1.5.","mat8-1.5","construirea, din diferite materiale, a corpurilor geometrice studiate","Matematică","mat8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Identificarea unor date, mărimi și relații matematice, în contextul în care acestea apar"
"Efectuarea unor operaţii cu intervale numerice reprezentate pe axa numerelor sau cu mulțimi definite printr-o proprietate a elementelor ei","2.1.","mat8-2.1","reprezentarea pe axa numerelor a intersecției a două intervale","Matematică","mat8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","prelucrarea unor date matematice de tip cantitativ, calitativ, structural, cuprinse în diverse surse informaționale "
"Efectuarea unor operaţii cu intervale numerice reprezentate pe axa numerelor sau cu mulțimi definite printr-o proprietate a elementelor ei","2.1.","mat8-2.1","reprezentarea pe axa numerelor a reuniunii a două intervale cu intersecția nevidă","Matematică","mat8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","prelucrarea unor date matematice de tip cantitativ, calitativ, structural, cuprinse în diverse surse informaționale "
"Efectuarea unor operaţii cu intervale numerice reprezentate pe axa numerelor sau cu mulțimi definite printr-o proprietate a elementelor ei","2.1.","mat8-2.1","verificarea faptului că un număr este soluția unei inecuații","Matematică","mat8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","prelucrarea unor date matematice de tip cantitativ, calitativ, structural, cuprinse în diverse surse informaționale "
"Efectuarea unor operaţii cu intervale numerice reprezentate pe axa numerelor sau cu mulțimi definite printr-o proprietate a elementelor ei","2.1.","mat8-2.1","verificarea apartenenței unui obiect la o mulțime pe baza unei/unor proprietăți a/ale elementelor acesteia","Matematică","mat8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","prelucrarea unor date matematice de tip cantitativ, calitativ, structural, cuprinse în diverse surse informaționale "
"Aplicarea unor reguli de calcul cu numere reale exprimate prin litere","2.2.","mat8-2.2","efectuarea de calcule cu numere reale reprezentate prin litere (adunarea, scăderea, înmulţirea, împărţirea, ridicarea la putere cu exponent număr întreg)","Matematică","mat8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","prelucrarea unor date matematice de tip cantitativ, calitativ, structural, cuprinse în diverse surse informaționale "
"Aplicarea unor reguli de calcul cu numere reale exprimate prin litere","2.2.","mat8-2.2","aplicarea directă a regulilor și a formulelor de calcul prescurtat în expresii algebrice","Matematică","mat8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","prelucrarea unor date matematice de tip cantitativ, calitativ, structural, cuprinse în diverse surse informaționale "
"Aplicarea unor reguli de calcul cu numere reale exprimate prin litere","2.2.","mat8-2.2","calcularea valorii numerice a unei expresii algebrice prin atribuirea de valori numerice variabilelor","Matematică","mat8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","prelucrarea unor date matematice de tip cantitativ, calitativ, structural, cuprinse în diverse surse informaționale "
"Aplicarea unor reguli de calcul cu numere reale exprimate prin litere","2.2.","mat8-2.2","verificarea faptului că un număr real este soluție a unei ecuații","Matematică","mat8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","prelucrarea unor date matematice de tip cantitativ, calitativ, structural, cuprinse în diverse surse informaționale "
