"nume","ids","cod","activitate","disciplină","coddisc","nivel","act normativ","competență generală"
"Scrierea, citirea și formarea numerelor până la 100","1.1.","matexpmed1-1.1","reprezentarea numerelor de două cifre cu ajutorul numărătorii de poziționare;","Matematică și explorarea mediului ","matexpmed1","cl1","OM 3418/19.03.2013","Utilizarea numerelor în calcule elementare"
"Scrierea, citirea și formarea numerelor până la 100","1.1.","matexpmed1-1.1","reprezentarea prin obiecte (bețișoare, bile etc) a numerelor din intervalul 0 -100;","Matematică și explorarea mediului ","matexpmed1","cl1","OM 3418/19.03.2013","Utilizarea numerelor în calcule elementare"
"Scrierea, citirea și formarea numerelor până la 100","1.1.","matexpmed1-1.1","reprezentarea zecilor prin mănunchiuri de câte 10 bețișoare;","Matematică și explorarea mediului ","matexpmed1","cl1","OM 3418/19.03.2013","Utilizarea numerelor în calcule elementare"
"Scrierea, citirea și formarea numerelor până la 100","1.1.","matexpmed1-1.1","citirea numerelor de la 0 la 100;","Matematică și explorarea mediului ","matexpmed1","cl1","OM 3418/19.03.2013","Utilizarea numerelor în calcule elementare"
"Scrierea, citirea și formarea numerelor până la 100","1.1.","matexpmed1-1.1","scrierea numerelor de la 0 la 100, pe rețeaua caietului de matematică;","Matematică și explorarea mediului ","matexpmed1","cl1","OM 3418/19.03.2013","Utilizarea numerelor în calcule elementare"
"Scrierea, citirea și formarea numerelor până la 100","1.1.","matexpmed1-1.1","evidențierea cifrei unităților/zecilor dintr-un număr;","Matematică și explorarea mediului ","matexpmed1","cl1","OM 3418/19.03.2013","Utilizarea numerelor în calcule elementare"
"Scrierea, citirea și formarea numerelor până la 100","1.1.","matexpmed1-1.1","numărarea obiectelor/ființelor din mediul apropiat","Matematică și explorarea mediului ","matexpmed1","cl1","OM 3418/19.03.2013","Utilizarea numerelor în calcule elementare"
"Scrierea, citirea și formarea numerelor până la 100","1.1.","matexpmed1-1.1","numărare din 1 în 1, din 2 în 2, din 3 în 3 etc., în ordine crescătoare și descrescătoare, cu precizarea limitelor intervalului (de la ...până la)","Matematică și explorarea mediului ","matexpmed1","cl1","OM 3418/19.03.2013","Utilizarea numerelor în calcule elementare"
"Scrierea, citirea și formarea numerelor până la 100","1.1.","matexpmed1-1.1","evidențierea cifrei unităților sau a zecilor dintr-un număr (ex.: Colorați cifra zecilor cu roșu; Scrieți cu verde cifra unităților);","Matematică și explorarea mediului ","matexpmed1","cl1","OM 3418/19.03.2013","Utilizarea numerelor în calcule elementare"
"Scrierea, citirea și formarea numerelor până la 100","1.1.","matexpmed1-1.1","generarea de numere mai mici decât 100, ale căror cifre îndeplinesc condiții date(ex.: precizarea cifrei unităților/zecilor);","Matematică și explorarea mediului ","matexpmed1","cl1","OM 3418/19.03.2013","Utilizarea numerelor în calcule elementare"
"Scrierea, citirea și formarea numerelor până la 100","1.1.","matexpmed1-1.1","aflarea unui număr/a unor numere respectând anumite condiții (ex. „scrie cel mai mare număr mai mic decât 80”, „scrie toate numerele naturale de două cifre identice” etc.);","Matematică și explorarea mediului ","matexpmed1","cl1","OM 3418/19.03.2013","Utilizarea numerelor în calcule elementare"
"Compararea numerelor în concentrul 0-100","1.2.","matexpmed1-1.2","compararea unor grupuri de obiecte prin punerea elementelor unele sub altele, încercuirea părților comune, punerea în corespondență;","Matematică și explorarea mediului ","matexpmed1","cl1","OM 3418/19.03.2013","Utilizarea numerelor în calcule elementare"
"Compararea numerelor în concentrul 0-100","1.2.","matexpmed1-1.2","scrierea rezultatelor obținute prin comparare, utilizând semnele <, >, =;","Matematică și explorarea mediului ","matexpmed1","cl1","OM 3418/19.03.2013","Utilizarea numerelor în calcule elementare"
"Compararea numerelor în concentrul 0-100","1.2.","matexpmed1-1.2","compararea a două numere naturale mai mici decât 100, atunci când acestea au același număr de zeci/de unități, cu ajutorul mulțimilor de obiecte sau al numărătorii de poziționare;","Matematică și explorarea mediului ","matexpmed1","cl1","OM 3418/19.03.2013","Utilizarea numerelor în calcule elementare"
"Compararea numerelor în concentrul 0-100","1.2.","matexpmed1-1.2","identificarea numerelor pare și impare dintr-un șir (ex.: numerotarea clădirilor pe o stradă);","Matematică și explorarea mediului ","matexpmed1","cl1","OM 3418/19.03.2013","Utilizarea numerelor în calcule elementare"
"Compararea numerelor în concentrul 0-100","1.2.","matexpmed1-1.2","identificarea „vecinilor” unui număr de la 0 la 100;","Matematică și explorarea mediului ","matexpmed1","cl1","OM 3418/19.03.2013","Utilizarea numerelor în calcule elementare"
"Compararea numerelor în concentrul 0-100","1.2.","matexpmed1-1.2","identificarea numerelor pare/impare dintr-un șir dat;","Matematică și explorarea mediului ","matexpmed1","cl1","OM 3418/19.03.2013","Utilizarea numerelor în calcule elementare"
"Compararea numerelor în concentrul 0-100","1.2.","matexpmed1-1.2","selectarea unor numere după un criteriu dat (ex.:„Încercuiți cu verde numerele mai mari decât 39 și mai mici decât 45”);","Matematică și explorarea mediului ","matexpmed1","cl1","OM 3418/19.03.2013","Utilizarea numerelor în calcule elementare"
"Compararea numerelor în concentrul 0-100","1.2.","matexpmed1-1.2","identificarea numărului mai mic/mai mare pe baza algoritmului de comparare a două numere mai mici decât 100;","Matematică și explorarea mediului ","matexpmed1","cl1","OM 3418/19.03.2013","Utilizarea numerelor în calcule elementare"
"Ordonarea numerelor în concentrul 0 -100, folosind poziționarea pe axa numerelor, estimări, aproximări","1.3.","matexpmed1-1.3","ordonarea crescătoare/descrescătoare a unor numere naturale prin compararea acestora două câte două;","Matematică și explorarea mediului ","matexpmed1","cl1","OM 3418/19.03.2013","Utilizarea numerelor în calcule elementare"
"Ordonarea numerelor în concentrul 0 -100, folosind poziționarea pe axa numerelor, estimări, aproximări","1.3.","matexpmed1-1.3","identificarea unor numere, situate într-un interval dat (ex.: „Scrie trei numere mai mici decât 25”);","Matematică și explorarea mediului ","matexpmed1","cl1","OM 3418/19.03.2013","Utilizarea numerelor în calcule elementare"
"Ordonarea numerelor în concentrul 0 -100, folosind poziționarea pe axa numerelor, estimări, aproximări","1.3.","matexpmed1-1.3","estimarea ordinului de mărime a unor grupuri de obiecte;","Matematică și explorarea mediului ","matexpmed1","cl1","OM 3418/19.03.2013","Utilizarea numerelor în calcule elementare"
"Ordonarea numerelor în concentrul 0 -100, folosind poziționarea pe axa numerelor, estimări, aproximări","1.3.","matexpmed1-1.3","rotunjirea la zeci a unui număr dat, prin adăugarea sau eliminarea unui număr de unități;","Matematică și explorarea mediului ","matexpmed1","cl1","OM 3418/19.03.2013","Utilizarea numerelor în calcule elementare"
"Ordonarea numerelor în concentrul 0 -100, folosind poziționarea pe axa numerelor, estimări, aproximări","1.3.","matexpmed1-1.3","scrierea unui șir de numere pare/impare, având date limitele intervalului;","Matematică și explorarea mediului ","matexpmed1","cl1","OM 3418/19.03.2013","Utilizarea numerelor în calcule elementare"
"Ordonarea numerelor în concentrul 0 -100, folosind poziționarea pe axa numerelor, estimări, aproximări","1.3.","matexpmed1-1.3","citirea și scrierea relației de ordine între cardinalele a două mulțimi;","Matematică și explorarea mediului ","matexpmed1","cl1","OM 3418/19.03.2013","Utilizarea numerelor în calcule elementare"
"Ordonarea numerelor în concentrul 0 -100, folosind poziționarea pe axa numerelor, estimări, aproximări","1.3.","matexpmed1-1.3","poziționarea pe axă a unor numere date;","Matematică și explorarea mediului ","matexpmed1","cl1","OM 3418/19.03.2013","Utilizarea numerelor în calcule elementare"
