"nume","ids","cod","activitate","disciplină","coddisc","nivel","act normativ","competență generală"
"Analizarea comportamentului propriu sau al altor persoane în diferite situații, din perspectiva valorilor religioase","1.1.","relRomcatro4-1.1","dialoguri pe diverse teme: harul divin, bunătatea/răutatea, dreptatea/nedreptatea, prudența/imprudența, credința/necredința, virtutea/păcatul","Religie Cultul Romano-Catolic de limba română","relRomcatro4","cl4","Ordin al ministrului educației naționale nr. 5001 / 02.12.2014, Anexa nr. 3","Aplicarea unor norme de comportament specific moralei religioase, în diferite contexte de viață"
"Analizarea comportamentului propriu sau al altor persoane în diferite situații, din perspectiva valorilor religioase","1.1.","relRomcatro4-1.1","exerciții de definire a unor termeni de vocabular religios (har, păcat, virtute, credință, speranță, dragoste, prudență, cumpătare, tărie, dreptate, bunătate, smerenie, altruism, generozitate etc…)","Religie Cultul Romano-Catolic de limba română","relRomcatro4","cl4","Ordin al ministrului educației naționale nr. 5001 / 02.12.2014, Anexa nr. 3","Aplicarea unor norme de comportament specific moralei religioase, în diferite contexte de viață"
"Analizarea comportamentului propriu sau al altor persoane în diferite situații, din perspectiva valorilor religioase","1.1.","relRomcatro4-1.1","exerciții de identificare a unor texte reprezentative din Sfânta Scriptură, pe tema virtuților teologale și cardinale","Religie Cultul Romano-Catolic de limba română","relRomcatro4","cl4","Ordin al ministrului educației naționale nr. 5001 / 02.12.2014, Anexa nr. 3","Aplicarea unor norme de comportament specific moralei religioase, în diferite contexte de viață"
"Analizarea comportamentului propriu sau al altor persoane în diferite situații, din perspectiva valorilor religioase","1.1.","relRomcatro4-1.1","analizarea unor imagini semnificative din viețile sfinților sau din viața diferitelor comunități creștine, în care este evidențiată aplicarea anumitor virtuți","Religie Cultul Romano-Catolic de limba română","relRomcatro4","cl4","Ordin al ministrului educației naționale nr. 5001 / 02.12.2014, Anexa nr. 3","Aplicarea unor norme de comportament specific moralei religioase, în diferite contexte de viață"
"Analizarea comportamentului propriu sau al altor persoane în diferite situații, din perspectiva valorilor religioase","1.1.","relRomcatro4-1.1","jocuri didactice care să valorifice experiențe ale copiilor, relevante din punct de vedere religios (manifestarea unor virtuți în viața lor: sinceritatea, blândețea, bunătatea, răbdarea etc.)","Religie Cultul Romano-Catolic de limba română","relRomcatro4","cl4","Ordin al ministrului educației naționale nr. 5001 / 02.12.2014, Anexa nr. 3","Aplicarea unor norme de comportament specific moralei religioase, în diferite contexte de viață"
"Analizarea comportamentului propriu sau al altor persoane în diferite situații, din perspectiva valorilor religioase","1.1.","relRomcatro4-1.1","exerciții de argumentare a unui punct de vedere personal, în spiritul toleranței față de punctele de vedere ale altora","Religie Cultul Romano-Catolic de limba română","relRomcatro4","cl4","Ordin al ministrului educației naționale nr. 5001 / 02.12.2014, Anexa nr. 3","Aplicarea unor norme de comportament specific moralei religioase, în diferite contexte de viață"
"Descoperirea roadelor Duhului Sfânt în comportamentul diferitelor persoane","1.2.","relRomcatro4-1.2","comentarea unor fragmente literare, religioase sau laice, care să evidențieze rolul trăirii virtuților creștine","Religie Cultul Romano-Catolic de limba română","relRomcatro4","cl4","Ordin al ministrului educației naționale nr. 5001 / 02.12.2014, Anexa nr. 3","Aplicarea unor norme de comportament specific moralei religioase, în diferite contexte de viață"
"Descoperirea roadelor Duhului Sfânt în comportamentul diferitelor persoane","1.2.","relRomcatro4-1.2","joc de rol sau mici dramatizări, din care să reiasă importanța roadelor Duhului Sfânt în diferite contexte de viață (la școală, acasă, pe stradă, în tramvai, la cinema, la spital, la piață etc.)","Religie Cultul Romano-Catolic de limba română","relRomcatro4","cl4","Ordin al ministrului educației naționale nr. 5001 / 02.12.2014, Anexa nr. 3","Aplicarea unor norme de comportament specific moralei religioase, în diferite contexte de viață"
"Descoperirea roadelor Duhului Sfânt în comportamentul diferitelor persoane","1.2.","relRomcatro4-1.2","relatarea unor experiențe din viața copiilor, în care aceștia au dat dovadă de caritate, de răbdare, de blândețe, de modestie","Religie Cultul Romano-Catolic de limba română","relRomcatro4","cl4","Ordin al ministrului educației naționale nr. 5001 / 02.12.2014, Anexa nr. 3","Aplicarea unor norme de comportament specific moralei religioase, în diferite contexte de viață"
"Descoperirea roadelor Duhului Sfânt în comportamentul diferitelor persoane","1.2.","relRomcatro4-1.2","analiza, în cadrul unor activități pe grupe de elevi, a unor imagini (desene proprii, schițe, caricaturi, picturi etc.) care prezintă personaje negative, ce acționează în absența darurilor Duhului Sfânt","Religie Cultul Romano-Catolic de limba română","relRomcatro4","cl4","Ordin al ministrului educației naționale nr. 5001 / 02.12.2014, Anexa nr. 3","Aplicarea unor norme de comportament specific moralei religioase, în diferite contexte de viață"
"Descoperirea roadelor Duhului Sfânt în comportamentul diferitelor persoane","1.2.","relRomcatro4-1.2","exerciții de analiză, din perspectiva creștină, a asemănărilor și a deosebirilor dintre normele de comportament în diferite contexte sociale;","Religie Cultul Romano-Catolic de limba română","relRomcatro4","cl4","Ordin al ministrului educației naționale nr. 5001 / 02.12.2014, Anexa nr. 3","Aplicarea unor norme de comportament specific moralei religioase, în diferite contexte de viață"
"Descoperirea roadelor Duhului Sfânt în comportamentul diferitelor persoane","1.2.","relRomcatro4-1.2","conversația pe diferite teme de etică religioasă: „Cum pot face lumea mai bună”, „Prietenul adevărat”, „Cum recunosc prezența Duhului Sfânt în mine?”, „Sunt un exemplu pentru cei din jur?”, „Cum aș dori să se comporte alte persoane cu mine?”","Religie Cultul Romano-Catolic de limba română","relRomcatro4","cl4","Ordin al ministrului educației naționale nr. 5001 / 02.12.2014, Anexa nr. 3","Aplicarea unor norme de comportament specific moralei religioase, în diferite contexte de viață"
"Analizarea unor noțiuni de vocabular referitoare la colaborarea umană","2.1.","relRomcatro4-2.1","participarea la dialoguri pe diferite teme, la nivelul clasei sau pe grupuri de elevi, în care sunt utilizați termeni precum: prietenie, iertare, răbdare, prudență, credință, speranță, caritate","Religie Cultul Romano-Catolic de limba română","relRomcatro4","cl4","Ordin al ministrului educației naționale nr. 5001 / 02.12.2014, Anexa nr. 3","Colaborarea cu copiii și cu adulții din mediul familiar, în acord cu valorile religioase"
"Analizarea unor noțiuni de vocabular referitoare la colaborarea umană","2.1.","relRomcatro4-2.1","jocuri didactice, rezolvarea unor rebusuri în care copiii vor avea de descoperit numele unor virtuți sau ale unor vicii","Religie Cultul Romano-Catolic de limba română","relRomcatro4","cl4","Ordin al ministrului educației naționale nr. 5001 / 02.12.2014, Anexa nr. 3","Colaborarea cu copiii și cu adulții din mediul familiar, în acord cu valorile religioase"
"Analizarea unor noțiuni de vocabular referitoare la colaborarea umană","2.1.","relRomcatro4-2.1","exerciții referitoare la virtuțile creștine și la harurile Duhului Sfânt, prin utilizarea metodei cubului sau a ciorchinelui","Religie Cultul Romano-Catolic de limba română","relRomcatro4","cl4","Ordin al ministrului educației naționale nr. 5001 / 02.12.2014, Anexa nr. 3","Colaborarea cu copiii și cu adulții din mediul familiar, în acord cu valorile religioase"
"Caracterizarea diferitelor tipuri de relații umane, din perspectiva virtuților creștine","2.2.","relRomcatro4-2.2","caracterizarea unor personaje biblice, dintr-un fragment lecturat, care dau dovadă de un comportament virtuos, în comparație cu anumite personaje negative","Religie Cultul Romano-Catolic de limba română","relRomcatro4","cl4","Ordin al ministrului educației naționale nr. 5001 / 02.12.2014, Anexa nr. 3","Colaborarea cu copiii și cu adulții din mediul familiar, în acord cu valorile religioase"
"Caracterizarea diferitelor tipuri de relații umane, din perspectiva virtuților creștine","2.2.","relRomcatro4-2.2","conversația, la nivelul clasei sau a grupurilor de elevi, pe tema aspectelor care construiesc relații durabile între oameni (la nivelul familiei, al clasei, al școlii, al parohiei, la locul de muncă, în societate etc.)","Religie Cultul Romano-Catolic de limba română","relRomcatro4","cl4","Ordin al ministrului educației naționale nr. 5001 / 02.12.2014, Anexa nr. 3","Colaborarea cu copiii și cu adulții din mediul familiar, în acord cu valorile religioase"
