"nume","ids","cod","activitate","disciplină","coddisc","nivel","act normativ","competență generală"
"Prezentarea cronologică a principalelor evenimente din viața şi activitatea Mântuitorului Iisus Hristos, pe baza textelor biblice","1.1.","relOrt6-1.1","exerciții de identificare pe hartă a locurilor sfinte precizate în temele studiate (de exemplu, Țara Sfântă, Nazaret, Betleem, Ierusalim, râul Iordan)","Religie cultul ortodox","relOrt6","cl6","Ordinul ministrului educației naționale 3393 / 28.02.2017","Utilizarea conceptelor specifice religiei proprii, în conexiune cu diferite manifestări ale credinței"
"Prezentarea cronologică a principalelor evenimente din viața şi activitatea Mântuitorului Iisus Hristos, pe baza textelor biblice","1.1.","relOrt6-1.1","realizarea de tabele cronologice/hărți conceptuale/scheme pentru sistematizarea informațiilor referitoare la viața şi activitatea Domnului Iisus Hristos","Religie cultul ortodox","relOrt6","cl6","Ordinul ministrului educației naționale 3393 / 28.02.2017","Utilizarea conceptelor specifice religiei proprii, în conexiune cu diferite manifestări ale credinței"
"Prezentarea cronologică a principalelor evenimente din viața şi activitatea Mântuitorului Iisus Hristos, pe baza textelor biblice","1.1.","relOrt6-1.1","exerciții de identificare a ordinii logice şi cronologice a evenimentelor din viața lui Iisus Hristos, prin tehnici variate (de exemplu, ordonare, numerotare, eliminare, grupare)","Religie cultul ortodox","relOrt6","cl6","Ordinul ministrului educației naționale 3393 / 28.02.2017","Utilizarea conceptelor specifice religiei proprii, în conexiune cu diferite manifestări ale credinței"
"Prezentarea cronologică a principalelor evenimente din viața şi activitatea Mântuitorului Iisus Hristos, pe baza textelor biblice","1.1.","relOrt6-1.1","participarea la activități tip joc didactic, în perechi sau în grup, care vizează selectarea/prezentarea de informații despre persoane sau evenimente biblice (de exemplu, rebus, „Plan de călătorie” – marcarea unei rute pe hartă, „Cine? Ce? Unde? Când?”, „Recunoaşte personajul”, „Jurnal de călătorie în Țara Sfântă”","Religie cultul ortodox","relOrt6","cl6","Ordinul ministrului educației naționale 3393 / 28.02.2017","Utilizarea conceptelor specifice religiei proprii, în conexiune cu diferite manifestări ale credinței"
"Prezentarea cronologică a principalelor evenimente din viața şi activitatea Mântuitorului Iisus Hristos, pe baza textelor biblice","1.1.","relOrt6-1.1","prezentarea textelor unor cântări din Sfânta Liturghie, în paralel cu prezentarea momentelor importante din viața Mântuitorului","Religie cultul ortodox","relOrt6","cl6","Ordinul ministrului educației naționale 3393 / 28.02.2017","Utilizarea conceptelor specifice religiei proprii, în conexiune cu diferite manifestări ale credinței"
"Integrarea unor concepte specifice în prezentarea de evenimente religioase, istorice şi culturale","1.2.","relOrt6-1.2","exerciții de identificare, în diferite contexte de comunicare, a termenilor învățați (de exemplu, subliniere, încercuire, bifare, transcriere, selectare)","Religie cultul ortodox","relOrt6","cl6","Ordinul ministrului educației naționale 3393 / 28.02.2017","Utilizarea conceptelor specifice religiei proprii, în conexiune cu diferite manifestări ale credinței"
"Integrarea unor concepte specifice în prezentarea de evenimente religioase, istorice şi culturale","1.2.","relOrt6-1.2","exerciții de utilizare a termenilor specifici (de exemplu, pildă, templu, învățătură, rugăciune, post, milostenie, iubire, credință, fapte bune, minune) în diferite contexte de comunicare şi cu diferite sensuri (de exemplu, completarea de text lacunar, alcătuire de enunțuri)","Religie cultul ortodox","relOrt6","cl6","Ordinul ministrului educației naționale 3393 / 28.02.2017","Utilizarea conceptelor specifice religiei proprii, în conexiune cu diferite manifestări ale credinței"
"Integrarea unor concepte specifice în prezentarea de evenimente religioase, istorice şi culturale","1.2.","relOrt6-1.2","redactarea de texte (de exemplu, elaborarea de scurte povestiri; continuarea unei povestiri cu titlu dat sau cu titlu la alegere, pe baza unui plan de idei; redactare de mesaje, scrisori, rugăciuni simple) în care să fie descrise sentimente şi trăiri personale, în legătură cu teme studiate (de exemplu, ajutor, recunoştință, puterea rugăciunii)","Religie cultul ortodox","relOrt6","cl6","Ordinul ministrului educației naționale 3393 / 28.02.2017","Utilizarea conceptelor specifice religiei proprii, în conexiune cu diferite manifestări ale credinței"
"Integrarea unor concepte specifice în prezentarea de evenimente religioase, istorice şi culturale","1.2.","relOrt6-1.2","identificarea unor teme sau motive nou-testamentare în anumite creații culturale, clasice sau contemporane","Religie cultul ortodox","relOrt6","cl6","Ordinul ministrului educației naționale 3393 / 28.02.2017","Utilizarea conceptelor specifice religiei proprii, în conexiune cu diferite manifestări ale credinței"
"Integrarea unor concepte specifice în prezentarea de evenimente religioase, istorice şi culturale","1.2.","relOrt6-1.2","analizarea semnificației cererilor din rugăciunea „Tatăl nostru”","Religie cultul ortodox","relOrt6","cl6","Ordinul ministrului educației naționale 3393 / 28.02.2017","Utilizarea conceptelor specifice religiei proprii, în conexiune cu diferite manifestări ale credinței"
"Selectarea de informații adecvate din surse şi cu mijloace variate, pe teme cu relevanță moralreligioasă","1.3.","relOrt6-1.3","exerciții de analiză comparativă a unor texte biblice cu texte literare privind modul în care sunt prezentate evenimente din viața Mântuitorului, utilizând tehnici variate (de exemplu, tabele, diagrame, glosare, fişe de lucru)","Religie cultul ortodox","relOrt6","cl6","Ordinul ministrului educației naționale 3393 / 28.02.2017","Utilizarea conceptelor specifice religiei proprii, în conexiune cu diferite manifestări ale credinței"
