"nume","ids","cod","activitate","disciplină","coddisc","nivel","act normativ","competență generală"
"Formularea de argumente pentru susţinerea importanţei unor idei, fapte cu relevanţă moral-religioasă sau evenimente din istoria mântuirii","1.1.","relRomcatro8-1.1","elaborarea de miniproiecte de grup pe tema diferitelor evenimente din istoria mântuirii, utilizând mijloace variate de informare şi de prezentare (fragmente biblice, reviste, mediul online)","Religie Cultul Romano-Catolic de limba română","relRomcatro8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017, Anexa nr. 2","Utilizarea conceptelor specifice religiei proprii, în conexiune cu diferite manifestări ale credinţei"
"Formularea de argumente pentru susţinerea importanţei unor idei, fapte cu relevanţă moral-religioasă sau evenimente din istoria mântuirii","1.1.","relRomcatro8-1.1","analizarea unor imagini/filme care reprezintă personaje şi locuri cu relevanţă pentru diferite evenimente biblice/religioase","Religie Cultul Romano-Catolic de limba română","relRomcatro8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017, Anexa nr. 2","Utilizarea conceptelor specifice religiei proprii, în conexiune cu diferite manifestări ale credinţei"
"Formularea de argumente pentru susţinerea importanţei unor idei, fapte cu relevanţă moral-religioasă sau evenimente din istoria mântuirii","1.1.","relRomcatro8-1.1","participarea la dezbateri pe teme privind diferite texte biblice sau evenimente cu relevanţă moral-religioasă de la nivelul comunităţii, cu accent pe exersarea modalităţilor de construire a argumentelor","Religie Cultul Romano-Catolic de limba română","relRomcatro8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017, Anexa nr. 2","Utilizarea conceptelor specifice religiei proprii, în conexiune cu diferite manifestări ale credinţei"
"Compararea modurilor de adaptare, la contexte şcolare şi extraşcolare date, a comunicării despre anumite evenimente din istoria mântuirii","1.2.","relRomcatro8-1.2","identificarea unor valori cu relevanţă pentru viaţa copiilor şi a familiei din societatea contemporană, pornind de la analiza unor evenimente din istoria mântuirii","Religie Cultul Romano-Catolic de limba română","relRomcatro8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017, Anexa nr. 2","Utilizarea conceptelor specifice religiei proprii, în conexiune cu diferite manifestări ale credinţei"
"Compararea modurilor de adaptare, la contexte şcolare şi extraşcolare date, a comunicării despre anumite evenimente din istoria mântuirii","1.2.","relRomcatro8-1.2","participarea la discuţii pe tema modurilor în care Dumnezeu acţionează în diferite etape ale Revelaţiei","Religie Cultul Romano-Catolic de limba română","relRomcatro8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017, Anexa nr. 2","Utilizarea conceptelor specifice religiei proprii, în conexiune cu diferite manifestări ale credinţei"
"Compararea modurilor de adaptare, la contexte şcolare şi extraşcolare date, a comunicării despre anumite evenimente din istoria mântuirii","1.2.","relRomcatro8-1.2","exerciţii de autoevaluare a comunicării cu colegi, profesori, părinţi pe teme cu relevanţă moral-religioasă, în diferite contexte de relaţionare","Religie Cultul Romano-Catolic de limba română","relRomcatro8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017, Anexa nr. 2","Utilizarea conceptelor specifice religiei proprii, în conexiune cu diferite manifestări ale credinţei"
"Compararea modurilor de adaptare, la contexte şcolare şi extraşcolare date, a comunicării despre anumite evenimente din istoria mântuirii","1.2.","relRomcatro8-1.2","participarea la jocuri de rol pornind de la unele relatări biblice","Religie Cultul Romano-Catolic de limba română","relRomcatro8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017, Anexa nr. 2","Utilizarea conceptelor specifice religiei proprii, în conexiune cu diferite manifestări ale credinţei"
"Promovarea, în grupurile de apartenenţă, a unor reguli specifice cooperării şi competiţiei, în acord cu spiritul sacramentelor de slujire a comuniunii","2.1.","relRomcatro8-2.1","exerciţii de elaborare în grup a unor reguli de comportament în diferite contexte (şcolare, familiale, sociale), în acord cu valorile moral-religioase, prezentate în forme variate (de exemplu, fişe, postere, prezentări cu ajutorul noilor tehnologii, dezbateri)","Religie Cultul Romano-Catolic de limba română","relRomcatro8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017, Anexa nr. 2","Manifestarea unui comportament moral, în viaţa personală şi în societate, în acord cu valorile religioase"
"Promovarea, în grupurile de apartenenţă, a unor reguli specifice cooperării şi competiţiei, în acord cu spiritul sacramentelor de slujire a comuniunii","2.1.","relRomcatro8-2.1","identificarea responsabilităţilor pe termen scurt, mediu şi lung pe care şi le pot asuma preadolescenţi/adolescenţii, în diferite grupuri","Religie Cultul Romano-Catolic de limba română","relRomcatro8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017, Anexa nr. 2","Manifestarea unui comportament moral, în viaţa personală şi în societate, în acord cu valorile religioase"
"Promovarea, în grupurile de apartenenţă, a unor reguli specifice cooperării şi competiţiei, în acord cu spiritul sacramentelor de slujire a comuniunii","2.1.","relRomcatro8-2.1","participarea la jocuri de rol pe teme religioase, care să încurajeze atitudini specifice cooperării şi competiţiei","Religie Cultul Romano-Catolic de limba română","relRomcatro8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017, Anexa nr. 2","Manifestarea unui comportament moral, în viaţa personală şi în societate, în acord cu valorile religioase"
"Identificarea avantajelor şi limitelor cooperării şi competiţiei, în grupurile de învăţare şi de muncă, în spiritul sacramentelor de slujire a comuniunii","2.2.","relRomcatro8-2.2","prezentarea şi discutarea unor studii de caz referitoare la efectele competiţiei/cooperării în diferite grupuri","Religie Cultul Romano-Catolic de limba română","relRomcatro8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017, Anexa nr. 2","Manifestarea unui comportament moral, în viaţa personală şi în societate, în acord cu valorile religioase"
"Identificarea avantajelor şi limitelor cooperării şi competiţiei, în grupurile de învăţare şi de muncă, în spiritul sacramentelor de slujire a comuniunii","2.2.","relRomcatro8-2.2","exerciţii de identificare a unor asemănări şi deosebiri în ceea ce priveşte valorile proprii şi cele ale persoanelor din jur (de exemplu, colegi, prieteni, părinţi, profesori), legate de cooperare şi competiţie","Religie Cultul Romano-Catolic de limba română","relRomcatro8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017, Anexa nr. 2","Manifestarea unui comportament moral, în viaţa personală şi în societate, în acord cu valorile religioase"
"Identificarea avantajelor şi limitelor cooperării şi competiţiei, în grupurile de învăţare şi de muncă, în spiritul sacramentelor de slujire a comuniunii","2.2.","relRomcatro8-2.2","vizionarea şi comentarea unor filme documentare care reflectă asumarea responsabilă a diferitelor tipuri de vocaţii","Religie Cultul Romano-Catolic de limba română","relRomcatro8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017, Anexa nr. 2","Manifestarea unui comportament moral, în viaţa personală şi în societate, în acord cu valorile religioase"
"Identificarea avantajelor şi limitelor cooperării şi competiţiei, în grupurile de învăţare şi de muncă, în spiritul sacramentelor de slujire a comuniunii","2.2.","relRomcatro8-2.2","implicarea în activităţi creştine cu caracter comunitar, organizate de clasă, şcoală în colaborare cu diferiţi parteneri sociali (Biserică, primările, ONG-uri)","Religie Cultul Romano-Catolic de limba română","relRomcatro8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017, Anexa nr. 2","Manifestarea unui comportament moral, în viaţa personală şi în societate, în acord cu valorile religioase"
"Susţinerea rolului atitudinilor și comportamentelor deschise şi echilibrate în relație cu ceilalți, ca factor de dezvoltare personală şi de promovare a comuniunii","3.1.","relRomcatro8-3.1","realizarea de prezentări (eseuri, prezentări online, colaje de imagini) despre modalităţile şi contextele în care a fost propovăduit creştinismul în spaţiul românesc","Religie Cultul Romano-Catolic de limba română","relRomcatro8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017, Anexa nr. 2","Raportarea experienţelor din viaţa de zi cu zi la principiile religioase, cu respectarea identităţii şi diversităţii religioase"
"Susţinerea rolului atitudinilor și comportamentelor deschise şi echilibrate în relație cu ceilalți, ca factor de dezvoltare personală şi de promovare a comuniunii","3.1.","relRomcatro8-3.1","realizarea în grup a unor miniproiecte despre viaţa Bisericii locale, în forme variate (compuneri, fotografii, interviuri cu personal de cult sau cu alte personalităţi din comunitate), utilizând abordări transdisciplinare (istorie, limba şi literatura română, geografie, arte)","Religie Cultul Romano-Catolic de limba română","relRomcatro8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017, Anexa nr. 2","Raportarea experienţelor din viaţa de zi cu zi la principiile religioase, cu respectarea identităţii şi diversităţii religioase"
"Susţinerea rolului atitudinilor și comportamentelor deschise şi echilibrate în relație cu ceilalți, ca factor de dezvoltare personală şi de promovare a comuniunii","3.1.","relRomcatro8-3.1","exerciții de analizare a unor evenimente religioase și sociale actuale, pornind de la realitatea pluralismului religios din România","Religie Cultul Romano-Catolic de limba română","relRomcatro8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017, Anexa nr. 2","Raportarea experienţelor din viaţa de zi cu zi la principiile religioase, cu respectarea identităţii şi diversităţii religioase"
"Implicarea în activităţi şi proiecte individuale şi de grup, centrate pe aspecte de viaţă spirituală a comunităţii și pe experienţele din viaţa Bisericii locale","3.2.","relRomcatro8-3.2","participarea la excursii şi vizite la mănăstiri, biserici, muzee, cu rol de evidenţiere a capodoperelor culturii religioase în spaţiul românesc","Religie Cultul Romano-Catolic de limba română","relRomcatro8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017, Anexa nr. 2","Raportarea experienţelor din viaţa de zi cu zi la principiile religioase, cu respectarea identităţii şi diversităţii religioase"
