"nume","ids","cod","activitate","disciplină","coddist","nivel","act normativ","competență generală"
"Analizarea unor opinii cu semnificație religioasă, exprimate în raport cu anumite situații de viață","1.1.","relOrt3-1.1","dialoguri pe diferite teme: importanța lui Dumnezeu în viața omului, importanța omului în viața semenilor și a celorlalte ființe din natură, viața de pe pământ etc.","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Aplicarea unor norme de comportament specific moralei religioase, în diferite contexte de viață"
"Analizarea unor opinii cu semnificație religioasă, exprimate în raport cu anumite situații de viață","1.1.","relOrt3-1.1","exerciții de definire a unor termeni abordați în cadrul unor teme, din perspectivă generală și din perspectivă religioasă: cale, adevăr, bunătate, răbdare, respect, putere","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Aplicarea unor norme de comportament specific moralei religioase, în diferite contexte de viață"
"Analizarea unor opinii cu semnificație religioasă, exprimate în raport cu anumite situații de viață","1.1.","relOrt3-1.1","lectura unor texte pe teme din natură (succesiunea anotimpurilor, revenirea naturii la viață primăvara etc.)","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Aplicarea unor norme de comportament specific moralei religioase, în diferite contexte de viață"
"Analizarea unor opinii cu semnificație religioasă, exprimate în raport cu anumite situații de viață","1.1.","relOrt3-1.1","realizarea unor colaje cu imagini, fotografii care ilustrează aspecte din natură","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Aplicarea unor norme de comportament specific moralei religioase, în diferite contexte de viață"
"Analizarea unor opinii cu semnificație religioasă, exprimate în raport cu anumite situații de viață","1.1.","relOrt3-1.1","explicarea, la nivelul de înțelegere al copiilor, a semnificației participării la slujbe (Sfânta Liturghie, Sfintele Taine)","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Aplicarea unor norme de comportament specific moralei religioase, în diferite contexte de viață"
"Analizarea unor opinii cu semnificație religioasă, exprimate în raport cu anumite situații de viață","1.1.","relOrt3-1.1","discuții despre puterea primită de la Dumnezeu prin Sfintele Taine","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Aplicarea unor norme de comportament specific moralei religioase, în diferite contexte de viață"
"Analizarea unor opinii cu semnificație religioasă, exprimate în raport cu anumite situații de viață","1.1.","relOrt3-1.1","vizionarea unor înregistrări video/ participarea la diferite slujbe (Sfânta Liturghie, Sfintele Taine, sfințirea apei etc.)","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Aplicarea unor norme de comportament specific moralei religioase, în diferite contexte de viață"
"Analizarea unor opinii cu semnificație religioasă, exprimate în raport cu anumite situații de viață","1.1.","relOrt3-1.1","jocuri didactice ilustrative, care să valorifice experiențe ale copiilor, relevante din punct de vedere religios (referitoare la manifestarea unor virtuți în viața lor: sinceritatea, blândețea, bunătatea, răbdarea etc.)","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Aplicarea unor norme de comportament specific moralei religioase, în diferite contexte de viață"
"Analizarea unor opinii cu semnificație religioasă, exprimate în raport cu anumite situații de viață","1.1.","relOrt3-1.1","analiza unor texte care prezintă diferite opinii cu semnificație religioasă în relație cu diferite situații de viață","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Aplicarea unor norme de comportament specific moralei religioase, în diferite contexte de viață"
"Identificarea principalelor îndatoriri ale unui creștin în relație cu semenii, pe baza valorificării unor experiențe din viața cotidiană","1.2.","relOrt3-1.2","povestirea unor fapte bune, fie proprii, fie ale altora, relevante pentru aspecte precum: rostirea adevărului, ascultarea sfaturilor, manifestarea blândeții și a bunătății, experimentarea răbdării, manifestarea unor atitudini de respect etc.","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Aplicarea unor norme de comportament specific moralei religioase, în diferite contexte de viață"
