"nume","ids","cod","activitate","disciplină","coddisc","nivel","act normativ","competență generală"
"Identificarea unor relații între corpuri în cadrul unor fenomene și procese","1.1.","stanat4-1.1","utilizarea unor modele pentru observarea relațiilor dintre componentele unui sistem (de exemplu: utilizarea unor planșe, diapozitive reprezentând diverse medii de viață pentru observarea relațiilor dintre condițiile oferite de acestea și aspectul viețuitoarelor)","Științele naturii","stanat4","cl4","OM 5003 / 02.12.2014","Explorarea caracteristicilor unor corpuri, fenomene și procese"
"Identificarea unor relații între corpuri în cadrul unor fenomene și procese","1.1.","stanat4-1.1","observarea dirijată a unor scheme simple, desene pentru evidențierea relațiilor dintre componentele unui sistem (de exemplu: schema unor lanțuri trofice simple, schema unui circuit electric)","Științele naturii","stanat4","cl4","OM 5003 / 02.12.2014","Explorarea caracteristicilor unor corpuri, fenomene și procese"
"Identificarea unor relații între corpuri în cadrul unor fenomene și procese","1.1.","stanat4-1.1","recunoașterea unor caracteristici ale unor corpuri, fenomene, procese pornind de la prezentarea unor scurte texte științifice adaptate vârstei elevilor, a unor povești sau povestiri (de exemplu: descrierea ciclurilor de viață la unele organisme)","Științele naturii","stanat4","cl4","OM 5003 / 02.12.2014","Explorarea caracteristicilor unor corpuri, fenomene și procese"
"Identificarea unor relații între corpuri în cadrul unor fenomene și procese","1.1.","stanat4-1.1","observarea unor aspecte dinamice ale realității înconjurătoare sau mai îndepărtate de mediul de viață cunoscut prin vizionarea unor filme sau realizarea unor jocuri de rol (de exemplu: mișcarea planetelor Sistemului Solar)","Științele naturii","stanat4","cl4","OM 5003 / 02.12.2014","Explorarea caracteristicilor unor corpuri, fenomene și procese"
"Identificarea unor relații între corpuri în cadrul unor fenomene și procese","1.1.","stanat4-1.1"," discutarea unor activități cotidiene în scopul explicării lor prin prisma unor fapte științifice (de exemplu: explicarea activităților ciclice ale oamenilor în funcție de alternanța noapte - zi, de anotimpuri)","Științele naturii","stanat4","cl4","OM 5003 / 02.12.2014","Explorarea caracteristicilor unor corpuri, fenomene și procese"
"Identificarea unor relații între corpuri în cadrul unor fenomene și procese","1.1.","stanat4-1.1","observarea unor fenomene și procese prin efectuarea unor experiențe simple (de exemplu: evidențierea plutirii diferitelor corpuri, evidențierea unor proprietăți ale apei în diferite stări de agregare, realizarea unor amestecuri și separarea lor, evidențierea dizolvării unor solide și a influenței temperaturii, demonstrarea transferului de căldură între obiecte, realizarea unor circuite electrice simple, evidențierea unor fenomene optice)","Științele naturii","stanat4","cl4","OM 5003 / 02.12.2014","Explorarea caracteristicilor unor corpuri, fenomene și procese"
"Utilizarea unor criterii pentru ordonarea și clasificarea unor corpuri, fenomene și procese","1.2.","stanat4-1.2","identificarea unor criterii de ordonare, clasificare în cadrul unor grupe de corpuri, fenomene, procese (de exemplu: diverse caracteristici ale unor viețuitoare în diferite etape de viață, gradul de scufundare în apă al corpurilor, capacitatea materialelor de a induce căldură sau curent electric, transparența corpurilor)","Științele naturii","stanat4","cl4","OM 5003 / 02.12.2014","Explorarea caracteristicilor unor corpuri, fenomene și procese"
"Utilizarea unor criterii pentru ordonarea și clasificarea unor corpuri, fenomene și procese","1.2.","stanat4-1.2","ordonarea unor corpuri, etape ale unor fenomene/ procese după anumite criterii (de exemplu: ordonarea etapelor ciclului de viață la un organism; ordonarea corpurilor în funcție de gradul de scufundare în apă)","Științele naturii","stanat4","cl4","OM 5003 / 02.12.2014","Explorarea caracteristicilor unor corpuri, fenomene și procese"
"Utilizarea unor criterii pentru ordonarea și clasificarea unor corpuri, fenomene și procese","1.2.","stanat4-1.2","clasificarea unor corpuri, fenomene/ procese (de exemplu: clasificarea materialelor după gradul de conducere a căldurii sau a curentului electric, după transparență)","Științele naturii","stanat4","cl4","OM 5003 / 02.12.2014","Explorarea caracteristicilor unor corpuri, fenomene și procese"
"Utilizarea unor criterii pentru ordonarea și clasificarea unor corpuri, fenomene și procese","1.2.","stanat4-1.2","selectarea unor corpuri/ materiale cu proprietăți potrivite utilizării în scopuri precizate (de exemplu: în gospodărie, în construcții)","Științele naturii","stanat4","cl4","OM 5003 / 02.12.2014","Explorarea caracteristicilor unor corpuri, fenomene și procese"
"Elaborarea unui plan propriu pentru realizarea unei investigații a mediului înconjurător","2.1.","stanat4-2.1","construirea punctului de plecare al investigației proprii/ identificarea unei probleme, prin formularea unor întrebări (de exemplu: „Ce se ascunde în sămânța unei plante?”)","Științele naturii","stanat4","cl4","OM 5003 / 02.12.2014","Investigarea mediului înconjurător folosind instrumente și procedee specifice"
"Elaborarea unui plan propriu pentru realizarea unei investigații a mediului înconjurător","2.1.","stanat4-2.1","stabilirea etapelor investigației proprii","Științele naturii","stanat4","cl4","OM 5003 / 02.12.2014","Investigarea mediului înconjurător folosind instrumente și procedee specifice"
