"nume","ids","cod","activitate","disciplină","coddisc","nivel","act normativ","competență generală"
"Utilizarea foilor de calcul tabelar în vederea rezolvării unor situații problemă simple","1.1.","tecInfo8-1.1","identificarea elementelor specifice de adresare şi formatare prin realizarea unui tabel de colectare a datelor (prin formular/chestionar sau prin introducere directă) pentru experimente simple colaborative (exemplu: urmărirea dezvoltării plantelor în diferite condiții de umiditate, luminozitate, sol etc.)","Informatică şi TIC","tecInfo8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Utilizarea responsabilă și eficientă a tehnologiei informației și comunicațiilor"
"Utilizarea foilor de calcul tabelar în vederea rezolvării unor situații problemă simple","1.1.","tecInfo8-1.1","extragerea unor concluzii pe baza datelor colectate și prin utilizarea unor funcții specifice (grafice, formule) ","Informatică şi TIC","tecInfo8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Utilizarea responsabilă și eficientă a tehnologiei informației și comunicațiilor"
"Utilizarea foilor de calcul tabelar în vederea rezolvării unor situații problemă simple","1.1.","tecInfo8-1.1","publicarea rezultatelor în formă accesibilă auditoriului prin exemplificare grafică","Informatică şi TIC","tecInfo8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Utilizarea responsabilă și eficientă a tehnologiei informației și comunicațiilor"
"Utilizarea foilor de calcul tabelar în vederea rezolvării unor situații problemă simple","1.1.","tecInfo8-1.1","rezolvarea unor probleme la diferite discipline prin utilizarea formulelor, funcţiilor, diagramelor și seriilor specifice calculului tabelar  ","Informatică şi TIC","tecInfo8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Utilizarea responsabilă și eficientă a tehnologiei informației și comunicațiilor"
"Utilizarea unui editor dedicat pentru realizarea unor pagini web cu diverse teme","1.2.","tecInfo8-1.2","vizitarea unor pagini web pentru identificarea elementelor specifice, vizând protecția utilizatorului împotriva fraudelor informatice realizate prin inginerie socială","Informatică şi TIC","tecInfo8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Utilizarea responsabilă și eficientă a tehnologiei informației și comunicațiilor"
"Utilizarea unui editor dedicat pentru realizarea unor pagini web cu diverse teme","1.2.","tecInfo8-1.2","explorarea elementelor de interfață ale unei aplicații de editare a paginilor web în scopul identificării principalelor facilități ale acesteia","Informatică şi TIC","tecInfo8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Utilizarea responsabilă și eficientă a tehnologiei informației și comunicațiilor"
"Utilizarea unui editor dedicat pentru realizarea unor pagini web cu diverse teme","1.2.","tecInfo8-1.2","analiza unor pagini model cu scopul de a identifica elementele de structură: antet, titlu, corp ","Informatică şi TIC","tecInfo8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Utilizarea responsabilă și eficientă a tehnologiei informației și comunicațiilor"
"Utilizarea unui editor dedicat pentru realizarea unor pagini web cu diverse teme","1.2.","tecInfo8-1.2","editarea unei pagini web pe o temă dată (anotimpuri, sportul preferat, pagina clasei etc.)  ","Informatică şi TIC","tecInfo8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Utilizarea responsabilă și eficientă a tehnologiei informației și comunicațiilor"
"Identificarea șirurilor de valori în diferite contexte de prelucrare în vederea construirii algoritmilor","2.1.","tecInfo8-2.1","analiza unor exemple de prelucrări în care intervine un număr variabil de date de intrare în situații întâlnite la diferite discipline","Informatică şi TIC","tecInfo8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Rezolvarea unor probleme elementare prin metode intuitive de prelucrare a informației"
"Identificarea șirurilor de valori în diferite contexte de prelucrare în vederea construirii algoritmilor","2.1.","tecInfo8-2.1","identificarea unor șiruri de valori pe baza unei proprietăți (valori pare/impare, pozitive/negative etc.) ","Informatică şi TIC","tecInfo8","cl8","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Rezolvarea unor probleme elementare prin metode intuitive de prelucrare a informației"
