"nume","ids","cod","activitate","disciplină","coddisc","nivel","act normativ","competență generală"
"Aplicarea deprinderilor locomotorii în cadrul unor jocuri de întrecere","1.1.","jocmi3-1.1","participarea la ștafete și jocuri cu utilizarea unor deprinderi de locomoție","Joc și mișcare","jocmi3","cl3","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Participarea la jocurile de mișcare, organizate sau spontane, în funcție de capacitatea psiho-motrică și interesele individuale"
"Aplicarea deprinderilor locomotorii în cadrul unor jocuri de întrecere","1.1.","jocmi3-1.1","participarea la ștafete și jocuri cu utilizarea unor deprinderi de manipulare","Joc și mișcare","jocmi3","cl3","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Participarea la jocurile de mișcare, organizate sau spontane, în funcție de capacitatea psiho-motrică și interesele individuale"
"Manevrarea obiectelor în condiții de cooperare intra-grup și întrecere inter-grupe","1.2.","jocmi3-1.2","realizarea unor sarcini motrice de manipulare a diferitelor obiecte, în cadrul unui grup","Joc și mișcare","jocmi3","cl3","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Participarea la jocurile de mișcare, organizate sau spontane, în funcție de capacitatea psiho-motrică și interesele individuale"
"Manevrarea obiectelor în condiții de cooperare intra-grup și întrecere inter-grupe","1.2.","jocmi3-1.2","implicarea în jocuri de mișcare cu manevrarea obiectelor, desfășurate între echipe, sub formă de întrecere","Joc și mișcare","jocmi3","cl3","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Participarea la jocurile de mișcare, organizate sau spontane, în funcție de capacitatea psiho-motrică și interesele individuale"
"Utilizarea deprinderilor motrice de bază pentru realizarea unor activități ludice, cu caracter complex și eforturi diferite","1.3.","jocmi3-1.3","participarea la ștafete cu solicitări de eforturi diferite","Joc și mișcare","jocmi3","cl3","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Participarea la jocurile de mișcare, organizate sau spontane, în funcție de capacitatea psiho-motrică și interesele individuale"
"Utilizarea deprinderilor motrice de bază pentru realizarea unor activități ludice, cu caracter complex și eforturi diferite","1.3.","jocmi3-1.3","parcurgerea de trasee aplicativ-utilitare","Joc și mișcare","jocmi3","cl3","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Participarea la jocurile de mișcare, organizate sau spontane, în funcție de capacitatea psiho-motrică și interesele individuale"
"Utilizarea deprinderilor motrice de bază pentru realizarea unor activități ludice, cu caracter complex și eforturi diferite","1.3.","jocmi3-1.3","participarea la jocuri de orientare în spațiu","Joc și mișcare","jocmi3","cl3","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Participarea la jocurile de mișcare, organizate sau spontane, în funcție de capacitatea psiho-motrică și interesele individuale"
"Gestionarea relațiilor intra-grup și inter-grup în activitățile de joc și mișcare","2.1.","jocmi3-2.1","realizarea unor sarcini de colaborare în practicarea activităților de joc și mișcare","Joc și mișcare","jocmi3","cl3","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Manifestarea unor comportamente sociale adecvate în activitățile ludice"
"Gestionarea relațiilor intra-grup și inter-grup în activitățile de joc și mișcare","2.1.","jocmi3-2.1","implicarea activă în evitarea/ medierea conflictelor în activitățile de joc și mișcare","Joc și mișcare","jocmi3","cl3","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Manifestarea unor comportamente sociale adecvate în activitățile ludice"
"Acceptarea echilibrată a victoriei/înfrângerii în cadrul jocurilor de mișcare","2.2.","jocmi3-2.2","participarea la stabilirea rolurilor și sarcinilor în echipă (căpitan de echipă, starter, arbitru, scorer etc.)","Joc și mișcare","jocmi3","cl3","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Manifestarea unor comportamente sociale adecvate în activitățile ludice"
"Acceptarea echilibrată a victoriei/înfrângerii în cadrul jocurilor de mișcare","2.2.","jocmi3-2.2","participare la tragerea la sorți, la constituirea echipelor","Joc și mișcare","jocmi3","cl3","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Manifestarea unor comportamente sociale adecvate în activitățile ludice"
"Acceptarea echilibrată a victoriei/înfrângerii în cadrul jocurilor de mișcare","2.2.","jocmi3-2.2","felicitarea coechipierilor/adversarilor","Joc și mișcare","jocmi3","cl3","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Manifestarea unor comportamente sociale adecvate în activitățile ludice"
"Acceptarea echilibrată a victoriei/înfrângerii în cadrul jocurilor de mișcare","2.2.","jocmi3-2.2","autoanaliza randamentului propriu","Joc și mișcare","jocmi3","cl3","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Manifestarea unor comportamente sociale adecvate în activitățile ludice"
"Acceptarea echilibrată a victoriei/înfrângerii în cadrul jocurilor de mișcare","2.2.","jocmi3-2.2","analiza randamentului echipelor","Joc și mișcare","jocmi3","cl3","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Manifestarea unor comportamente sociale adecvate în activitățile ludice"
