"nume","ids","cod","activitate","disciplină","coddisc","nivel","act normativ","competență generală"
"Utilizarea deprinderilor locomotorii în condiții variate","1.1.","jocmi4-1.1","parcurgerea de trasee aplicative amenajate în săli și în aer liber","Joc și mișcare","jocmi4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Participarea la jocurile de mișcare, organizate sau spontane, în funcție de capacitatea psiho-motrică și interesele individuale"
"Utilizarea deprinderilor locomotorii în condiții variate","1.1.","jocmi4-1.1","participarea la ștafete și jocuri de mișcare integrate în activitățile ludice școlare și posibil a fi utilizate în activitățile extrașcolare","Joc și mișcare","jocmi4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Participarea la jocurile de mișcare, organizate sau spontane, în funcție de capacitatea psiho-motrică și interesele individuale"
"Manevrarea obiectelor în condiții de întrecere între echipe","1.2.","jocmi4-1.2","acționarea în jocuri de mișcare cu manevrarea de obiecte, cu forme și dimensiuni diferite, sub formă de întrecere, între echipe, cu efective variate

","Joc și mișcare","jocmi4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Participarea la jocurile de mișcare, organizate sau spontane, în funcție de capacitatea psiho-motrică și interesele individuale"
"Valorificarea deprinderilor motrice de bază în condițiile unor proiecte cu caracter integrat","1.3.","jocmi4-1.3","acționarea în jocuri de mișcare pentru consolidarea achizițiilor dobândite în cadrul celorlalte discipline de studiu","Joc și mișcare","jocmi4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Participarea la jocurile de mișcare, organizate sau spontane, în funcție de capacitatea psiho-motrică și interesele individuale"
"Valorificarea deprinderilor motrice de bază în condițiile unor proiecte cu caracter integrat","1.3.","jocmi4-1.3","practicarea jocurilor de mișcare în programul proiectelor de grup desfășurate extracurricular (serbări tematice, expediții, tabere etc.)","Joc și mișcare","jocmi4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Participarea la jocurile de mișcare, organizate sau spontane, în funcție de capacitatea psiho-motrică și interesele individuale"
"Asumarea responsabilității în îndeplinirea rolurilor individuale repartizate în cadrul grupului, în activitățile de joc și mișcare","2.1.","jocmi4-2.1","îndeplinirea adecvată a rolurilor de conducere/subordonare în cadrul activităților de joc și mișcare","Joc și mișcare","jocmi4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Manifestarea unor comportamente sociale adecvate în activitățile ludice"
"Asumarea responsabilității în îndeplinirea rolurilor individuale repartizate în cadrul grupului, în activitățile de joc și mișcare","2.1.","jocmi4-2.1","participarea la repartizarea rolurilor în cadrul grupurilor","Joc și mișcare","jocmi4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Manifestarea unor comportamente sociale adecvate în activitățile ludice"
"Asumarea responsabilității în îndeplinirea rolurilor individuale repartizate în cadrul grupului, în activitățile de joc și mișcare","2.1.","jocmi4-2.1","participarea la constituirea echipelor","Joc și mișcare","jocmi4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Manifestarea unor comportamente sociale adecvate în activitățile ludice"
"Organizarea și adaptarea unor jocuri de mișcare în activitățile ludice școlare și extrașcolare","2.2.","jocmi4-2.2","organizarea de jocuri de mișcare cu efective și reguli diferite (simplificate, adaptate, crescute ca dificultate)","Joc și mișcare","jocmi4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Manifestarea unor comportamente sociale adecvate în activitățile ludice"
"Organizarea și adaptarea unor jocuri de mișcare în activitățile ludice școlare și extrașcolare","2.2.","jocmi4-2.2","organizarea de jocuri de mișcare în condiții variabile","Joc și mișcare","jocmi4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Manifestarea unor comportamente sociale adecvate în activitățile ludice"
"Organizarea și adaptarea unor jocuri de mișcare în activitățile ludice școlare și extrașcolare","2.2.","jocmi4-2.2","adaptarea unor jocuri însușite la condițiile unor activități extracurriculare","Joc și mișcare","jocmi4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Manifestarea unor comportamente sociale adecvate în activitățile ludice"
"Organizarea și adaptarea unor jocuri de mișcare în activitățile ludice școlare și extrașcolare","2.2.","jocmi4-2.2","acceptări și acordări de revanșe la jocurile desfășurate sub formă de întrecere","Joc și mișcare","jocmi4","cl4","Ordin al ministrului educației naționale nr. 5003 / 02.12.2014","Manifestarea unor comportamente sociale adecvate în activitățile ludice"
